DateTime,Entries,UniqueIPs
1520378669,22095,22095
1520380600,23489,23489
1520382508,23394,23394
1520385453,23328,23328
1520387300,23308,23308
1520389274,23255,23255
1520391148,23275,23275
1520393129,23285,23285
1520394980,23262,23262
1520397035,23235,23235
1520399348,23215,23215
1520401234,23328,23328
1520403185,23360,23360
1520405070,23367,23367
1520406997,23299,23299
1520408911,23278,23278
1520410821,23128,23128
1520412747,19451,19451
1520414663,19388,19388
1520417821,19383,19383
1520419709,19340,19340
1520421657,19332,19332
1520423537,19358,19358
1520425509,19329,19329
1520427386,19321,19321
1520429354,19164,19164
1520431260,19123,19123
1520433172,19134,19134
1520435075,19122,19122
1520437167,19195,19195
1520439221,19283,19283
1520441317,19426,19426
1520443221,19538,19538
1520445380,19492,19492
1520447305,19649,19649
1520449256,19621,19621
1520451150,19577,19577
1520453074,19557,19557
1520454985,19608,19608
1520456916,19663,19663
1520458816,19667,19667
1520460998,19691,19691
1520462911,18841,18841
1520464815,15612,15612
1520466978,13684,13684
1520468890,13743,13743
1520470830,13775,13775
1520472991,13905,13905
1520474916,17261,17261
1520476815,19141,19141
1520478751,19191,19191
1520480659,19198,19198
1520482599,19230,19230
1520484520,19271,19271
1520486434,19384,19384
1520488335,19320,19320
1520490269,19271,19271
1520492188,19230,19230
1520494358,19335,19335
1520496272,19364,19364
1520498188,19484,19484
1520500090,19473,19473
1520502044,19463,19463
1520503883,19487,19487
1520505861,19471,19471
1520507779,19462,19462
1520509949,19450,19450
1520511876,21647,21647
1520513785,21634,21634
1520515942,21624,21624
1520517881,21618,21618
1520519952,21624,21624
1520521933,21636,21636
1520523988,21584,21584
1520526015,21534,21534
1520528181,21493,21493
1520530105,21464,21464
1520532038,21465,21465
1520533941,20528,20528
1520535851,17205,17205
1520537773,16807,16807
1520539712,16717,16717
1520541612,16690,16690
1520543532,16680,16680
1520545467,16643,16643
1520547397,16415,16415
1520549304,16436,16436
1520551231,16397,16397
1520553134,16384,16384
1520555075,16224,16224
1520557000,16268,16268
1520558894,16266,16266
1520561800,11807,11807
1520563838,10920,10920
1520565642,10891,10891
