DateTime,AddedIPs,RemovedIPs
1520382030,45,17
1520384062,16,11
1520385868,26,29
1520387768,25,32
1520389709,29,33
1520391649,25,18
1520393550,17,19
1520395481,17,27
1520397400,18,21
1520399349,24,26
1520401235,18,24
1520403186,19,25
1520405071,10,18
1520406998,12,29
1520408912,13,25
1520410822,12,35
1520412748,25,30
1520414663,14,34
1520416863,14,28
1520418750,11,21
1520420672,8,27
1520422573,15,23
1520424525,12,26
1520426426,13,21
1520428354,14,23
1520430266,9,9
1520432178,6,0
1520434107,8,1
1520436026,5,2
1520438195,9,1
1520440089,8,1
1520442065,8,0
1520444425,11,2
1520446447,5,1
1520448267,6,2
1520450192,5,136
1520452111,10,11
1520454027,6,3
1520455957,7,2
1520457853,10,4
1520460998,8,4
1520462911,5,3
1520464815,9,11
1520466979,13,60
1520468890,6,5
1520470857,10,13
1520472991,34,19
1520474917,35,10
1520476816,30,23
1520478752,37,11
1520480659,22,21
1520482600,23,23
1520484520,28,19
1520486434,24,17
1520488335,18,18
1520490270,22,13
1520492189,17,20
1520494358,18,18
1520496272,21,18
1520498188,19,17
1520500090,10,27
1520502045,17,20
1520503884,24,14
1520505861,16,12
1520507779,12,9
1520509950,13,27
1520511876,4,15
1520513785,10,16
1520515943,9,15
1520517881,6,12
1520519953,11,8
1520521934,7,8
1520523989,4,14
1520526016,6,8
1520528181,11,8
1520530106,4,7
1520532068,6,9
1520533941,7,5
1520535852,8,10
1520537774,6,11
1520539713,9,4
1520541613,8,11
1520543532,6,9
1520545467,7,8
1520547397,9,14
1520549305,5,6
1520551232,5,8
1520553134,7,13
1520555076,7,9
1520557000,12,8
1520558894,31,12
1520561800,49,31
1520563839,36,27
1520565643,16,17
1520567688,27,16
1520569694,29,11
1520571494,26,20
1520573322,15,28
1520575309,155,17
1520577185,18,19
1520579134,20,21
1520580988,21,24
1520582975,55,23
1520584823,22,26
1520587066,23,29
1520588923,18,25
1520590890,18,19
1520592788,54,19
1520594784,11,13
1520596622,12,14
1520598592,16,4
1520601371,16,18
1520603468,13,10
1520605451,58,10
1520608579,8,8
1520610504,8,9
1520612422,7,11
1520614343,7,6
1520616272,5,12
1520618193,10,9
1520620101,5,4
1520622990,9,14
1520624899,2,6
1520626816,4,7
1520628757,1,10
1520630665,2,4
1520632594,4,8
1520635551,11,14
1520637439,5,6
1520639434,12,12
1520641277,8,2
1520643152,20,10
1520645140,14,13
1520648198,32,27
1520650097,19,22
1520652032,20,17
1520653946,22,23
1520655881,11,20
1520657804,21,17
1520659715,15,19
1520661674,45,136
1520663559,12,23
1520665477,13,20
1520667403,18,28
1520669325,11,58
1520671223,14,26
1520673163,12,33
1520675064,17,25
1520677012,6,15
1520678900,24,61
1520680845,41,15
1520682757,8,16
1520684687,14,18
1520686585,8,10
1520688524,9,21
1520691437,13,68
1520693328,6,30
1520695286,10,8
1520697175,9,16
1520699133,5,24
1520701005,9,7
1520703017,11,16
1520704868,12,15
1520707095,4,11
1520708917,10,8
1520710975,9,4
1520712983,10,3
1520714794,5,2
1520716607,7,1
1520718550,8,6
1520720695,4,13
1520722634,9,3
1520724842,9,8
1520726915,10,8
1520728809,17,12
1520730988,15,16
1520733010,21,13
1520734823,17,5
1520736997,13,19
1520738908,17,7
1520740866,51,18
1520742748,25,11
1520744699,10,21
1520746583,12,42
1520748510,16,26
1520750666,17,25
1520752582,17,20
1520754501,16,19
1520756417,11,16
1520758351,8,18
1520760255,8,25
1520762173,13,14
1520764106,12,24
1520766981,15,76
1520768886,12,14
1520770819,6,16
1520772731,1,16
1520774666,2,20
1520777792,20,21
1520779692,11,5
1520781629,11,7
1520783555,4,13
1520785454,9,4
1520787383,9,8
1520789315,11,11
1520791468,8,11
1520793403,4,6
1520795563,6,5
1520797462,7,7
1520799417,7,9
1520801326,9,7
1520803373,5,7
1520805665,3,6
1520807554,11,10
1520809471,53,12
1520811632,7,7
1520813557,7,12
1520815474,13,9
1520817400,15,14
1520819324,34,10
1520821250,21,16
1520823157,23,12
1520825082,23,11
1520827002,22,52
1520828925,36,27
1520831836,62,15
1520833719,22,17
1520835653,20,15
1520837552,22,13
1520839488,12,6
1520841492,17,9
1520843594,21,3
1520845481,13,3
1520847448,15,6
1520849325,14,8
1520851266,15,3
1520853164,13,4
1520855153,15,7
1520856993,13,79
1520859077,13,13
1520861061,13,4
1520862877,7,8
1520865210,16,16
1520867324,17,8
1520869215,12,6
1520871176,7,8
1520873322,8,10
1520875451,7,11
1520877397,11,13
1520879510,17,7
1520881453,9,7
1520883318,8,9
1520885292,9,5
1520887855,8,7
1520889871,7,15
1520892081,5,8
1520893959,4,9
1520896151,10,54
1520898012,7,6
1520900189,11,7
1520902098,20,13
1520904014,22,16
1520905964,31,14
1520908005,24,19
1520910044,31,13
1520911934,26,12
1520914115,24,21
1520916023,21,17
1520917954,25,43
1520919872,28,21
1520921782,15,19
1520923709,20,23
1520925624,19,12
1520927568,22,18
1520929492,18,28
1520931380,17,14
1520933298,12,17
1520936203,21,13
1520938108,14,14
1520940019,12,13
1520941962,11,11
1520943860,9,12
1520945783,7,16
1520947696,8,9
1520949747,6,7
1520951784,7,18
1520953975,11,13
1520955921,35,11
1520957819,20,11
1520959694,12,5
1520961636,9,9
1520963554,10,14
1520965583,10,14
1520967652,31,9
1520969546,9,8
1520971585,63,11
1520973388,7,6
1520975318,10,5
1520977361,7,5
1520979368,6,6
1520981330,8,14
1520983224,9,6
1520985084,68,9
1520987050,9,6
1520988981,20,12
1520990887,26,8
1520992711,40,16
1520994734,28,19
1520996645,20,17
1520998568,25,19
1521000437,20,16
1521002409,38,19
1521004245,108,24
1521006249,16,13
1521008124,28,16
1521010342,24,17
1521012270,14,20
1521014199,15,20
1521016107,27,28
1521018066,22,19
1521019959,17,23
1521021888,15,18
1521023692,16,19
1521025495,13,12
1521027584,6,16
1521029535,26,8
1521032353,47,20
1521034332,19,11
1521036177,13,8
1521038169,12,11
1521039979,4,10
1521041791,9,17
1521043620,13,11
1521045470,8,9
1521047482,13,7
1521049450,5,11
1521051266,7,7
1521053303,8,34
1521055107,1,5
1521056981,8,20
1521058917,10,34
1521060756,4,7
1521062820,8,7
1521064857,48,8
1521066735,8,10
1521068907,11,12
1521071081,12,67
1521072980,10,11
1521074853,16,8
