DateTime,AddedIPs,RemovedIPs
1520381635,5,2
1520383473,3,197
1520385457,3,3
1520387304,2,1
1520389277,0,1
1520391152,3,6
1520393132,2,3
1520394983,0,7
1520397040,0,1
1520398879,1,1
1520400805,13,69
1520402672,366,18
1520404670,2,66
1520406502,1,1
1520408486,0,1
1520410357,3,1
1520412360,3,432
1520414180,2,1021
1520416338,2,5
1520418262,0,2
1520422100,1,3
1520424998,3,4
1520426907,1,1
1520428829,1,7
1520430753,4,6
1520432679,2,4
1520434585,5,3
1520436507,6,4
1520438498,1,0
1520440360,4,1
1520442274,32,3
1520444428,2,3
1520446450,72,4
1520448270,3,0
1520450195,7,3
1520452114,4,3
1520454030,5,131
1520455960,6,0
1520457856,4,0
1520460078,7,2
1520461951,3,0
1520463863,4,4
1520465792,139,7
1520467987,72,4
1520469944,6,3
1520472075,5,4
1520474104,60,1
1520475934,5,1
1520477907,3,2
1520479745,4,2
1520481779,5,0
1520483596,11,0
1520485577,3,1
1520487423,3,123
1520489420,3,113
1520491296,4,368
1520493299,2,1
1520495312,2,0
1520497510,2,3
1520499464,5,3
1520501474,1,1
1520503887,6,2
1520505864,2,0
1520507782,2,1
1520509953,1,2
1520511879,4,2
1520513788,6,1
1520515946,0,2
1520517884,2,1
1520519955,3,5
1520521936,1,5
1520523992,2,4
1520526019,3,3
1520528184,2,31
1520530109,4,3
1520532081,31,2
1520533944,11,74
1520535854,5,4
1520537777,8,9
1520539715,2,3
1520541615,5,7
1520543535,1,6
1520545470,1,26
1520547400,0,4
1520549307,27,5
1520551234,0,2
1520553137,52,6
1520555078,1,226
1520557002,2,8
1520558897,1,6
1520561803,3,64
1520563842,1,5
1520565645,1,4
1520567691,4,4
1520569696,1,14
1520571496,218,2
1520573324,2,117
1520575311,32,3
1520577188,1,3
1520579137,1,5
1520580991,1,2
1520582978,1,1
1520584825,0,3
1520587068,4,2
1520588926,2,1
1520590893,3,5
1520592790,1,0
1520594787,4,2
1520598594,4,6
1520600513,4,3
1520602723,135,0
1520604748,1,4
1520606678,1,79
1520608581,2,1
1520610506,1,1
1520612424,5,3
1520614345,5,3
1520616274,7,2
1520618194,5,3
1520620103,40,2
1520622076,4,5
1520623953,6,9
1520625878,3,4
1520627783,3,2
1520629860,4,3
1520631873,4,1
1520633673,1,33
1520635553,0,15
1520637441,1,1
1520639437,1,53
1520641280,3,0
1520643155,2,2
1520645142,5,1
1520647329,2,3
1520651305,2,2
1520653210,2,1
1520655434,3,4
1520657307,2,2
1520659259,1,215
1520661155,5,32
1520664992,0,2
1520666926,2,1
1520668882,3,1
1520670778,123,0
1520672665,2,2
1520674621,0,3
1520676516,0,3
1520678446,1,2
1520680365,2,2
1520682307,0,2
1520684197,0,4
1520686145,14,0
1520688189,1,5
1520689991,6,2
1520691876,3,1
1520693802,27,1
1520695707,2,3
1520697699,3,1
1520699547,1,6
1520701497,5,7
1520703661,4,10
1520705545,1,3
1520707483,9,8
1520709387,2,5
1520711309,117,5
1520713220,316,3
1520715180,3,2
1520717061,0,4
1520718887,3,5
1520720697,43,0
1520722636,3,0
1520724844,5,1
1520726918,2,1
1520728811,4,4
1520730991,1,5
1520733012,0,1
1520734825,17,1
1520736999,1,0
1520738910,0,2
1520740879,0,2
1520742751,4,2
1520744701,3,0
1520746586,182,6
1520748513,63,0
1520750668,271,0
1520752585,0,2
1520754504,1,2
1520756419,44,154
1520758354,0,2
1520760257,1,1
1520762176,4,0
1520764108,1,1
1520766109,1,0
1520768191,2,1
1520770125,1,1
1520772023,3,3
1520773963,0,12
1520776229,57,5
1520778275,1,4
1520780199,1,19
1520782103,1,1
1520784129,0,3
1520785969,50,1
1520787950,3,4
1520789794,59,4
1520791732,2,1
1520793871,2,10
1520796041,4,2
1520797943,1,407
1520799891,4,1
1520801788,3,3
1520803739,2,2
1520805672,4,1
1520807558,9,65
1520809474,20,1
1520811634,0,5
1520813560,2,4
1520815476,3,3
1520817403,0,1
1520821253,4,2
1520823159,1,1
1520825085,15,0
1520827005,2,0
1520828928,1,2
1520830886,2,3
1520832763,81,23
1520834668,3,134
1520836599,62,11
1520838499,1,0
1520840455,4,7
1520842348,3,48
1520844521,3,0
1520846440,1,133
1520848373,114,3
1520850284,4,2
1520852203,0,1
1520854099,0,2
1520856079,1,59
1520857953,4,0
1520859875,3,1
1520861796,1,1
1520863720,2,1
1520865639,61,1
1520867795,3,0
1520869714,5,0
1520871649,6,1
1520873782,3,6
1520876650,28,60
1520878740,2,48
1520880748,6,1
1520882676,6,4
1520884580,6,2
1520887858,303,6
1520889874,2,2
1520892101,6,3
1520893962,5,9
1520896153,9,1
1520898014,7,0
1520900192,5,1
1520902101,2,2
1520904017,3,0
1520905967,3,3
1520908008,2,2
1520910096,3,0
1520911936,2,15
1520914118,1,3
1520916026,112,1
1520917956,2,2
1520919874,61,84
1520921784,2,0
1520923712,3,61
1520925626,2,2
1520927571,5,5
1520929494,1,3
1520931383,4,1
1520933301,1,2
1520935293,0,4
1520937150,1,3
1520939077,3,0
1520941000,1,1
1520942906,2,1
1520944827,2,4
1520946749,0,2
1520948687,4,2
1520950595,3,61
1520952519,13,0
1520954422,4,4
1520956339,1,6
1520958267,1,5
1520960210,1,2
1520962106,3,29
1520964071,220,0
1520966032,1,4
1520968128,1,7
1520970268,3,6
1520972431,4,3
1520974357,0,290
1520976272,33,2
1520978180,2,28
1520980095,21,2
1520982127,3,10
1520983966,3,6
1520985874,4,5
1520987778,1,4
1520989714,1,0
1520991617,4,5
1520993550,2,1
1520995458,2,117
1520997384,0,2
1520999298,5,2
1521001224,2,0
1521003155,3,128
1521005065,2,2
