DateTime,AddedIPs,RemovedIPs
1520206364,0,1
1520210474,1,0
1520212387,0,1
1520214327,0,1
1520216225,0,1
1520218151,0,2
1520220069,0,3
1520221970,0,2
1520225837,1,1
1520229759,0,3
1520233770,0,3
1520235670,1,0
1520237614,0,2
1520243324,5,0
1520247186,1,0
1520249115,1,1
1520251015,2,1
1520252977,2,0
1520254891,3,0
1520258712,0,2
1520262788,2,0
1520264703,872,0
1520266861,3152,0
1520268809,2,1
1520270728,4,0
1520272686,2,0
1520274701,6,0
1520276758,5,0
1520278604,5,1
1520280596,5,1
1520282466,2,0
1520284858,3,1
1520286771,5,0
1520288720,3,0
1520290597,2,0
1520292565,5,1
1520294681,8,0
1520296577,1,1
1520298530,5,0
1520300481,8,0
1520302365,1,0
1520306211,7,0
1520308169,1,0
1520311997,7,0
1520313877,0,1
1520315885,1,0
1520317717,3,0
1520322035,2,0
1520323966,1,0
1520325876,3,0
1520327806,1,0
1520329712,1,4
1520331641,2,0
1520333562,3,1
1520335469,0,1
1520337381,2,2
1520339328,1,3
1520341286,1,2
1520343166,1,0
1520347246,2,1
1520349155,1,2
1520351086,2,847
1520353015,1,3177
1520354929,3,2
1520356920,2,4
1520358770,2,2
1520360906,1,5
1520363821,2,6
1520366485,1,7
1520368353,0,3
1520370156,1,1
1520371957,0,2
1520373977,1,7
1520375801,3,1
1520377779,0,4
1520379628,1,5
1520381637,3,7
1520383475,1,2
1520385459,0,6
1520387306,1,5
1520389280,1,0
1520391154,1,1
1520393134,0,6
1520394985,1,1
1520397042,0,2
1520398894,0,5
1520400807,0,2
1520402674,0,1
1520404672,1,3
1520406505,1,0
1520408488,0,3
1520412362,0,4
1520416340,0,1
1520418264,0,3
1520420179,0,3
1520422102,0,1
1520424077,0,2
1520425943,1,0
1520427873,0,1
1520429793,1,1
1520433624,1,2
1520435551,0,1
1520437624,0,2
1520439619,0,2
1520441776,0,3
1520444431,1,2
1520446453,0,3
1520450197,1,1
1520452116,1,0
1520454032,0,1
1520455962,1,0
1520457858,0,1
1520460081,0,1
1520461954,0,2
1520463865,1,0
1520465794,4,1
1520467988,0,3
1520469946,0,1
1520472077,0,1
1520474106,0,1
1520475936,0,1
1520477909,0,1
1520479746,0,1
1520483598,1,0
1520487425,1,0
1520489422,1,0
1520491298,2,1
1520493302,1,0
1520495315,1,0
1520497512,1,0
1520499466,2,0
1520501476,2,0
1520503889,2,1
1520505866,5,0
1520507784,2,0
1520509955,4,0
1520511881,2403,0
1520513790,2,0
1520515948,3,1
1520517886,5,0
1520519958,6,0
1520521938,7,0
1520523994,6,0
1520526021,2,0
1520528186,6,0
1520530111,7,0
1520532083,4,0
1520533946,6,0
1520535856,5,0
1520537778,6,1
1520539718,4,0
1520541618,2,1
1520543537,1,0
1520545472,2,0
1520547402,2,0
1520549310,2,0
1520551237,10,1
1520553139,3,2
1520555081,2,0
1520558899,3,1
1520561805,1,0
1520563844,3,0
1520569698,0,1
1520571498,2,0
1520573327,0,2
1520575313,0,1
1520577189,3,2
1520579139,0,2
1520582979,0,1
1520587071,0,2
1520588927,2,2
1520590894,1,3
1520592792,5,4
1520594789,2,4
1520596626,3,40
1520598596,3,2368
1520600515,4,2
