DateTime,AddedIPs,RemovedIPs
1520393136,27,26
1520394987,16,16
1520397044,20,42
1520398896,16,35
1520400809,8,25
1520402675,16,40
1520404674,17,26
1520406507,13,21
1520408490,25,30
1520410361,23,26
1520412364,17,66
1520414185,32,38
1520416342,38,51
1520418266,36,37
1520420181,50,105
1520422104,44,56
1520424079,41,29
1520425945,38,76
1520427875,45,60
1520429795,34,244
1520431707,26,51
1520433626,27,62
1520435553,25,43
1520437626,33,37
1520439621,18,25
1520441778,16,21
1520444432,37,25
1520446454,22,22
1520448274,23,15
1520450199,24,38
1520452117,22,9
1520454034,19,16
1520455964,17,21
1520457860,14,11
1520460083,19,20
1520461957,22,15
1520463867,13,14
1520465796,24,13
1520467990,20,16
1520469948,20,10
1520472079,26,18
1520474109,19,20
1520475938,23,17
1520477911,24,13
1520479749,18,23
1520481784,24,19
1520483600,8,12
1520485581,53,15
1520487427,173,10
1520489423,19,12
1520491300,36,15
1520493303,32,11
1520495316,29,32
1520497514,58,40
1520499468,41,20
1520501478,34,40
1520503891,26,41
1520505869,33,43
1520507786,35,40
1520509957,37,46
1520511884,2429,37
1520513792,28,51
1520515950,28,35
1520517888,37,28
1520519960,31,31
1520521940,35,19
1520523996,22,33
1520526023,26,18
1520528188,30,21
1520530113,39,29
1520532085,27,20
1520533949,28,25
1520535858,17,19
1520537781,20,16
1520539720,19,13
1520541620,15,23
1520543540,18,11
1520545474,18,14
1520547405,20,23
1520549312,28,19
1520551239,31,18
1520553141,14,18
1520555083,15,12
1520557007,14,28
1520558901,19,19
1520560912,13,14
1520562786,18,23
1520564681,24,27
1520566597,11,20
1520568521,13,24
1520570419,19,22
1520572358,38,56
1520574277,13,162
1520576201,22,18
1520578127,19,46
1520580044,25,19
1520581940,24,38
1520583878,29,44
1520585791,26,35
1520587954,18,40
1520589879,28,20
1520591785,30,26
1520593724,27,33
1520595616,23,30
1520597551,25,1297
1520599455,25,1192
1520601373,19,33
1520603469,16,30
1520605454,18,37
1520607670,16,29
1520609545,11,30
1520611468,17,27
1520613389,31,23
1520615308,23,27
1520617234,15,34
1520619143,12,29
1520621085,21,21
1520622992,13,16
1520624901,19,17
1520626818,12,18
1520628759,19,18
1520630667,6,23
1520632596,6,15
1520635556,34,49
1520637444,9,29
1520639440,7,17
1520641283,73,12
1520643158,202,15
1520645146,27,18
1520647332,12,15
1520649286,12,20
1520651308,14,21
1520653213,8,12
1520655438,9,17
1520657311,18,22
1520659263,18,32
1520661159,11,14
1520663082,15,23
1520664995,9,21
1520666929,14,26
1520668895,27,21
1520670782,19,24
1520672669,16,31
1520674625,17,15
1520676520,13,34
1520678450,26,31
1520680368,12,27
1520682312,16,23
1520684201,16,24
1520686149,12,24
1520688193,9,20
1520689994,23,15
1520691879,12,21
1520693805,14,16
1520695710,133,14
1520697702,21,15
1520699550,57,13
1520701501,17,29
1520703664,28,14
1520705548,50,14
1520707486,33,22
1520709390,51,16
1520711312,35,20
1520713223,42,11
1520715184,34,18
1520717065,20,8
1520718890,22,7
1520720700,27,17
1520722639,44,23
1520724847,39,10
1520726921,42,8
1520728814,34,10
1520730995,48,10
1520733016,21,10
1520734828,31,260
1520737002,40,11
1520738914,26,11
1520740883,36,8
1520742754,53,11
1520744705,38,22
1520746589,38,17
1520748517,22,9
