DateTime,Entries,UniqueIPs
1520393136,1749,1749
1520394987,1749,1749
1520397044,1727,1727
1520398896,1708,1708
1520400809,1691,1691
1520402675,1667,1667
1520404674,1658,1658
1520406507,1650,1650
1520408490,1645,1645
1520410361,1642,1642
1520412364,1593,1593
1520414185,1587,1587
1520416342,1574,1574
1520418266,1573,1573
1520420181,1518,1518
1520422104,1506,1506
1520424079,1518,1518
1520425945,1480,1480
1520427875,1465,1465
1520429795,1255,1255
1520431707,1230,1230
1520433626,1195,1195
1520435553,1177,1177
1520437626,1173,1173
1520439621,1166,1166
1520441778,1161,1161
1520444432,1173,1173
1520446454,1173,1173
1520448274,1181,1181
1520450199,1167,1167
1520452117,1180,1180
1520454034,1183,1183
1520455964,1179,1179
1520457860,1182,1182
1520460083,1181,1181
1520461957,1188,1188
1520463867,1187,1187
1520465796,1198,1198
1520467990,1202,1202
1520469948,1212,1212
1520472079,1220,1220
1520474109,1219,1219
1520475938,1225,1225
1520477911,1236,1236
1520479749,1231,1231
1520481784,1236,1236
1520483600,1232,1232
1520485581,1270,1270
1520487427,1433,1433
1520489423,1440,1440
1520491300,1461,1461
1520493303,1482,1482
1520495316,1479,1479
1520497514,1497,1497
1520499468,1518,1518
1520501478,1512,1512
1520503891,1497,1497
1520505869,1487,1487
1520507786,1482,1482
1520509957,1473,1473
1520511884,3865,3865
1520513792,3842,3842
1520515950,3835,3835
1520517888,3844,3844
1520519960,3844,3844
1520521940,3860,3860
1520523996,3849,3849
1520526023,3857,3857
1520528188,3866,3866
1520530113,3876,3876
1520532085,3883,3883
1520533949,3886,3886
1520535858,3884,3884
1520537781,3888,3888
1520539720,3894,3894
1520541620,3886,3886
1520543540,3893,3893
1520545474,3897,3897
1520547405,3894,3894
1520549312,3903,3903
1520551239,3916,3916
1520553141,3912,3912
1520555083,3915,3915
1520557007,3901,3901
1520558901,3901,3901
1520560912,3900,3900
1520562786,3895,3895
1520564681,3892,3892
1520566597,3883,3883
1520568521,3872,3872
1520570419,3869,3869
1520572358,3851,3851
1520574277,3702,3702
1520576201,3706,3706
1520578127,3679,3679
1520580044,3685,3685
1520581940,3671,3671
1520583878,3656,3656
1520585791,3647,3647
1520587954,3625,3625
1520589879,3633,3633
1520591785,3637,3637
1520593724,3631,3631
1520595616,3624,3624
1520597551,2352,2352
1520599455,1185,1185
1520601373,1171,1171
1520603469,1157,1157
1520605454,1138,1138
1520607670,1125,1125
1520609545,1106,1106
1520611468,1096,1096
1520613389,1104,1104
1520615308,1100,1100
1520617234,1081,1081
1520619143,1064,1064
1520621085,1064,1064
1520622992,1061,1061
1520624901,1063,1063
1520626818,1057,1057
1520628759,1058,1058
1520630667,1041,1041
1520632596,1032,1032
1520635556,1017,1017
1520637444,997,997
1520639440,987,987
1520641283,1048,1048
1520643158,1235,1235
1520645146,1244,1244
1520647332,1241,1241
1520649286,1233,1233
1520651308,1226,1226
1520653213,1222,1222
1520655438,1214,1214
1520657311,1210,1210
1520659263,1196,1196
1520661159,1193,1193
1520663082,1185,1185
1520664995,1173,1173
1520666929,1161,1161
1520668895,1167,1167
1520670782,1162,1162
1520672669,1147,1147
1520674625,1149,1149
1520676520,1128,1128
1520678450,1123,1123
1520680368,1108,1108
1520682312,1101,1101
1520684201,1093,1093
1520686149,1081,1081
1520688193,1070,1070
1520689994,1078,1078
1520691879,1069,1069
1520693805,1067,1067
1520695710,1186,1186
1520697702,1192,1192
1520699550,1236,1236
1520701501,1224,1224
1520703664,1238,1238
1520705548,1274,1274
1520707486,1285,1285
1520709390,1320,1320
1520711312,1335,1335
1520713223,1366,1366
1520715184,1382,1382
1520717065,1394,1394
1520718890,1409,1409
1520720700,1419,1419
1520722639,1440,1440
1520724847,1469,1469
1520726921,1503,1503
1520728814,1527,1527
1520730995,1565,1565
1520733016,1576,1576
1520734828,1347,1347
1520737002,1376,1376
1520738914,1391,1391
1520740883,1419,1419
1520742754,1461,1461
1520744705,1477,1477
1520746589,1498,1498
1520748517,1511,1511
1520750671,1524,1524
1520752588,1522,1522
1520754507,1512,1512
1520756422,1504,1504
1520758360,1508,1508
1520760261,1512,1512
1520762179,1516,1516
1520764112,1524,1524
1520766113,1511,1511
1520768195,1532,1532
1520770129,1535,1535
1520772027,1540,1540
1520773967,1549,1549
1520776232,1550,1550
1520778279,1550,1550
1520780203,1543,1543
1520782107,1419,1419
1520784133,1427,1427
1520785973,1403,1403
1520787954,1404,1404
1520789799,1392,1392
1520791736,1375,1375
1520793875,1351,1351
