DateTime,AddedIPs,RemovedIPs
1520386356,2,4
1520388288,9,6
1520390212,2,2
1520392118,4,5
1520394030,3,1
1520395952,4,3
1520397877,5,2
1520399796,3,2
1520401710,3,6
1520403634,4,5
1520405552,3,1
1520407468,2,4
1520409403,3,3
1520411309,2,2
1520413300,2,2
1520415159,1,1
1520417325,3,6
1520419228,8,4
1520421157,2,4
1520423078,2,1
1520425000,1,2
1520426910,6,7
1520428831,3,2
1520430756,5,1
1520432682,3,2
1520434588,4,1
1520436510,6,4
1520438500,2,5
1520440363,3,3
1520442276,3,1
1520444434,4,5
1520446456,8,3
1520448275,8,2
1520450200,10,7
1520452119,2,2
1520454035,8,3
1520455966,3,5
1520457862,1,3
1520460087,3,6
1520461959,6,4
1520463868,2,1
1520465798,8,2
1520467992,6,1
1520469949,4,3
1520472080,5,4
1520474110,3,8
1520475939,3,4
1520477914,10,5
1520479750,1,1
1520481785,5,3
1520483602,1,6
1520485582,3,4
1520487429,7,2
1520489425,2,3
1520491301,4,0
1520493305,4,2
1520495318,4,4
1520497515,2,4
1520499470,4,4
1520501479,2,0
1520503892,3,5
1520505871,5,8
1520507788,10,1
1520509958,2,3
1520511885,17,0
1520513793,2,6
1520515952,2,3
1520517890,6,4
1520519961,6,4
1520521941,9,8
1520523997,6,3
1520526024,5,4
1520528190,4,2
1520530114,15,5
1520532087,4,5
1520533950,3,6
1520535859,1,8
1520537782,3,2
1520539721,1,4
1520541621,3,6
1520543541,5,1
1520545476,3,2
1520547406,5,6
1520549313,4,1
1520551240,4,7
1520553143,4,2
1520555084,3,1
1520557008,6,6
1520558903,1,2
1520560931,3,2
1520562788,4,5
1520564683,2,8
1520566598,0,4
1520568522,5,2
1520570420,6,2
1520572359,5,3
1520574279,4,4
1520576203,1,2
1520578128,3,7
1520580046,4,1
1520581941,1,2
1520583880,5,1
1520585792,3,4
1520587956,0,2
1520589880,3,4
1520591786,12,3
1520593726,3,6
1520595617,2,2
1520597552,3,46
1520599456,3,3
1520601374,3,0
1520603471,2,5
1520605455,4,7
1520607671,4,9
1520609548,0,6
1520611469,2,4
1520613391,8,5
1520615310,3,1
1520617235,3,16
1520619144,5,3
1520621086,5,3
1520622993,2,2
1520624902,4,3
1520626820,4,3
1520628760,2,1
1520630669,3,8
1520632597,1,2
1520635557,6,8
1520637446,2,5
1520639441,2,4
1520641284,2,3
1520643159,1,6
1520645147,2,3
1520647333,0,4
1520649287,1,3
1520651309,2,1
1520653215,2,2
1520655439,2,4
1520657312,2,7
1520659264,4,4
1520661160,2,1
1520663084,3,2
1520664997,4,5
1520666931,4,3
1520668896,6,4
1520670784,8,4
1520672670,4,3
1520674626,2,0
1520676521,3,4
1520678451,15,13
1520680370,2,4
1520682314,7,1
1520684202,3,2
1520686150,1,4
1520688194,1,2
1520689995,1,3
1520691880,1,1
1520693806,3,5
1520695711,5,0
1520697704,4,1
1520699552,4,1
1520701502,3,3
1520703665,4,2
1520705549,33,3
1520707487,14,7
1520709391,19,4
1520711313,7,4
1520713224,6,3
1520715185,7,1
1520717066,3,4
1520718891,1,1
1520720702,5,3
1520722640,14,5
1520724848,11,4
1520726922,0,2
1520728816,4,4
1520730997,2,2
1520733018,1,2
1520737004,2,0
1520738915,0,3
1520740884,3,3
1520742755,3,2
1520744706,4,6
1520746590,4,2
1520748518,4,3
1520750672,1,3
1520752589,3,7
1520754508,3,4
1520756423,3,9
1520758362,2,6
1520760262,0,5
1520762180,1,2
1520764113,3,1
1520766114,3,15
1520768196,5,4
1520770130,10,5
1520772028,4,0
1520773968,3,1
1520776233,6,2
1520778281,2,1
1520780204,0,3
1520782109,5,2
1520784134,9,5
1520785974,6,2
1520787955,4,4
1520789800,1,3
1520791737,5,27
1520793876,0,20
1520796047,2,22
1520797947,8,8
1520799896,0,2
1520801793,4,8
1520803744,6,2
1520805677,0,3
1520807563,2,9
1520809479,6,11
1520811639,2,8
1520813565,3,2
1520815480,5,4
1520817408,2,2
1520819331,8,1
1520821258,5,2
1520823164,4,0
1520825090,2,0
1520827009,5,2
1520828932,3,6
1520830890,5,3
1520832768,7,4
1520834673,3,4
1520836604,2,1
1520838505,2,3
1520840460,2,2
1520842353,5,3
1520844526,3,2
1520846444,10,1
1520848377,6,1
1520850290,3,3
1520852208,2,1
1520854104,2,4
1520856084,2,9
1520857959,6,7
1520859880,8,2
1520861801,2,4
1520863725,4,1
1520867800,8,1
1520869720,11,9
1520871654,1,6
1520873787,5,4
1520876654,2,4
1520878745,3,3
1520880752,1,0
1520882681,7,3
1520884584,2,5
1520887864,3,6
1520889879,0,7
1520892107,1,0
1520893967,0,2
1520896158,3,4
1520898020,5,2
1520900197,0,4
1520902106,1,5
1520904022,3,4
1520905971,1,7
1520908012,1,4
1520910102,1,4
1520911942,4,3
1520914123,2,6
1520916031,1,3
1520917961,5,7
1520919879,0,2
1520921789,1,6
1520923716,3,3
1520925631,1,1
1520927575,2,4
1520929499,0,3
1520931387,2,6
1520933306,0,8
1520935299,1,8
1520937155,2,3
1520939082,2,6
1520941005,0,1
1520942912,2,1
1520944832,0,3
1520946754,2,5
1520948693,4,1
1520950601,2,4
1520952525,3,2
1520954428,5,1
1520956344,1,16
1520958273,0,3
1520960215,3,4
1520962112,5,2
1520964077,1,3
1520966037,0,3
1520968133,4,4
1520970274,3,3
1520972436,2,3
1520974363,4,0
1520976278,2,0
1520978186,4,6
1520980100,3,2
1520982132,5,1
1520983972,2,7
1520985879,1,2
1520987784,2,2
1520989720,2,0
1520991623,1,4
1520993555,1,1
1520995463,1,3
1520997390,8,5
1520999303,6,2
1521001230,1,2
1521003160,0,3
1521005069,4,4
1521006979,5,1
1521008907,0,4
1521010896,4,2
1521012767,9,0
1521014672,26,1
1521016611,3,1
1521018528,8,1
1521020444,6,1
1521022362,2,1
1521024529,4,0
1521026441,2,3
1521028350,5,0
1521030269,3,1
1521032361,1,3
1521034341,11,1
1521036186,0,2
1521038177,1,2
1521039988,4,3
1521041800,4,1
1521043629,4,0
1521045479,9,1
1521047492,3,4
1521049459,5,2
1521051275,1,0
1521053312,1,1
1521055116,4,1
1521056989,4,0
1521058925,2,1
1521060764,7,1
1521062829,8,3
1521064895,5,0
1521066744,2,3
1521068546,4,2
1521071090,4,0
1521072988,3,2
1521074862,2,1
1521076821,5,2
1521078748,6,2
1521080697,3,2
1521082566,1,1
1521084503,2,7
1521086367,1,1
1521088339,1,0
1521090246,2,0
1521092180,5,6
1521094115,3,1
1521096016,2,2
1521097864,2,0
1521099862,3,54
1521101675,4,5
1521105481,7,9
1521107559,2,4
1521109466,3,5
1521111393,4,1
1521113298,3,5
1521116518,3,7
1521118601,2,3
1521120967,2,11
1521122934,0,1
1521125012,1,1
1521127234,4,6
1521129179,2,5
1521131075,1,4
1521133325,1,8
1521135160,2,4
1521137110,1,1
1521138995,1,1
1521140921,2,3
1521142827,0,3
1521144751,5,4
