DateTime,Entries,UniqueIPs
1520393138,770,770
1520394988,771,771
1520397045,769,769
1520398897,767,767
1520400810,759,759
1520402676,754,754
1520404675,753,753
1520406508,751,751
1520408491,741,741
1520410363,743,743
1520412366,710,710
1520414186,703,703
1520416343,700,700
1520418267,707,707
1520420182,666,666
1520422105,664,664
1520424080,676,676
1520425946,646,646
1520427876,650,650
1520429797,634,634
1520431708,613,613
1520433628,579,579
1520435554,561,561
1520437627,562,562
1520439622,555,555
1520441779,552,552
1520444434,558,558
1520446455,551,551
1520448275,548,548
1520450200,547,547
1520452119,553,553
1520454035,548,548
1520455965,546,546
1520457861,550,550
1520460086,552,552
1520461958,560,560
1520463868,555,555
1520465797,554,554
1520467991,558,558
1520469949,567,567
1520472080,572,572
1520474110,571,571
1520475939,571,571
1520477913,567,567
1520479750,568,568
1520481785,566,566
1520483601,567,567
1520485582,568,568
1520487429,568,568
1520489424,573,573
1520491301,567,567
1520493304,572,572
1520495317,578,578
1520497515,604,604
1520499469,612,612
1520501479,605,605
1520503892,593,593
1520505870,578,578
1520507787,559,559
1520509958,547,547
1520511885,540,540
1520513793,512,512
1520515951,504,504
1520517889,508,508
1520519961,497,497
1520521941,499,499
1520523997,491,491
1520526024,501,501
1520528190,505,505
1520530114,503,503
1520532087,512,512
1520533950,508,508
1520535859,505,505
1520537782,505,505
1520539721,512,512
1520541621,514,514
1520543541,517,517
1520545475,514,514
1520547406,510,510
1520549313,510,510
1520551240,518,518
1520553142,510,510
1520555084,507,507
1520557008,493,493
1520558903,498,498
1520560930,494,494
1520562788,494,494
1520564682,497,497
1520566598,489,489
1520568522,482,482
1520570420,477,477
1520572359,474,474
1520574278,475,475
1520576202,478,478
1520578128,486,486
1520580045,492,492
1520581941,477,477
1520583879,469,469
1520585792,466,466
1520587955,459,459
1520589880,464,464
1520591786,457,457
1520593725,457,457
1520595617,453,453
1520597552,447,447
1520599456,452,452
1520601374,443,443
1520603470,433,433
1520605455,424,424
1520607671,423,423
1520609548,423,423
1520611469,415,415
1520613390,413,413
1520615309,410,410
1520617235,414,414
1520619144,401,401
1520621086,406,406
1520622993,409,409
1520624902,406,406
1520626819,405,405
1520628760,406,406
1520630669,401,401
1520632597,401,401
1520635557,399,399
1520637445,392,392
1520639441,393,393
1520641284,395,395
1520643159,392,392
1520645146,386,386
1520647333,387,387
1520649287,382,382
1520651309,377,377
1520653214,375,375
1520655439,367,367
1520657312,372,372
1520659264,372,372
1520661160,368,368
1520663083,362,362
1520664996,357,357
1520666930,349,349
1520668896,352,352
1520670783,343,343
1520672669,330,330
1520674626,329,329
1520676521,320,320
1520678451,319,319
1520680369,319,319
1520682313,313,313
1520684202,306,306
1520686150,303,303
1520688194,295,295
1520689995,311,311
1520691880,310,310
1520693806,309,309
1520695711,311,311
1520697703,307,307
1520699551,309,309
1520701502,309,309
1520703665,307,307
1520705549,305,305
1520707487,303,303
1520709391,315,315
1520711313,325,325
1520713224,342,342
1520715185,356,356
1520717066,364,364
1520718890,373,373
1520720701,381,381
1520722640,394,394
1520724848,410,410
1520726922,432,432
1520728815,448,448
1520730997,465,465
1520733017,472,472
1520734829,487,487
1520737003,505,505
1520738914,517,517
1520740884,537,537
1520742755,569,569
1520744706,584,584
1520746590,600,600
1520748518,605,605
1520750672,615,615
1520752589,614,614
1520754508,610,610
1520756423,604,604
1520758361,608,608
1520760262,608,608
1520762180,610,610
1520764113,611,611
1520766114,610,610
1520768196,614,614
1520770130,611,611
1520772027,612,612
1520773968,616,616
1520776233,602,602
1520778280,598,598
1520780204,589,589
1520782108,586,586
1520784134,588,588
1520785974,588,588
1520787955,581,581
1520789800,576,576
1520791737,572,572
1520793876,567,567
1520796046,550,550
1520797947,536,536
1520799896,513,513
1520801793,497,497
1520803743,485,485
1520805676,478,478
1520807563,469,469
1520809479,454,454
1520811639,438,438
1520813565,418,418
1520815480,406,406
1520817407,394,394
1520819331,380,380
1520821257,362,362
1520823164,352,352
1520825089,339,339
1520827009,325,325
1520828932,292,292
1520830890,278,278
1520832768,258,258
