DateTime,AddedIPs,RemovedIPs
1520204199,1,0
1520206367,3,2
1520208547,2,1
1520212390,2,1
1520214330,1,1
1520216228,3,1
1520218154,3,1
1520220073,1,2
1520223896,2,1
1520225841,1,1
1520227740,2,1
1520231847,0,3
1520233774,0,1
1520235673,2,0
1520237617,1,0
1520239501,1,0
1520241455,0,4
1520243328,2,2
1520245309,1,1
1520251018,1,0
1520254895,0,3
1520258715,0,1
1520260879,2,0
1520264707,1,0
1520266866,1,1
1520270732,1,0
1520274705,1,0
1520284864,0,3
1520286776,1,0
1520288724,2,0
1520290601,1,0
1520292569,1,3
1520294685,1,2
1520296581,1,0
1520298534,1,1
1520300485,1,2
1520302368,2,3
1520304328,1,3
1520306215,1,0
1520308174,0,1
1520310041,2,1
1520312001,1,0
1520313881,1,1
1520315890,0,2
1520317721,2,0
1520319777,1,0
1520322040,1,2
1520323970,3,1
1520325880,4,1
1520327810,2,0
1520329716,4,0
1520331645,2,1
1520333566,2,0
1520335473,4,0
1520337385,0,1
1520339331,4,0
1520341290,1,0
1520345420,0,1
1520347250,0,1
1520349159,2,0
1520351089,2,1
1520353018,0,2
1520356934,2,0
1520360909,0,1
1520370773,1,0
1520372661,1,1
1520374582,1,2
1520376514,1,2
1520378673,1,2
1520380604,0,1
1520382513,1,1
1520384475,2,1
1520386356,1,0
1520388289,2,2
1520390212,1,0
1520392118,1,0
1520394030,3,0
1520395953,3,3
1520397877,1,1
1520399796,1,0
1520401711,1,2
1520403634,1,2
1520405553,1,1
1520407469,2,0
1520409404,0,4
1520411309,0,3
1520413301,1,2
1520415159,1,5
1520417325,1,2
1520419228,2,0
1520421157,1,5
1520423079,0,1
1520425000,2,3
1520426910,1,1
1520428831,2,1
1520430756,1,0
1520434588,0,1
1520436510,1,1
1520438500,0,2
1520440363,1,0
1520442277,0,2
1520446456,1,0
1520457862,0,2
1520461959,0,2
1520463868,0,1
1520465798,0,1
1520467992,0,1
1520472081,1,4
1520474111,2,2
1520475940,1,1
1520477914,1,0
1520479751,1,2
1520481785,0,4
1520483602,0,1
1520485583,1,1
1520487429,0,1
1520489425,1,1
1520491302,2,2
1520493305,0,1
1520495318,2,1
1520497515,1,0
1520499470,0,1
1520501480,1,1
1520503893,4,1
1520505871,2,2
1520507788,1,1
1520509959,5,0
1520511885,1,1
1520513794,0,1
1520515952,3,3
1520517890,2,0
1520519962,1,0
1520521942,0,1
1520523998,0,1
1520526024,2,0
1520528190,2,1
1520533950,1,1
1520535860,2,0
1520537782,1,0
1520539722,1,0
1520541622,1,0
1520543541,1,0
1520545476,1,0
1520547406,3,0
1520551241,1,0
1520553143,4,0
1520555085,2,1
1520557008,3,0
1520558903,5,2
1520560931,1,1
1520562788,1,1
1520564683,2,1
1520566599,1,1
1520570420,1,0
1520572360,1,1
1520576203,3,1
1520578128,2,2
1520581941,0,3
1520587956,1,1
1520589880,0,2
1520591786,1,3
1520593726,1,1
1520595618,3,3
1520597552,0,1
1520599457,0,1
1520601374,2,2
1520603471,1,1
1520605455,3,1
1520607671,0,1
1520609549,1,0
1520611470,2,2
1520613391,2,2
1520619145,1,0
1520621086,1,2
1520622993,1,0
1520624902,2,1
1520628761,1,1
1520630669,0,1
1520632597,0,3
1520635558,3,2
1520637446,0,1
1520639441,2,3
1520641284,0,3
1520643159,1,3
1520645147,3,5
1520647334,0,1
1520649288,2,1
1520651310,1,1
1520653215,0,1
1520655439,1,1
1520657312,1,0
1520659264,0,1
1520663084,2,5
1520664997,0,1
1520666931,1,1
1520668896,1,0
1520672670,1,0
1520674626,0,1
1520676521,3,0
1520678451,0,1
1520680370,1,1
1520682315,0,2
1520684203,1,0
1520686150,1,1
1520688194,0,1
1520689996,2,1
1520691881,0,3
1520693807,1,1
1520695712,0,1
1520697704,1,2
1520699552,2,2
1520709392,0,1
1520711314,0,2
1520713225,1,0
1520715185,0,2
1520717066,1,0
1520718891,1,0
1520720702,1,2
1520722641,0,1
1520726923,1,2
1520728816,1,0
1520730997,1,3
1520733018,1,1
1520737004,0,1
1520738915,1,1
1520740884,1,0
1520742755,0,1
1520746590,1,0
1520748519,1,2
1520754509,3,0
1520756423,1,1
1520758363,3,2
1520760262,2,0
1520762180,1,1
1520764113,0,1
1520766115,2,1
1520768196,1,0
1520770130,1,0
1520772028,1,1
1520773968,1,0
1520776234,0,2
1520778281,2,1
1520780205,0,1
1520782109,2,1
1520784134,3,1
1520785975,0,2
1520791738,1,0
1520796047,1,0
1520797947,0,2
1520799896,0,3
1520803744,1,1
1520805677,0,1
1520809479,2,0
1520811639,2,1
1520813565,1,1
1520815481,0,1
1520817408,1,0
1520819331,0,1
1520823165,2,1
1520825090,1,1
1520827010,0,1
1520832768,0,1
1520834673,1,1
1520840461,0,2
1520844527,1,3
1520846444,1,3
1520848378,2,2
1520850290,2,1
1520852209,0,1
1520854104,5,0
1520856085,2,2
1520857959,0,1
1520859881,1,0
1520861801,1,0
1520863726,2,2
1520867801,1,1
1520869720,0,2
1520871654,2,1
1520873787,1,0
1520876655,4,0
1520878746,1,1
1520882681,0,1
1520887865,1,0
1520889880,1,1
1520892107,2,0
1520893968,1,0
1520896158,2,2
1520898020,1,1
1520900198,4,1
1520902106,3,0
1520904022,3,1
1520910102,4,1
1520911942,2,1
1520914123,3,0
1520916031,1,0
1520917961,1,0
1520919879,5,0
1520921789,3,1
1520923716,7,0
1520925631,1,0
1520927576,3,0
1520929499,4,0
1520931388,3,2
1520933306,2,1
1520935299,2,2
1520937155,2,2
1520939082,1,1
1520941006,1,5
1520942912,2,2
1520946754,0,2
1520948693,0,1
1520950601,0,1
1520952525,1,1
1520954428,4,1
1520956345,1,0
1520958273,1,1
1520960216,1,0
1520962112,1,3
1520964078,0,1
1520966037,1,1
1520968134,2,0
1520970274,1,0
1520972436,1,0
1520974363,0,1
1520976278,0,1
1520978186,2,0
1520980100,1,1
1520982132,1,1
1520985880,2,3
1520987784,2,2
1520989720,2,5
1520991624,2,0
1520993556,2,0
1520995463,0,2
1520997390,0,2
1520999304,3,3
1521001230,1,3
1521003160,0,1
1521005070,2,3
1521006979,0,3
1521008908,0,6
1521010897,2,2
1521012767,0,4
1521014672,2,6
1521016611,3,2
1521018528,1,2
1521020444,0,4
1521024530,1,2
1521026441,2,1
1521028351,1,1
1521030270,1,2
1521038178,0,2
1521039988,1,3
1521041800,0,2
1521043629,1,1
1521045479,1,0
1521047492,2,2
1521049459,1,0
1521053312,0,1
1521055116,1,1
1521056989,2,0
1521058926,1,1
1521064895,0,1
1521066744,2,2
1521068546,1,0
1521071090,5,1
1521072989,2,5
1521074863,0,1
1521076821,1,3
1521078748,4,1
1521080698,1,2
1521082566,2,0
1521084503,2,2
1521086367,0,2
1521088340,0,1
1521090246,2,1
1521092181,1,1
1521094115,1,0
1521096017,1,2
1521097865,0,1
1521099862,1,0
1521101675,1,2
1521103483,2,2
1521105482,1,2
1521107559,3,0
1521109466,1,0
1521111393,2,1
1521113298,2,3
1521116518,2,1
1521118601,1,1
1521120967,4,1
1521122935,2,0
1521125013,1,0
1521127235,1,0
1521129179,2,1
1521133325,3,0
1521135161,1,1
1521140921,1,1
1521142827,0,3
1521146677,2,1
1521148598,2,1
1521152436,0,1
1521156434,0,4
1521158561,0,3
1521160639,0,1
1521162688,1,0
1521164996,1,4
1521166832,1,0
1521168795,0,3
1521170665,2,3
1521172644,1,0
1521176534,1,2
1521178360,0,1
1521180303,0,1
1521182191,1,0
1521184180,2,0
1521186025,2,1
1521187998,1,1
1521189877,2,2
1521191825,1,1
1521193708,1,2
1521195706,0,2
1521197553,4,1
1521199477,1,3
1521201483,2,0
1521203327,0,1
1521205285,2,2
1521207156,1,3
1521209065,2,3
1521210996,1,3
1521215076,1,2
1521216994,1,1
1521218915,1,3
1521220836,1,0
1521222760,0,1
1521226597,1,1
1521228515,1,0
1521234285,1,1
1521236206,1,2
1521238133,3,1
1521240034,1,1
1521243858,1,0
1521245690,0,1
1521247497,1,0
1521249439,1,1
1521251322,4,1
1521253444,2,1
1521255377,1,0
1521257364,2,2
1521259327,3,1
1521261310,2,0
1521263297,1,1
1521265100,1,0
1521266928,1,0
1521268879,1,1
1521270759,0,2
1521272739,2,1
1521274581,0,3
1521276562,1,0
1521278435,0,3
1521282275,1,1
1521284273,0,3
1521286099,0,1
1521288135,0,2
1521289967,2,2
1521291994,4,1
1521293798,1,1
1521295835,0,2
1521299697,1,0
1521301592,1,0
1521303525,2,1
1521305431,2,2
1521307360,2,1
1521309286,2,0
1521313120,1,1
1521315044,1,0
1521318892,0,2
1521320927,0,2
1521323068,1,1
1521325008,0,2
1521326948,0,1
1521330753,1,1
1521334577,1,1
1521336496,1,4
1521338492,1,1
1521340339,2,3
1521342276,0,1
1521344432,1,3
1521346354,1,2
1521348292,2,0
1521350190,1,1
1521352107,2,2
1521354023,0,1
1521356079,1,1
1521358369,1,1
1521360273,2,1
1521362200,2,1
1521364126,1,0
1521366045,1,0
1521367950,1,1
