DateTime,AddedIPs,RemovedIPs
1520388290,2,2
1520390213,2,3
1520392119,1,2
1520394031,3,2
1520395954,1,10
1520397879,5,9
1520399797,1,2
1520401712,2,5
1520403636,5,6
1520405554,1,0
1520407470,2,5
1520409406,16,1
1520411311,2,0
1520413302,5,4
1520415160,1,2
1520417326,0,1
1520419229,0,4
1520421158,4,3
1520423080,6,3
1520425002,4,1
1520426911,2,1
1520428832,3,1
1520430757,3,4
1520432684,4,5
1520434589,5,2
1520436511,5,2
1520438502,9,1
1520440364,4,1
1520442278,3,2
1520444435,8,2
1520446457,4,2
1520448276,4,1
1520450202,4,21
1520452120,5,1
1520454036,4,0
1520455967,3,6
1520457863,5,4
1520460088,4,2
1520461961,2,1
1520463869,4,5
1520465799,2,2
1520467993,2,6
1520469951,1,2
1520472082,4,2
1520474112,2,1
1520475941,3,4
1520477915,2,1
1520481787,14,3
1520483603,1,3
1520485584,2,1
1520487430,4,2
1520489426,3,4
1520491303,1,2
1520493307,4,2
1520495319,5,16
1520497517,6,28
1520499471,7,5
1520501481,2,1
1520503894,4,2
1520505873,6,0
1520507789,2,6
1520509960,6,3
1520511887,1,4
1520513795,2,3
1520515953,6,2
1520517891,6,4
1520519963,4,3
1520521943,4,5
1520523999,3,7
1520526025,1,5
1520528191,4,1
1520530116,4,18
1520532088,2,3
1520533952,5,4
1520535861,3,3
1520537783,2,5
1520539723,4,4
1520541623,2,3
1520543542,7,5
1520545477,7,3
1520547407,7,2
1520549315,7,6
1520551242,5,2
1520553144,1,2
1520555086,6,2
1520557009,4,3
1520558904,3,3
1520560932,2,2
1520562789,2,4
1520564684,4,2
1520566600,2,6
1520568524,3,8
1520570422,1,1
1520572361,28,2
1520574280,1,3
1520576204,4,4
1520578130,2,1
1520580047,6,2
1520581942,3,4
1520583883,3,2
1520585793,2,7
1520587957,3,3
1520589881,4,5
1520591787,3,4
1520593727,2,3
1520595619,2,1
1520597554,3,4
1520599458,5,1
1520601376,2,4
1520603472,5,6
1520605457,6,5
1520607673,6,4
1520609550,1,4
1520611471,1,1
1520613392,8,6
1520615311,7,2
1520617237,5,4
1520619146,1,4
1520621087,1,3
1520622994,5,2
1520624903,5,1
1520626821,2,5
1520628762,4,9
1520630670,0,10
1520632599,1,1
1520635559,10,12
1520637447,2,5
1520639442,0,2
1520641286,2,5
1520643161,2,2
1520645148,1,3
1520647335,3,3
1520649289,2,3
1520651311,5,5
1520653216,3,1
1520655441,3,4
1520657313,6,12
1520659266,0,18
1520661162,1,1
1520663085,3,5
1520664998,1,3
1520666932,4,7
1520668899,6,2
1520670785,1,3
1520672671,5,2
1520674628,1,2
1520676523,2,4
1520678452,1,4
1520680371,1,2
1520682316,0,2
1520684204,2,3
1520686152,3,4
1520688196,2,2
1520689997,0,5
1520691882,3,6
1520693808,4,3
1520695713,2,2
1520697705,3,0
1520699553,0,3
1520701504,2,6
1520703667,0,3
1520705550,1,3
1520707488,5,1
1520709393,4,7
1520711315,6,5
1520713225,4,2
1520715186,3,2
1520717067,3,1
1520718892,0,4
1520720703,3,5
1520722641,16,8
1520724850,12,2
1520726924,7,4
1520728817,5,1
1520730999,10,1
1520733019,0,3
1520734831,2,1
1520737005,7,2
1520738916,3,5
1520740886,5,2
1520742756,2,1
1520744707,4,4
1520746591,3,0
1520748520,4,3
1520750673,1,2
1520752590,5,6
1520754509,4,3
1520756425,1,4
1520758366,3,4
1520760264,2,1
1520762182,2,3
1520764114,3,2
1520766116,1,1
1520768197,5,2
1520770132,1,0
1520772029,1,4
1520773969,1,4
1520776235,2,1
1520778282,1,3
1520780206,4,3
1520782110,4,1
1520784135,6,2
1520785975,2,1
1520787956,5,2
1520789801,2,0
1520791738,1,1
1520793877,5,5
1520796048,7,7
1520797948,8,5
1520799897,4,3
1520801794,6,3
1520803745,6,3
1520805678,2,1
1520807564,5,8
1520809480,8,13
1520811640,4,9
1520813566,9,8
1520815481,175,7
1520817409,3,8
1520819332,4,1
1520821259,8,1
1520823165,1,5
1520825091,2,3
1520827010,2,3
1520828933,3,4
1520830891,3,5
1520832769,2,4
1520834674,4,3
1520836605,1,2
1520838506,1,5
1520840462,3,4
1520842354,6,0
1520844527,5,3
1520846445,1,0
1520848378,4,2
1520850291,3,2
1520852209,4,1
1520854105,2,5
1520856085,7,1
1520857960,4,1
1520859881,3,1
1520863726,4,1
1520865644,3,3
1520867802,2,3
1520869721,6,7
1520871655,4,3
1520873788,3,5
1520876655,6,3
1520878747,5,1
1520880753,1,7
1520882682,0,3
1520884585,1,8
1520887866,1,11
1520889881,1,3
1520892108,2,4
1520893969,2,4
1520896159,3,9
1520898021,4,3
1520900199,0,11
1520902107,2,175
1520904023,3,0
1520905973,1,4
1520908013,1,4
1520910103,1,2
1520911944,2,3
1520914124,2,2
1520916032,0,4
1520917962,3,6
1520919880,1,0
1520921790,5,3
1520923717,2,0
1520925632,1,2
1520927576,10,2
1520929500,2,8
1520931389,2,7
1520933307,2,2
1520935300,1,1
1520937156,0,3
1520939083,1,4
1520941006,5,6
1520942913,3,1
1520944833,1,4
1520946755,5,1
1520948694,0,1
1520950602,4,1
1520952526,2,3
1520954429,0,2
1520956346,0,9
1520958274,1,6
1520960217,4,3
1520962113,6,4
1520964079,6,4
1520966038,4,5
1520968135,1,2
1520970275,5,2
1520972437,1,2
1520974364,2,3
1520976279,5,2
1520978187,11,3
1520980101,1,1
1520982133,1,1
1520983973,6,6
1520985881,1,0
1520987785,22,2
1520989721,18,2
1520991625,5,2
1520993556,1,1
1520995464,1,2
1520997391,3,4
1520999305,4,3
1521001231,1,0
1521003161,6,1
1521005071,4,6
1521006980,2,3
1521008909,2,4
1521010897,1,3
1521012768,4,6
1521014673,6,5
1521016612,5,2
1521018529,3,2
1521020445,2,2
1521022363,14,0
1521024531,5,0
1521026442,4,6
1521028352,6,3
1521030271,4,1
1521032362,19,4
1521034343,12,1
1521036187,10,4
1521038179,4,2
1521039989,2,1
1521041802,10,0
1521043631,3,1
1521045480,3,1
1521047493,1,6
1521049461,4,7
1521051276,2,3
1521053314,1,1
1521055117,15,3
1521056991,2,1
1521058927,3,2
1521060765,1,3
1521062831,1,7
1521064896,5,9
1521066746,5,2
1521068547,0,1
1521071091,7,4
1521072990,1,1
1521074864,1,37
1521076822,1,4
1521078749,5,5
1521080699,4,1
1521082567,2,2
1521084505,2,3
1521086369,3,2
1521088341,1,3
1521090247,7,1
1521092182,2,2
1521094116,0,1
1521096017,5,3
1521097866,2,0
1521099863,4,7
1521101677,5,5
1521103484,2,2
1521105483,1,4
1521107560,5,4
1521109467,0,12
1521111394,4,5
1521113299,4,3
1521116519,2,10
1521118602,2,17
1521120968,2,16
1521122935,1,8
1521125014,2,3
1521127236,5,10
1521129180,0,5
1521131077,4,5
1521133326,1,3
1521135162,2,1
1521137112,2,3
1521138996,1,2
1521140922,5,11
1521142828,0,6
1521144753,2,1
1521146678,5,3
1521148599,1,3
1521150509,2,1
1521152437,1,4
1521154357,5,2
1521156435,0,4
1521158562,5,5
1521160640,4,1
1521162689,3,3
1521164997,3,4
1521166833,0,4
1521168796,2,0
1521170666,1,4
1521172645,4,2
1521174503,2,1
1521176535,1,6
1521178361,9,2
1521180304,4,2
1521182192,1,4
1521184181,3,2
1521186026,1,4
1521187999,4,5
1521189878,9,2
1521191826,12,2
1521193709,1,4
1521195707,1,1
1521197553,3,6
1521199478,2,3
1521201484,1,3
1521203328,5,1
1521205286,2,1
1521207156,5,4
1521209066,3,1
1521210997,0,2
1521212903,0,3
1521215077,1,1
1521216995,3,0
1521218916,5,0
1521220837,6,0
1521222761,6,4
1521224682,0,2
1521226598,2,2
1521228516,3,3
1521230499,2,3
1521232365,5,2
1521234286,1,2
1521236207,3,3
1521240035,5,4
1521241908,9,3
1521243859,10,2
1521245691,3,0
1521247498,3,7
1521249441,0,1
1521251323,2,3
1521253445,8,1
1521255378,4,1
1521257365,7,3
1521259328,3,3
1521261311,3,1
1521263298,4,2
1521265101,0,7
1521266929,2,3
1521268880,4,1
1521270760,16,1
1521272740,3,2
1521274582,3,2
1521276563,4,9
1521278436,1,12
1521280395,6,2
1521282276,1,2
1521284274,5,2
1521286100,3,1
1521288136,3,2
1521289969,3,4
1521291996,2,1
1521293800,2,4
1521295836,2,12
1521297642,3,4
1521299698,4,2
1521301593,2,0
1521303526,2,4
1521305432,1,5
1521307361,0,4
1521309287,8,4
1521311194,1,1
1521313121,15,3
1521315046,1,3
1521316977,4,2
1521318893,12,5
1521320928,0,1
1521323069,4,3
1521325009,2,0
1521326949,6,4
1521328895,0,10
1521330754,1,8
1521332664,5,5
1521334578,4,2
1521336497,0,1
1521338493,3,0
1521340340,2,8
1521342277,0,3
1521344433,8,6
1521346354,2,4
1521348292,4,1
1521350191,1,0
1521352108,1,0
1521354024,1,4
1521356080,2,16
1521358370,1,5
1521360274,1,2
1521362201,1,2
1521364128,1,4
1521366046,3,3
