DateTime,Entries,UniqueIPs
1520212393,48,48
1520214333,50,50
1520216231,49,49
1520218157,49,49
1520220076,51,51
1520221977,52,52
1520223899,50,50
1520225844,50,50
1520229766,48,48
1520231850,47,47
1520233777,47,47
1520235676,46,46
1520237620,46,46
1520239504,45,45
1520241457,47,47
1520245311,46,46
1520247192,44,44
1520249121,46,46
1520251021,47,47
1520252984,44,44
1520254898,39,39
1520256820,40,40
1520258719,39,39
1520260883,38,38
1520262795,39,39
1520264711,37,37
1520266869,36,36
1520268816,35,35
1520270735,36,36
1520272694,37,37
1520274708,37,37
1520278611,36,36
1520280603,35,35
1520282474,36,36
1520284869,37,37
1520288728,38,38
1520290604,40,40
1520292572,40,40
1520294689,41,41
1520296584,41,41
1520300488,39,39
1520302372,40,40
1520304332,40,40
1520306219,39,39
1520308179,40,40
1520310045,39,39
1520312006,38,38
1520313884,39,39
1520317724,41,41
1520323974,41,41
1520325884,42,42
1520327814,40,40
1520331649,40,40
1520333569,41,41
1520335476,40,40
1520337388,38,38
1520339335,39,39
1520343173,38,38
1520345424,36,36
1520349162,37,37
1520351093,40,40
1520353022,39,39
1520354936,40,40
1520356946,39,39
1520358779,38,38
1520360914,37,37
1520364782,38,38
1520368834,36,36
1520370778,35,35
1520374585,34,34
1520376518,35,35
1520378676,33,33
1520380607,33,33
1520382516,31,31
1520384509,39,39
1520388292,39,39
1520392122,37,37
1520394034,37,37
1520395958,38,38
1520399800,38,38
1520403638,37,37
1520409410,38,38
1520411313,37,37
1520415163,36,36
1520419232,37,37
1520423083,39,39
1520425005,41,41
1520428836,44,44
1520430761,46,46
1520432687,47,47
1520434592,46,46
1520436515,47,47
1520438506,45,45
1520440368,45,45
1520442281,44,44
1520444439,46,46
1520446461,48,48
1520448280,47,47
1520450205,50,50
1520452124,50,50
1520454040,51,51
1520455971,52,52
1520461965,53,53
1520463872,51,51
1520465802,54,54
1520467996,54,54
1520469953,55,55
1520472085,56,56
1520474115,47,47
1520475944,47,47
1520479755,47,47
1520481790,45,45
1520483606,46,46
1520485587,45,45
1520487433,46,46
1520489428,46,46
1520491305,47,47
1520493309,48,48
1520495321,47,47
1520497519,47,47
1520501483,49,49
1520503896,50,50
1520505876,48,48
1520507792,52,52
1520509963,50,50
1520511890,52,52
1520513798,53,53
1520515956,49,49
1520517895,50,50
1520519966,47,47
1520521945,46,46
1520524002,46,46
1520526028,47,47
1520528194,46,46
1520530118,48,48
1520532091,48,48
1520533955,50,50
1520535864,47,47
1520537786,46,46
1520539725,47,47
1520541626,44,44
1520543545,45,45
1520547410,44,44
1520551245,42,42
1520553147,41,41
1520555088,40,40
1520557012,39,39
1520558907,38,38
1520560936,39,39
1520562792,38,38
1520564687,39,39
1520566603,40,40
1520570424,41,41
1520572363,42,42
1520576206,43,43
1520578132,43,43
1520580050,43,43
1520581945,45,45
1520583886,44,44
1520587959,42,42
1520591790,47,47
1520593730,46,46
1520595622,43,43
1520597556,41,41
1520599460,39,39
1520601378,44,44
1520603475,45,45
1520605459,44,44
1520607675,44,44
1520609553,43,43
1520611473,42,42
1520613395,42,42
1520615314,41,41
1520617240,39,39
1520619148,38,38
1520621090,36,36
1520622997,38,38
1520626824,38,38
1520630673,37,37
1520632602,38,38
1520635562,39,39
1520637449,41,41
1520641288,43,43
1520645151,44,44
1520647338,44,44
1520649291,44,44
1520651313,46,46
1520653219,46,46
1520655443,47,47
1520657316,49,49
1520659268,50,50
1520663088,49,49
1520665000,48,48
1520666935,47,47
1520668901,48,48
1520670787,48,48
1520674630,49,49
1520678455,45,45
1520680374,45,45
1520682320,46,46
1520686154,43,43
1520688199,40,40
1520690000,41,41
1520691885,42,42
1520693811,43,43
1520695715,43,43
1520701506,42,42
1520703668,44,44
1520705552,44,44
1520707490,45,45
1520709395,45,45
1520713227,46,46
1520715188,47,47
1520718893,47,47
1520720705,49,49
1520722644,48,48
1520724852,51,51
1520726927,52,52
1520728819,51,51
1520731001,52,52
1520733021,53,53
1520734833,51,51
1520737007,51,51
1520738919,50,50
1520740888,49,49
1520742759,47,47
1520744710,45,45
1520746594,47,47
1520750676,48,48
1520752593,47,47
1520754512,47,47
1520756428,47,47
1520758369,48,48
1520762184,47,47
1520764116,48,48
1520766118,47,47
1520768199,48,48
1520770134,50,50
1520772031,51,51
1520773972,51,51
1520776237,54,54
1520778284,53,53
1520780208,52,52
1520782112,53,53
1520784137,55,55
1520785977,55,55
1520787958,56,56
1520789803,55,55
1520791740,57,57
1520793879,56,56
1520796050,55,55
1520799899,53,53
1520801796,54,54
1520803747,55,55
1520805681,55,55
1520807567,53,53
1520809483,55,55
1520811643,52,52
1520813569,49,49
1520815484,51,51
1520817412,50,50
1520819335,50,50
1520821262,51,51
1520823168,51,51
1520825094,52,52
1520827013,53,53
1520828936,52,52
1520830894,53,53
1520832772,53,53
1520836608,55,55
1520840464,56,56
1520842356,54,54
1520844530,54,54
1520846447,55,55
1520850294,54,54
1520852212,55,55
1520854107,52,52
1520856088,50,50
1520857962,49,49
1520859884,50,50
1520861804,47,47
1520863729,45,45
1520865646,45,45
1520867804,42,42
1520869724,41,41
1520871657,40,40
1520873790,37,37
1520876657,38,38
1520878749,36,36
1520884588,38,38
1520887869,37,37
1520889884,36,36
1520892111,38,38
1520893971,38,38
1520896162,35,35
1520898024,36,36
1520900202,34,34
1520902110,35,35
1520904026,37,37
1520905975,36,36
1520908016,39,39
1520910106,37,37
1520914127,37,37
1520916035,38,38
1520917965,39,39
1520919883,38,38
1520921793,38,38
1520923720,40,40
1520927579,40,40
1520929503,39,39
1520931391,41,41
1520933310,41,41
1520937159,39,39
1520939086,40,40
1520941009,40,40
1520944836,38,38
1520948697,37,37
1520952529,39,39
1520954432,41,41
1520956348,42,42
1520958277,43,43
1520960219,45,45
1520962116,45,45
1520964081,46,46
1520966041,50,50
1520968137,49,49
1520970278,50,50
1520972440,49,49
1520974366,51,51
1520976282,52,52
1520978190,52,52
1520980104,53,53
1520982136,54,54
1520983975,53,53
1520985883,54,54
1520987788,52,52
1520989723,52,52
1520991628,52,52
1520995466,51,51
1520997393,52,52
1520999307,51,51
1521003164,50,50
1521005073,50,50
1521006982,50,50
1521008910,49,49
1521010899,48,48
1521014675,47,47
1521016614,47,47
1521018531,45,45
1521020447,46,46
1521022365,47,47
1521024533,47,47
1521026444,47,47
1521028353,48,48
1521032365,49,49
1521034345,53,53
1521038181,54,54
1521039992,53,53
1521041804,51,51
1521043633,50,50
1521045483,47,47
1521047496,48,48
1521049463,46,46
1521051279,43,43
1521053317,43,43
1521055120,42,42
1521058929,44,44
1521060768,44,44
1521062833,44,44
1521064899,42,42
