DateTime,AddedIPs,RemovedIPs
1520394033,48,38
1520395957,42,40
1520397881,43,33
1520399800,54,39
1520401714,47,34
1520403638,56,42
1520405556,66,37
1520407473,55,122
1520409409,58,32
1520411313,41,1685
1520413304,63,1531
1520415162,53,86
1520417329,57,37
1520419232,35,43
1520421161,57,37
1520423082,68,45
1520425004,74,36
1520426914,50,34
1520428836,57,29
1520430760,41,41
1520432686,58,50
1520434592,146,79
1520436514,131,109
1520438505,119,83
1520440367,101,64
1520442281,122,40
1520444438,98,114
1520446460,87,85
1520448279,233,71
1520450205,88,50
1520452123,96,51
1520454039,160,44
1520455970,80,34
1520457866,58,65
1520460091,100,20
1520461964,56,36
1520463871,56,1495
1520465801,110,3853
1520467995,92,317
1520469953,87,42
1520472084,99,36
1520474114,2149,55
1520475943,3380,36
1520477918,66,50
1520479755,53,47
1520481789,61,35
1520483606,51,40
1520485586,75,64
1520487433,57,43
1520489428,149,46
1520491304,47,71
1520493308,145,42
1520495321,90,57
1520497518,130,47
1520499473,83,66
1520501483,59,53
1520503896,62,47
1520505876,40,32
1520507791,57,56
1520509962,57,63
1520511889,51,59
1520513797,61,49
1520515955,55,40
1520517894,41,47
1520519965,72,67
1520521944,60,66
1520524001,48,72
1520526028,50,86
1520528194,64,74
1520530118,45,82
1520532090,61,69
1520533954,75,1030
1520535863,44,3385
1520537786,61,464
1520539725,62,174
1520541625,95,112
1520543545,70,86
1520545479,58,82
1520547410,44,267
1520549317,93,102
1520551244,37,89
1520553146,47,107
1520555088,58,82
1520557012,50,88
1520558906,54,79
1520560935,53,2795
1520562791,44,2766
1520564686,92,66
1520566602,50,51
1520568526,34,63
1520570423,69,59
1520572363,40,81
1520574282,45,71
1520576206,46,98
1520578131,51,130
1520580050,45,193
1520581944,66,97
1520583886,63,128
1520585795,77,101
1520587959,56,62
1520589883,133,123
1520591789,61,46
1520593729,52,59
1520595621,51,45
1520597556,42,70
1520599460,50,66
1520601378,63,58
1520603474,73,65
1520605459,69,62
1520607675,75,70
1520609552,123,46
1520611473,102,69
1520613395,89,57
1520615313,95,56
1520617239,84,44
1520619148,71,57
1520621090,59,75
1520622997,52,54
1520624906,48,61
1520626824,78,66
1520628764,63,123
1520630673,71,51
1520632601,44,63
1520635562,63,133
1520637449,44,46
1520639444,39,50
1520641288,47,59
1520643163,45,50
1520645150,30,61
1520647337,91,66
1520649291,46,49
1520651313,47,94
1520653218,46,54
1520655443,48,66
1520657315,82,63
1520659267,64,50
1520661163,65,49
1520663087,48,46
1520665000,52,59
1520666934,49,44
1520668901,49,60
1520670787,63,71
1520672673,53,69
1520674630,56,47
1520676525,31,124
1520678454,54,63
1520680374,55,65
1520682320,40,55
1520684206,59,51
1520686154,53,53
1520688198,349,72
1520689999,49,55
1520691884,59,59
1520693810,58,40
1520695714,58,46
1520697707,56,55
1520699555,44,46
1520701505,49,76
1520703668,120,87
1520705552,46,57
1520707490,121,54
1520709394,54,50
1520711316,45,54
1520713226,53,80
1520715187,45,83
1520717068,47,90
1520718893,51,68
1520720705,35,37
1520722643,56,44
1520724851,64,61
1520726926,55,41
1520728819,61,43
1520731000,74,38
1520733021,62,61
1520734832,34,55
1520737007,47,58
1520738918,51,39
1520740888,48,50
1520742759,57,57
1520744710,49,91
1520746594,53,65
1520748523,46,60
1520750676,48,52
1520752593,53,58
1520754512,38,39
1520756427,28,54
1520758368,49,54
1520760266,43,55
1520762184,46,49
1520764116,49,51
1520766117,48,56
1520768199,56,47
1520770133,61,54
1520772030,51,44
1520773971,60,412
1520776236,72,63
1520778284,72,61
1520780207,62,50
1520782112,72,49
1520784137,63,57
1520785977,54,36
1520787958,65,50
1520789803,49,106
1520791740,79,48
1520793879,78,138
1520796050,63,264
1520797950,54,46
1520799899,39,55
1520801796,46,48
1520803746,51,49
1520805680,61,54
1520807566,64,47
1520809482,50,56
1520811642,83,62
1520813568,72,62
1520815484,1436,56
1520817411,1797,80
1520819334,592,64
1520821261,54,40
1520823168,73,42
1520825093,46,47
1520827013,49,46
1520828936,34,48
1520830894,58,55
1520832771,41,55
1520834676,36,53
1520836607,50,34
1520838508,29,47
1520840463,48,44
1520842356,49,35
1520844529,45,48
1520846447,34,40
1520848380,51,36
1520850293,47,56
1520852211,57,42
1520854107,46,48
1520856087,75,67
1520857962,119,48
1520859883,101,48
1520861804,68,69
1520863728,101,66
1520865646,88,54
1520867804,97,77
1520869723,107,64
1520871657,72,38
1520873790,57,74
1520876657,94,79
1520878748,67,68
1520880755,70,51
1520882684,45,68
1520884588,64,54
1520887868,131,72
1520889883,35,52
1520892111,62,60
1520893971,39,65
1520896162,56,71
1520898023,36,62
1520900201,58,79
1520902109,35,1638
1520904025,37,1791
1520905975,40,399
1520908016,44,75
1520910105,62,52
1520911946,43,52
1520914126,43,56
1520916034,45,46
1520917965,45,63
1520919882,58,40
1520921792,44,46
1520923720,80,55
1520925634,38,36
1520927578,41,53
1520929502,65,40
1520931391,64,39
1520933309,83,43
1520935302,62,62
1520937159,41,45
1520939086,52,48
1520941009,58,54
1520942915,57,51
1520944836,53,51
1520946757,59,67
1520948696,42,48
1520950604,37,83
1520952529,57,83
1520954432,63,54
1520956348,43,106
1520958277,50,63
1520960219,57,57
1520962115,55,77
1520964081,40,56
1520966041,55,60
1520968137,36,66
1520970277,105,61
1520972440,48,95
1520974366,41,64
1520976281,38,50
1520978189,33,56
1520980103,40,40
1520982135,34,57
1520983975,32,35
1520985883,32,40
1520987788,26,44
1520989723,37,40
1520991627,34,51
1520993558,28,42
1520995466,32,57
1520997393,100,50
1520999306,36,50
1521001232,40,37
1521003163,83,52
1521005072,33,39
1521006981,34,67
1521008910,37,61
1521010899,41,75
1521012769,44,51
1521014674,36,47
1521016614,43,56
1521018531,36,155
1521020447,45,49
1521022365,52,65
1521024532,44,70
1521026443,4576,56
1521028353,49,51
1521030272,49,57
1521032364,78,94
1521034345,98,44
1521036189,71,31
1521038180,73,40
1521039991,92,57
1521041803,92,32
1521043632,57,45
1521045483,58,38
1521047496,82,52
1521049463,40,48
1521051279,17,46
1521053316,80,35
1521055119,45,46
1521056992,56,91
1521058929,53,39
1521060767,48,43
1521062832,47,41
1521064898,37,36
1521066748,47,35
1521068549,101,29
1521071093,72,45
1521072992,45,32
1521074866,42,33
1521076824,39,30
1521078751,39,30
1521080701,49,35
1521082569,60,49
1521084507,92,84
1521086370,73,39
1521088342,53,29
1521090249,36,82
1521092183,78,33
1521094117,34,31
1521096019,27,53
1521097868,53,32
1521099865,30,53
1521101679,46,36
1521103486,40,41
1521105485,45,27
1521107562,35,60
1521109469,50,47
1521111396,37,1111
1521113301,50,3505
1521116522,186,81
1521118604,56,53
1521120971,57,64
1521122938,593,64
1521125016,61,65
1521127238,58,142
1521129183,62,66
1521131079,72,52
1521133328,65,87
1521135164,46,34
1521137114,44,29
1521138998,36,57
1521140924,51,63
1521142829,32,58
1521144754,50,46
1521146680,52,48
1521148600,48,37
1521150511,46,34
1521152439,32,37
1521154358,48,79
1521156437,43,84
1521158564,107,59
1521160641,49,58
1521162690,50,39
1521164998,53,59
1521166835,23,46
1521168798,45,61
1521170668,58,88
1521172647,49,86
1521174505,40,57
1521176537,51,48
1521178363,28,66
1521180306,25,36
1521182196,39,33
1521184183,36,52
1521186028,56,28
1521188000,42,52
1521189879,50,37
1521191828,43,46
1521193710,129,39
1521195708,43,48
1521197555,43,33
1521199480,57,40
1521201485,50,127
1521203330,67,45
1521205287,85,43
1521207158,58,47
1521209067,63,49
1521210999,44,53
1521212904,45,41
1521215078,74,58
1521216997,47,63
1521218918,59,682
1521220838,42,43
1521222762,48,42
1521224683,44,37
1521226600,32,30
1521228518,44,43
1521230501,47,38
1521232368,34,60
1521234288,56,41
1521236209,30,60
1521238136,40,36
1521240037,65,50
1521241911,34,45
1521243861,66,49
1521245693,28,118
1521247500,42,39
1521249442,46,54
1521251324,38,46
1521253447,39,37
1521255379,34,52
1521257367,34,61
1521259331,49,48
1521261313,51,60
1521263299,63,53
1521265103,31,31
1521266930,31,31
1521268881,66,31
1521270762,31,42
1521272742,36,71
1521274584,45,29
1521276564,41,58
1521278438,40,53
1521280396,38,143
1521282277,28,30
1521284276,40,54
1521286102,43,45
1521288138,49,59
1521289971,37,45
1521291998,56,105
1521293802,49,50
1521295838,50,72
1521297644,44,46
1521299699,53,53
1521301595,49,66
1521303527,45,52
1521305434,40,58
1521307362,47,35
1521309289,40,67
1521311196,46,44
1521313123,29,30
1521315047,39,49
1521316979,41,40
1521318894,45,35
1521320929,38,60
1521323072,55,44
1521325011,34,69
1521326952,45,41
1521328897,37,42
1521330755,44,59
1521332666,29,48
1521334580,41,40
1521336499,52,43
1521338495,42,45
1521340343,46,52
1521342279,46,35
1521344435,45,49
1521346357,34,54
1521348295,43,61
1521350194,49,42
1521352110,32,25
1521354027,27,36
1521356082,42,66
1521358373,51,39
1521360276,21,38
1521362204,33,59
1521364129,32,46
1521366047,43,37
1521367953,40,38
1521369878,36,26
1521371795,55,34
