DateTime,Entries,UniqueIPs
1520394033,17220,17220
1520395957,17222,17222
1520397881,17232,17232
1520399800,17247,17247
1520401714,17260,17260
1520403638,17274,17274
1520405556,17303,17303
1520407473,17236,17236
1520409409,17262,17262
1520411313,15618,15618
1520413304,14150,14150
1520415162,14117,14117
1520417329,14137,14137
1520419232,14129,14129
1520421161,14149,14149
1520423082,14172,14172
1520425004,14210,14210
1520426914,14226,14226
1520428836,14254,14254
1520430760,14254,14254
1520432686,14262,14262
1520434592,14329,14329
1520436514,14351,14351
1520438505,14387,14387
1520440367,14424,14424
1520442281,14506,14506
1520444438,14490,14490
1520446460,14492,14492
1520448279,14654,14654
1520450205,14692,14692
1520452123,14737,14737
1520454039,14853,14853
1520455970,14899,14899
1520457866,14892,14892
1520460091,14972,14972
1520461964,14992,14992
1520463871,13553,13553
1520465801,9810,9810
1520467995,9585,9585
1520469953,9630,9630
1520472084,9693,9693
1520474114,11787,11787
1520475943,15131,15131
1520477918,15147,15147
1520479755,15153,15153
1520481789,15179,15179
1520483606,15190,15190
1520485586,15201,15201
1520487433,15215,15215
1520489428,15318,15318
1520491304,15294,15294
1520493308,15397,15397
1520495321,15430,15430
1520497518,15513,15513
1520499473,15530,15530
1520501483,15536,15536
1520503896,15551,15551
1520505876,15559,15559
1520507791,15560,15560
1520509962,15554,15554
1520511889,15546,15546
1520513797,15558,15558
1520515955,15573,15573
1520517894,15567,15567
1520519965,15572,15572
1520521944,15566,15566
1520524001,15542,15542
1520526028,15506,15506
1520528194,15496,15496
1520530118,15459,15459
1520532090,15451,15451
1520533954,14496,14496
1520535863,11155,11155
1520537786,10752,10752
1520539725,10640,10640
1520541625,10623,10623
1520543545,10607,10607
1520545479,10583,10583
1520547410,10360,10360
1520549317,10351,10351
1520551244,10299,10299
1520553146,10239,10239
1520555088,10215,10215
1520557012,10177,10177
1520558906,10152,10152
1520560935,7410,7410
1520562791,4688,4688
1520564686,4714,4714
1520566602,4713,4713
1520568526,4684,4684
1520570423,4694,4694
1520572363,4653,4653
1520574282,4627,4627
1520576206,4575,4575
1520578131,4496,4496
1520580050,4348,4348
1520581944,4317,4317
