DateTime,AddedIPs,RemovedIPs
1520394035,6,3
1520395959,1,5
1520397884,4,5
1520399802,8,0
1520401716,1,4
1520403640,1,2
1520405558,3,3
1520407476,4,8
1520409413,6,4
1520411315,3,4
1520413306,4,4
1520415164,2,2
1520417331,5,6
1520419234,4,4
1520421162,6,1
1520423084,5,4
1520425006,6,0
1520426916,0,1
1520428838,2,1
1520430763,4,5
1520432688,4,6
1520434594,10,4
1520436517,11,2
1520438507,14,4
1520440369,15,3
1520442283,11,2
1520444440,6,2
1520446462,9,3
1520448281,13,4
1520450207,7,6
1520452125,4,6
1520454041,14,1
1520455972,12,0
1520457868,8,4
1520460093,8,5
1520461966,7,877
1520463873,11,313
1520465803,12,1
1520467997,9,3
1520469954,7,2
1520472086,9,4
1520474116,5,5
1520475945,9,7
1520477919,6,2
1520479757,7,6
1520481791,11,4
1520483608,1,1
1520485588,9,10
1520487434,13,2
1520489430,8,1
1520491306,5,2
1520493310,13,5
1520495323,9,4
1520497520,3,35
1520499475,11,4
1520501485,2,2
1520503898,9,4
1520505877,5,3
1520507794,6,7
1520509964,10,6
1520511891,3,4
1520513799,8,1
1520515957,9,2
1520517896,4,7
1520519967,2,6
1520521946,8,5
1520524003,6,13
1520526029,7,12
1520528196,2,10
1520530120,3,13
1520532092,8,5
1520533956,2,10
1520535865,2,6
1520537787,8,7
1520539726,5,9
1520541627,8,17
1520543546,11,9
1520545481,0,8
1520547411,2,8
1520549319,7,10
1520551246,3,10
1520553148,5,9
1520555090,4,9
1520557013,4,9
1520558908,6,2
1520560937,1,6
1520562794,3,10
1520564687,3,10
1520566604,5,9
1520568527,0,9
1520570425,5,1
1520572364,4,9
1520574283,2,14
1520576207,3,11
1520578133,3,10
1520580051,6,10
1520581946,0,10
1520583889,7,4
1520585796,4,12
1520587960,6,3
1520589885,2,5
1520591791,3,7
1520593731,1,7
1520595622,1,11
1520597557,5,6
1520599461,4,4
1520601379,5,9
1520603476,3,9
1520605460,2,1
1520607676,3,9
1520609553,13,4
1520611474,10,5
1520613396,12,4
1520615315,20,4
1520617240,9,3
1520619149,14,6
1520621091,9,4
1520622998,14,3
1520624907,14,4
1520626825,11,7
1520628767,13,17
1520630674,8,4
1520632603,13,0
1520635564,4,8
1520637450,5,3
1520639445,2,5
1520641289,4,4
1520643164,2,5
1520645152,1,5
1520647339,1,3
1520649292,4,3
1520651314,5,4
1520653219,7,5
1520655444,8,3
1520657317,6,2
1520659269,7,6
1520661165,1,0
1520663089,4,3
1520665001,4,5
1520666935,3,3
1520668902,8,2
1520670788,3,7
1520672675,2,3
1520674631,7,3
1520676526,2,3
1520678456,3,2
1520680375,2,1
1520682321,5,1
1520684208,2,5
1520686155,3,4
1520688200,2,6
1520690001,1,2
1520691886,6,2
1520693812,6,1
1520695716,1,10
1520697708,2,10
1520699556,5,11
1520701507,6,20
1520703669,9,13
1520705553,1,13
1520707491,3,8
1520709396,2,14
1520711317,4,17
1520713228,2,12
1520715189,6,13
1520717070,3,9
1520718894,2,14
1520720706,3,2
1520722645,1,3
1520724853,2,3
1520726928,6,1
1520728820,4,6
1520731002,1,3
1520733022,2,0
1520734834,5,2
1520737008,6,7
1520738920,2,3
1520740889,5,11
1520742760,3,5
1520744711,3,7
1520746595,4,3
1520748525,5,1
1520750677,4,5
1520752594,2,3
1520754513,5,5
1520756429,5,8
1520758371,9,1
1520760267,7,2
1520762185,5,6
1520764117,4,2
1520766119,2,2
1520768200,3,5
1520770135,3,4
1520772032,6,2
1520773972,2,3
1520776238,7,1
1520778285,1,6
1520780209,2,4
1520782113,4,1
1520784138,6,1
1520785978,2,5
