DateTime,AddedIPs,RemovedIPs
1520844508,11,0
1520845469,6,10
1520846426,6,7
1520847387,9,6
1520848358,12,5
1520849313,6,6
1520850271,6,9
1520851222,9,10
1520852188,8,7
1520853150,8,3
1520853856,6,6
1520854578,3,1
1520855543,6,5
1520856523,5,0
1520857465,4,5
1520858420,5,5
1520859373,4,8
1520860341,3,12
1520861052,8,1
1520861780,9,6
1520862756,13,4
1520863706,6,9
1520864659,7,10
1520865622,2,5
1520866578,11,6
1520867310,6,10
1520868260,7,2
1520868977,15,4
1520869700,5,7
1520870671,9,7
1520871634,4,3
1520872668,7,9
1520873308,3,0
1520874015,4,11
1520875356,15,14
1520876558,21,6
1520877387,13,8
1520878723,20,4
1520879423,2,6
1520880267,15,2
1520881231,18,5
1520881939,4,2
1520882660,6,6
1520883624,12,5
1520884347,8,7
1520885070,9,5
1520886020,10,4
1520888477,17,14
1520889150,3,8
1520889857,5,0
1520890577,7,3
1520891296,9,9
1520892029,5,1
1520892990,13,3
1520893948,9,8
1520894909,10,4
1520896141,10,13
1520897063,12,0
1520897773,7,4
1520898502,6,5
1520899237,3,6
1520900180,10,8
1520901145,10,7
1520901856,9,0
1520902575,7,4
1520903547,6,3
1520904260,6,3
1520904981,7,7
1520905955,16,8
1520906911,12,0
1520907859,13,8
1520908821,13,7
1520909532,10,13
1520910268,2,11
1520910979,8,14
1520911694,13,0
1520912666,7,9
1520913625,8,5
1520914589,7,12
1520915544,20,8
1520916512,12,10
1520917471,9,1
1520918418,8,10
1520919390,8,10
1520920346,10,4
1520921309,8,1
1520922258,14,10
1520923220,13,4
1520924182,14,5
1520925149,15,4
1520926102,9,8
1520927068,15,2
1520928031,4,3
1520928738,6,5
1520929477,7,6
1520930423,12,7
1520931134,9,7
1520931875,5,0
1520932821,14,9
1520933537,5,4
1520934264,13,6
1520934974,7,4
1520935716,8,5
1520936663,10,0
1520937624,13,1
1520938599,7,10
1520939553,9,2
1520940255,8,9
1520940980,9,9
1520941943,18,6
1520942673,27,8
1520943391,6,0
1520944344,12,12
1520945306,6,0
1520946271,8,5
1520947223,9,6
1520947941,8,2
1520948668,9,5
1520949372,7,7
1520950113,2,3
1520951060,1,6
1520951774,11,3
1520952501,5,2
1520953225,11,14
1520953952,3,2
1520954663,8,3
1520955378,5,0
1520956097,7,4
1520956835,4,7
1520957787,23,11
1520958752,47,5
1520959457,32,9
1520960193,6,9
1520961150,8,5
1520961855,9,7
1520962589,7,0
1520963545,7,9
1520964645,6,8
1520965541,11,4
1520966427,6,2
1520967146,4,2
1520968117,5,3
1520969873,17,10
1520970493,4,0
1520971220,4,10
1520971953,6,17
1520972654,3,8
1520973377,3,0
1520974346,7,10
1520975309,10,7
1520976019,15,9
1520976742,3,5
1520977711,12,10
1520978416,8,0
1520979144,6,7
1520979853,2,5
1520980577,10,7
1520981546,12,5
1520982511,16,7
1520983215,12,7
1520983952,6,12
1520984660,9,0
1520985385,4,12
1520986094,12,0
1520986824,8,8
1520987536,6,6
1520988260,3,5
1520989230,9,9
1520989938,6,4
1520990658,10,2
1520991377,4,3
1520992097,10,6
1520993070,9,7
1520993775,8,5
1520994500,12,11
1520995214,6,18
1520995936,4,0
1520996914,10,9
1520997617,9,15
1520998346,5,15
1520999055,7,3
1520999776,4,8
1521000753,9,8
1521001459,8,6
1521002178,7,4
1521003143,14,4
1521003874,4,7
1521004597,9,7
1521005292,39,0
1521006023,28,5
1521006733,3,11
1521007463,34,3
1521008424,33,5
1521009139,11,7
1521009907,9,10
1521010833,3,1
1521011789,9,6
1521012749,7,7
1521013454,7,6
1521014181,5,5
1521014894,5,2
1521015627,3,6
1521016593,8,10
1521017547,15,7
1521018512,7,6
1521019458,8,5
1521020426,7,7
1521021133,4,1
1521021872,0,4
1521022575,4,3
1521023547,8,3
1521024512,11,3
1521025482,4,7
1521026423,13,7
1521027869,4,4
1521028572,7,1
1521029322,3,6
1521030020,6,4
1521030740,5,4
1521032686,13,11
1521033374,8,0
1521034094,10,2
1521035065,8,17
1521035772,4,0
1521036515,4,18
1521037213,6,15
1521037948,4,32
1521038905,6,0
1521039614,4,13
1521040354,10,11
1521041054,4,12
1521041779,3,18
1521042485,33,17
1521043519,26,9
1521044205,24,7
1521045451,77,29
1521046366,105,4
1521047315,19,6
1521048265,142,4
1521049222,37,2
1521049933,29,8
1521050666,11,10
1521051622,5,10
1521052585,10,7
1521053293,2,2
1521054036,7,5
1521054994,20,5
1521055953,7,12
1521056657,10,0
1521057375,7,8
1521058357,2,6
1521059057,7,3
1521059786,22,5
1521060744,11,15
1521061712,1,0
1521062662,5,12
1521063635,5,12
1521064582,12,0
1521065553,3,10
1521066254,5,0
1521066976,13,3
1521067694,14,5
1521068435,13,6
1521069393,15,7
1521070954,11,15
1521071616,7,9
1521072505,30,0
1521073225,1,7
1521073943,5,8
1521074673,6,5
1521075670,3,7
1521076607,6,9
1521077731,31,4
1521078505,6,0
1521079211,7,3
1521079939,6,6
1521080679,6,9
1521081374,10,11
1521082335,7,8
1521083309,9,9
1521084258,10,11
1521084969,7,13
1521085699,2,6
1521086665,12,5
1521087370,9,4
1521088092,12,5
1521088810,4,5
1521089550,18,3
1521090506,7,12
1521091207,11,0
1521091943,2,6
1521092654,10,10
1521093381,15,4
1521094096,5,4
1521094821,13,3
1521095543,5,4
1521096260,5,4
1521096971,9,3
1521097713,5,2
1521098666,7,1
1521099620,15,2
1521100338,7,3
1521101074,3,4
1521102018,19,7
1521102741,12,0
1521103464,9,12
1521104437,6,6
1521105384,16,7
1521106343,8,9
1521107058,2,5
1521107769,4,4
1521108491,9,0
1521109217,17,3
1521109939,3,3
1521110665,7,3
1521111374,18,2
1521112108,13,2
1521112815,10,11
1521113541,9,0
1521114255,8,3
1521115005,21,12
1521116930,27,15
1521117635,5,0
1521118581,5,0
1521119306,3,3
1521120013,9,6
1521120752,6,19
1521121469,9,12
1521122172,8,0
1521122914,3,9
1521123865,6,7
1521124825,8,2
1521125782,6,2
1521126754,6,16
1521127455,5,5
1521128175,7,10
1521129153,6,5
1521152412,414,159
1521153135,8,0
1521153863,3,10
1521154828,2,10
1521155533,14,8
1521157179,9,14
1521242203,356,588
1521242891,28,0
1521243621,6,8
1521244579,5,2
1521245544,4,6
1521246503,14,3
1521247215,7,15
1521247944,5,8
1521248660,4,0
1521249376,5,4
1521250348,6,10
1521251304,8,3
1521252265,12,7
1521253218,11,6
1521254253,13,24
1521255156,5,3
1521256112,13,0
1521256811,11,16
1521257547,4,5
1521258259,6,0
1521258977,3,9
1521259951,10,9
1521260655,4,11
1521261634,6,6
1521262334,5,0
1521263065,5,6
1521264021,14,9
1521264739,4,7
1521265469,2,0
1521266172,5,5
