DateTime,Entries,UniqueIPs
1520844508,16799,17164
1520845469,16797,17162
1520846426,16797,17164
1520847387,16804,17171
1520848358,16813,17180
1520849313,16811,17178
1520850271,16814,17181
1520851222,16818,17185
1520852188,16817,17184
1520853150,16820,17187
1520853856,16818,17186
1520854578,16819,17187
1520855543,16823,17187
1520856523,16822,17186
1520857465,16815,17179
1520858420,16819,17183
1520859373,16817,17181
1520860341,16810,17174
1520861052,16814,17178
1520861780,16813,17178
1520862756,16824,17189
1520863706,16828,17193
1520864659,16830,17195
1520865622,16834,17199
1520866578,16830,17195
1520867310,16835,17201
1520868260,16842,17209
1520868977,16852,17222
1520869700,16852,17223
1520870671,16835,17201
1520871634,16809,17165
1520872668,16808,17164
1520873308,16811,17167
1520874015,16781,17131
1520875356,16787,17139
1520876558,16794,17149
1520877387,16803,17163
1520878723,16805,17169
1520879423,16801,17166
1520880267,16813,17178
1520881231,16820,17187
1520881939,16825,17192
1520882660,16824,17192
1520883624,16835,17205
1520884347,16830,17201
1520885070,16828,17199
1520886020,16836,17207
1520888477,16836,17211
1520889150,16827,17202
1520889857,16833,17208
1520890577,16834,17210
1520891296,16837,17214
1520892029,16836,17214
1520892990,16840,17221
1520893948,16846,17226
1520894909,16850,17232
1520896141,16851,17233
1520897063,16855,17237
1520897773,16863,17245
1520898502,16864,17247
1520899237,16863,17247
1520900180,16867,17251
1520901145,16868,17252
1520901856,16877,17261
1520902575,16873,17257
1520903547,16874,17258
1520904260,16880,17264
1520904981,16883,17267
1520905955,16888,17272
1520906911,16893,17279
1520907859,16899,17286
1520908821,16896,17284
1520909532,16894,17282
1520910268,16888,17277
1520910979,16897,17286
1520911694,16897,17287
1520912666,16890,17281
1520913625,16894,17285
1520914589,16891,17283
1520915544,16900,17297
1520916512,16905,17303
1520917471,16911,17309
1520918418,16910,17308
1520919390,16912,17311
1520920346,16913,17309
1520921309,16918,17313
1520922258,16926,17324
1520923220,16930,17331
1520924182,16940,17342
1520925149,16949,17352
1520926102,16949,17352
1520927068,16955,17362
1520928031,16953,17360
1520928738,16956,17364
1520929477,16955,17363
1520930423,16960,17370
1520931134,16969,17379
1520931875,16967,17378
1520932821,16974,17386
1520933537,16969,17381
1520934264,16981,17393
1520934974,16989,17401
1520935716,16989,17402
1520936663,16992,17402
1520937624,16995,17406
1520938599,17001,17412
1520939553,17007,17418
1520940255,17010,17422
1520940980,17010,17423
1520941943,17020,17434
1520942673,17041,17461
1520943391,17038,17458
1520944344,17047,17466
1520945306,17046,17465
1520946271,17047,17466
1520947223,17051,17470
1520947941,17062,17482
1520948668,17065,17485
1520949372,17061,17481
1520950113,17062,17483
1520951060,17049,17470
1520951774,17061,17482
1520952501,17060,17483
1520953225,17068,17494
1520953952,17068,17494
1520954663,17075,17503
1520955378,17075,17503
1520956097,17070,17498
1520956835,17070,17498
1520957787,17092,17522
1520958752,17137,17573
1520959457,17149,17597
1520960193,17146,17594
1520961150,17146,17593
1520961855,17143,17588
1520962589,17147,17590
1520963545,17156,17599
1520964645,17137,17579
1520965541,17143,17584
1520966427,17148,17588
1520967146,17149,17589
1520968117,17145,17585
1520969873,17135,17575
1520970493,17140,17580
1520971220,17146,17587
1520971953,17146,17587
1520972654,17143,17584
1520973377,17139,17580
1520974346,17145,17586
1520975309,17148,17589
1520976019,17155,17596
1520976742,17148,17589
1520977711,17150,17591
1520978416,17150,17591
1520979144,17156,17597
1520979853,17150,17591
1520980577,17150,17592
1520981546,17145,17587
1520982511,17150,17593
1520983215,17152,17597
1520983952,17154,17599
1520984660,17162,17608
1520985385,17160,17606
1520986094,17172,17618
1520986824,17170,17618
1520987536,17177,17625
1520988260,17172,17620
1520989230,17178,17626
1520989938,17180,17628
1520990658,17191,17640
1520991377,17184,17632
1520992097,17188,17636
1520993070,17190,17639
1520993775,17188,17637
1520994500,17198,17647
1520995214,17191,17640
1520995936,17186,17635
1520996914,17189,17638
1520997617,17186,17637
1520998346,17182,17633
1520999055,17189,17640
1520999776,17187,17639
1521000753,17186,17638
1521001459,17184,17635
1521002178,17191,17642
1521003143,17188,17640
1521003874,17192,17644
1521004597,17191,17643
1521005292,17226,17680
1521006023,17243,17698
1521006733,17246,17701
1521007463,17260,17730
1521008424,17237,17754
1521009139,16760,17228
1521009907,16772,17241
1521010833,16776,17245
1521011789,16785,17254
1521012749,16792,17261
1521013454,16801,17270
1521014181,16806,17278
1521014894,16811,17283
1521015627,16814,17286
1521016593,16822,17294
1521017547,16840,17312
1521018512,16847,17319
1521019458,16854,17327
1521020426,16864,17337
1521021133,16870,17343
1521022575,16878,17351
1521023547,16887,17360
1521024512,16900,17373
1521025482,16904,17377
1521026423,16919,17392
1521027138,16920,17393
1521027869,16925,17400
1521028572,16934,17409
1521029322,16939,17414
1521030020,16947,17422
1521030740,16952,17427
1521032686,16967,17442
1521033374,16977,17453
1521034094,16988,17465
1521035065,16998,17475
1521035772,17002,17479
1521036515,17006,17483
1521037213,17013,17491
1521037948,17018,17496
1521038905,17025,17503
1521039614,17029,17507
1521040354,17039,17517
1521041054,17045,17523
1521041779,17048,17526
1521042485,17079,17561
1521043519,17103,17588
1521044205,17129,17615
1521045451,17200,17701
1521046366,17294,17813
1521047315,17310,17835
1521048265,17419,17986
1521049222,17447,18026
1521049933,17470,18058
1521050666,17482,18071
1521051622,17487,18076
1521052585,17493,18086
1521053293,17495,18088
1521054036,17502,18095
1521054994,17524,18119
1521055953,17532,18128
1521056657,17542,18138
1521057375,17552,18148
1521058357,17554,18150
1521059057,17562,18158
1521059786,17583,18183
1521060744,17596,18198
1521061712,17599,18201
1521062662,17604,18206
1521063635,17610,18212
1521064582,17626,18228
1521065553,17630,18232
1521066254,17638,18240
1521066976,17655,18258
1521067694,17671,18275
1521068435,17681,18288
1521069393,17698,18305
1521070954,17711,18318
