DateTime,AddedIPs,RemovedIPs
1520846426,81,40
1520847387,61,79
1520848358,77,59
1520849313,56,55
1520850271,70,63
1520851222,66,33
1520852188,44,79
1520853150,82,35
1520853856,52,43
1520854578,36,47
1520855543,61,69
1520856523,60,61
1520857465,55,52
1520858420,65,76
1520859373,54,56
1520860341,50,66
1520861052,66,48
1520861780,72,51
1520862756,64,71
1520863706,59,40
1520864659,55,60
1520865622,49,56
1520866578,71,66
1520867310,43,91
1520868260,100,72
1520868977,81,67
1520869700,73,56
1520870671,52,65
1520871634,79,82
1520872668,84,55
1520873308,29,32
1520874015,58,41
1520875356,81,51
1520876558,75,113
1520877387,85,50
1520878723,92,85
1520879423,45,42
1520880267,56,66
1520881231,89,109
1520881939,61,51
1520882660,78,70
1520883624,103,80
1520884347,46,37
1520885070,47,54
1520886020,58,64
1520888477,107,108
1520889150,36,30
1520889857,47,56
1520890577,60,67
1520891296,53,46
1520892029,27,40
1520892990,63,65
1520893948,48,75
1520894909,85,63
1520896141,68,65
1520897063,54,58
1520897773,43,45
1520898502,47,67
1520899237,70,55
1520900180,50,62
1520901145,51,58
1520901856,50,43
1520902575,37,48
1520903547,47,70
1520904260,45,32
1520904981,44,55
1520905955,70,70
1520906911,67,44
1520907859,68,66
1520908821,52,46
1520909532,46,44
1520910268,37,43
1520910979,48,52
1520911694,65,40
1520912666,42,75
1520913625,44,53
1520914589,58,42
1520915544,77,74
1520916512,51,58
1520917471,65,59
1520918418,45,53
1520919390,60,56
1520920346,64,57
1520921309,54,43
1520922258,42,46
1520923220,56,56
1520924182,41,51
1520925149,67,54
1520926102,69,49
1520927068,72,57
1520928031,38,58
1520928738,62,48
1520929477,63,62
1520930423,66,43
1520931134,50,48
1520931875,45,30
1520932821,74,63
1520933537,43,46
1520934264,61,68
1520934974,59,64
1520935716,66,42
1520936663,41,47
1520937624,78,59
1520938599,61,52
1520939553,56,71
1520940255,61,63
1520940980,70,50
1520941943,74,45
1520942673,73,61
1520943391,52,65
1520944344,75,73
1520945306,52,70
1520946271,67,38
1520947223,49,74
1520947941,75,47
1520948668,59,43
1520949372,53,46
1520950113,33,66
1520951060,64,56
1520951774,60,47
1520952501,37,58
1520953225,65,98
1520953952,100,170
1520954663,169,158
1520955378,162,171
1520956097,175,142
1520956835,150,52
1520957787,82,77
1520958752,117,90
1520959457,123,106
1520960193,49,49
1520961150,48,58
1520961855,49,592
1520962589,496,275
1520963545,391,53
1520964645,46,99
1520965541,124,48
1520966427,72,65
1520967146,34,35
1520968117,45,88
1520969873,111,98
1520970493,57,49
1520971220,45,68
1520971953,41,29
1520972654,40,66
1520973377,51,56
1520974346,62,47
1520975309,52,50
1520976019,57,61
1520976742,33,37
1520977711,75,84
1520978416,51,45
1520979144,60,101
1520979853,50,48
1520980577,64,53
1520981546,56,71
1520982511,67,54
1520983215,45,76
1520983952,56,54
1520984660,40,53
1520985385,27,30
1520986094,52,55
1520986824,54,53
1520987536,34,29
1520988260,39,47
1520989230,47,52
1520989938,45,45
1520990658,58,54
1520991377,29,64
1520992097,70,34
1520993070,56,41
1520993775,44,64
1520994500,59,178
1520995214,45,49
1520995936,36,47
1520996914,79,73
1520997617,54,54
1520998346,35,31
1520999055,48,50
1520999776,36,57
1521000753,52,55
1521001459,53,53
1521002178,33,54
1521003143,84,65
1521003874,44,42
1521004597,49,50
1521005292,70,56
1521006023,66,45
1521006733,45,25
1521007463,58,84
1521008424,119,51
1521009139,50,58
1521009907,59,54
1521010833,55,41
1521011789,62,42
1521012749,42,68
1521013454,64,70
1521014181,59,74
1521014894,85,36
1521015627,31,156
1521016593,71,70
1521017547,65,90
1521018512,80,37
1521019458,44,61
1521020426,79,70
1521021133,36,84
1521021872,45,27
1521022575,62,73
1521023547,91,113
1521024512,180,68
1521025482,41,79
1521026423,97,206
1521027138,41,34
1521027869,60,109
1521028572,68,42
1521029322,32,28
1521030020,61,46
1521030740,53,45
1521032686,158,282
1521033374,185,114
1521034094,55,148
1521035065,52,80
1521035772,74,82
1521036515,91,120
1521037213,94,79
1521037948,61,366
1521038905,67,148
1521039614,37,181
1521040354,197,69
1521041054,70,58
1521041779,59,36
1521042485,146,62
1521043519,116,140
1521044205,112,94
1521045451,256,74
1521046366,230,129
1521047315,127,101
1521048265,420,81
1521049222,106,126
1521049933,123,325
1521050666,138,217
1521051622,344,155
1521052585,223,66
1521053293,35,55
1521054036,78,81
1521054994,107,49
1521055953,65,67
1521056657,48,97
1521057375,81,60
1521058357,33,38
1521059057,48,30
1521059786,72,42
1521060744,49,119
1521061712,86,71
1521062662,57,42
1521063635,43,65
1521064582,63,82
1521065553,34,41
1521066254,48,61
1521066976,69,69
1521067694,72,44
1521068435,41,33
1521069393,63,69
1521070954,71,103
1521071616,33,43
1521072505,101,63
1521073225,28,38
1521073943,42,73
1521074673,39,55
1521075670,34,43
1521076607,54,74
1521077731,108,61
1521078505,33,38
1521079211,44,64
1521079939,43,62
1521080679,41,36
1521081374,49,59
1521082335,47,51
1521083309,52,47
1521084258,37,42
1521084969,41,66
1521085699,52,28
1521086665,45,54
1521087370,27,28
1521088092,59,43
1521088810,43,68
1521089550,53,37
1521090506,40,108
1521091207,122,59
1521091943,37,57
1521092654,67,86
1521093381,85,146
1521094096,84,136
1521094821,88,121
