DateTime,Entries,UniqueIPs
1520846426,10302,10302
1520847387,10284,10284
1520848358,10302,10302
1520849313,10303,10303
1520850271,10310,10310
1520851222,10343,10343
1520852188,10308,10308
1520853150,10355,10355
1520853856,10364,10364
1520854578,10353,10353
1520855543,10345,10345
1520856523,10344,10344
1520857465,10347,10347
1520858420,10336,10336
1520859373,10334,10334
1520860341,10318,10318
1520861052,10336,10336
1520861780,10357,10357
1520862756,10350,10350
1520863706,10369,10369
1520864659,10364,10364
1520865622,10357,10357
1520866578,10362,10362
1520867310,10314,10314
1520868260,10342,10342
1520868977,10356,10356
1520869700,10373,10373
1520870671,10360,10360
1520871634,10357,10357
1520872668,10386,10386
1520873308,10383,10383
1520874015,10400,10400
1520875356,10430,10430
1520876558,10392,10392
1520877387,10427,10427
1520878723,10434,10434
1520879423,10437,10437
1520880267,10427,10427
1520881231,10407,10407
1520881939,10417,10417
1520882660,10425,10425
1520883624,10448,10448
1520884347,10457,10457
1520885070,10450,10450
1520886020,10444,10444
1520888477,10443,10443
1520889150,10449,10449
1520889857,10440,10440
1520890577,10433,10433
1520891296,10440,10440
1520892029,10427,10427
1520892990,10425,10425
1520893948,10398,10398
1520894909,10420,10420
1520896141,10423,10423
1520897063,10419,10419
1520897773,10417,10417
1520898502,10397,10397
1520899237,10412,10412
1520900180,10400,10400
1520901145,10393,10393
1520901856,10400,10400
1520902575,10389,10389
1520903547,10366,10366
1520904260,10379,10379
1520904981,10368,10368
1520905955,10368,10368
1520906911,10391,10391
1520907859,10393,10393
1520908821,10399,10399
1520909532,10401,10401
1520910268,10395,10395
1520910979,10391,10391
1520911694,10416,10416
1520912666,10383,10383
1520913625,10374,10374
1520914589,10390,10390
1520915544,10393,10393
1520916512,10386,10386
1520917471,10392,10392
1520918418,10384,10384
1520919390,10388,10388
1520920346,10395,10395
1520921309,10406,10406
1520922258,10402,10402
1520923220,10402,10402
1520924182,10392,10392
1520925149,10405,10405
1520926102,10425,10425
1520927068,10440,10440
1520928031,10420,10420
1520928738,10434,10434
1520929477,10435,10435
1520930423,10458,10458
1520931134,10460,10460
1520931875,10475,10475
1520932821,10486,10486
1520933537,10483,10483
1520934264,10476,10476
1520934974,10471,10471
1520935716,10495,10495
1520936663,10489,10489
1520937624,10508,10508
1520938599,10517,10517
1520939553,10502,10502
1520940255,10500,10500
1520940980,10520,10520
1520941943,10549,10549
1520942673,10561,10561
1520943391,10548,10548
1520944344,10550,10550
1520945306,10532,10532
1520946271,10561,10561
1520947223,10536,10536
1520947941,10564,10564
1520948668,10580,10580
1520949372,10587,10587
1520950113,10554,10554
1520951060,10562,10562
1520951774,10575,10575
1520952501,10554,10554
1520953225,10521,10521
1520953952,10451,10451
1520954663,10462,10462
1520955378,10453,10453
1520956097,10486,10486
1520956835,10584,10584
1520957787,10589,10589
1520958752,10616,10616
1520959457,10633,10633
1520960193,10633,10633
1520961150,10623,10623
1520961855,10080,10080
1520962589,10301,10301
1520963545,10639,10639
1520964645,10586,10586
1520965541,10662,10662
1520966427,10669,10669
1520967146,10668,10668
1520968117,10625,10625
1520969873,10638,10638
1520970493,10646,10646
1520971220,10623,10623
1520971953,10635,10635
1520972654,10609,10609
1520973377,10604,10604
1520974346,10619,10619
1520975309,10621,10621
1520976019,10617,10617
1520976742,10613,10613
1520977711,10604,10604
1520978416,10610,10610
1520979144,10569,10569
1520979853,10571,10571
1520980577,10582,10582
1520981546,10567,10567
1520982511,10580,10580
1520983215,10549,10549
1520983952,10551,10551
1520984660,10538,10538
1520985385,10535,10535
1520986094,10532,10532
1520986824,10533,10533
1520987536,10538,10538
1520988260,10530,10530
1520989230,10525,10525
1520989938,10525,10525
1520990658,10529,10529
1520991377,10494,10494
1520992097,10530,10530
1520993070,10545,10545
1520993775,10525,10525
1520994500,10406,10406
1520995214,10402,10402
1520995936,10391,10391
1520996914,10397,10397
1520997617,10397,10397
1520998346,10401,10401
1520999055,10399,10399
1520999776,10378,10378
1521000753,10375,10375
1521001459,10375,10375
1521002178,10354,10354
1521003143,10373,10373
1521003874,10375,10375
1521004597,10374,10374
1521005292,10388,10388
1521006023,10409,10409
1521006733,10429,10429
1521007463,10403,10403
1521008424,10471,10471
1521009139,10463,10463
1521009907,10468,10468
1521010833,10482,10482
1521011789,10502,10502
1521012749,10476,10476
1521013454,10470,10470
1521014181,10455,10455
1521014894,10504,10504
1521015627,10379,10379
1521016593,10380,10380
1521017547,10355,10355
1521018512,10398,10398
1521019458,10381,10381
1521020426,10390,10390
1521021133,10342,10342
1521021872,10360,10360
1521022575,10349,10349
1521023547,10327,10327
1521024512,10439,10439
1521025482,10401,10401
1521026423,10292,10292
1521027138,10299,10299
1521027869,10250,10250
1521028572,10276,10276
1521029322,10280,10280
1521030020,10295,10295
1521030740,10303,10303
1521032686,10179,10179
1521033374,10250,10250
1521034094,10157,10157
1521035065,10129,10129
1521035772,10121,10121
1521036515,10092,10092
1521037213,10107,10107
1521037948,9802,9802
1521038905,9721,9721
1521039614,9577,9577
1521040354,9705,9705
1521041054,9717,9717
1521041779,9740,9740
1521042485,9824,9824
1521043519,9800,9800
1521044205,9818,9818
1521045451,10000,10000
1521046366,10101,10101
1521047315,10127,10127
1521048265,10466,10466
1521049222,10446,10446
1521049933,10244,10244
1521050666,10165,10165
1521051622,10354,10354
1521052585,10511,10511
1521053293,10491,10491
1521054036,10488,10488
1521054994,10546,10546
1521055953,10544,10544
1521056657,10495,10495
1521057375,10516,10516
1521058357,10511,10511
1521059057,10529,10529
1521059786,10559,10559
1521060744,10489,10489
1521061712,10504,10504
1521062662,10519,10519
1521063635,10497,10497
1521064582,10478,10478
1521065553,10471,10471
1521066254,10458,10458
1521066976,10458,10458
1521067694,10486,10486
1521068435,10494,10494
1521069393,10488,10488
1521070954,10456,10456
1521071616,10446,10446
1521072505,10484,10484
1521073225,10474,10474
1521073943,10443,10443
1521074673,10427,10427
1521075670,10418,10418
1521076607,10398,10398
1521077731,10445,10445
1521078505,10440,10440
1521079211,10420,10420
1521079939,10401,10401
1521080679,10406,10406
1521081374,10396,10396
1521082335,10392,10392
1521083309,10397,10397
1521084258,10392,10392
1521084969,10367,10367
1521085699,10391,10391
1521086665,10382,10382
1521087370,10381,10381
1521088092,10397,10397
1521088810,10372,10372
1521089550,10388,10388
1521090506,10320,10320
1521091207,10383,10383
1521091943,10363,10363
1521092654,10344,10344
1521093381,10283,10283
1521094096,10231,10231
1521094821,10198,10198
1521095543,10270,10270
1521096260,10347,10347
1521096971,10364,10364
1521097713,10369,10369
1521098666,10360,10360
1521099620,10371,10371
1521100338,10364,10364
1521101074,10356,10356
1521102018,10413,10413
1521102741,10413,10413
1521103464,10383,10383
1521104437,10382,10382
1521105384,10390,10390
1521106343,10397,10397
1521107058,10384,10384
1521107769,10371,10371
1521108491,10402,10402
1521109217,10418,10418
1521109939,10426,10426
1521110665,10397,10397
1521111374,10394,10394
1521112108,10448,10448
1521112815,10430,10430
1521113541,10429,10429
1521114255,10425,10425
1521115005,10463,10463
1521116930,10461,10461
1521117635,10496,10496
1521118581,10417,10417
1521119306,10426,10426
1521120013,10474,10474
1521120752,10471,10471
1521121469,10421,10421
1521122172,10455,10455
1521122914,10425,10425
1521123865,9530,9530
1521124825,9328,9328
1521125782,9308,9308
1521126754,9316,9316
