DateTime,Entries,UniqueIPs
1520750461,10468,10468
1520752255,10592,10592
1520753964,10593,10593
1520754942,10595,10595
1520756109,10600,10600
1520757065,10599,10599
1520757969,8244,8244
1520759676,10716,10716
1520760614,10714,10714
1520761373,10715,10715
1520762202,10745,10745
1520763347,10824,10824
1520764307,10825,10825
1520765165,10833,10833
1520766216,10782,10782
1520767255,10793,10793
1520768281,10803,10803
1520769847,10849,10849
1520770864,10849,10849
1520771803,10853,10853
1520772651,10927,10927
1520773016,10926,10926
1520773852,10848,10848
1520776102,10873,10873
1520776598,10874,10874
1520777650,8244,8244
1520778729,10882,10882
1520779377,10893,10893
1520780732,10919,10919
1520781659,10923,10923
1520782852,10720,10720
1520783792,10728,10728
1520784924,10739,10739
1520785891,10712,10712
1520787360,10665,10665
1520788258,10678,10678
1520789936,10651,10651
1520791857,10634,10634
1520792094,10645,10645
1520793025,8244,8244
1520795382,10610,10610
1520795679,10611,10611
1520796642,10547,10547
1520797547,10558,10558
1520799362,10568,10568
1520800300,10479,10479
1520800987,10479,10479
1520802649,10501,10501
1520804711,8244,8244
1520806261,10538,10538
1520807315,10541,10541
1520808395,10523,10523
1520809848,10487,10487
1520811666,10479,10479
1520813720,10476,10476
1520814747,10455,10455
1520817055,10447,10447
1520818973,10491,10491
1520820304,10495,10495
1520821274,10498,10498
1520822546,8244,8244
1520824867,10596,10596
1520825876,10594,10594
1520826944,10617,10617
1520828119,10633,10633
1520830242,10627,10627
1520830595,10656,10656
1520831690,10678,10678
1520833566,10627,10627
1520834645,10628,10628
1520835542,10631,10631
1520838875,10561,10561
1520839727,10584,10584
1520840583,10583,10583
1520841404,10645,10645
1520842227,8244,8244
1520842493,10736,10736
1520843773,10730,10730
1520845607,10729,10729
1520846467,10844,10844
1520846919,10845,10845
1520847971,10843,10843
1520849429,10842,10842
1520851267,10866,10866
1520852181,10840,10840
1520853052,10841,10841
1520854311,10817,10817
1520855734,10822,10822
1520856657,10810,10810
1520857898,10791,10791
1520858768,10762,10762
1520860812,10793,10793
1520862173,10792,10792
1520864016,10841,10841
1520865041,10827,10827
1520865770,10828,10828
1520866595,10831,10831
1520867443,8244,8244
1520868349,10834,10834
1520869288,8244,8244
1520870870,10740,10740
1520871829,10744,10744
1520874208,8244,8244
1520874886,10696,10696
1520876747,10674,10674
1520879128,8244,8244
1520880063,10674,10674
1520880948,10695,10695
1520881846,10701,10701
1520883337,10700,10700
1520884539,10704,10704
1520885450,10706,10706
1520888380,10707,10707
1520889268,10711,10711
1520890125,10710,10710
1520890981,10707,10707
1520891800,10727,10727
1520892867,10730,10730
1520893854,10646,10646
1520894557,10632,10632
1520896470,10635,10635
1520897435,10635,10635
1520898366,10647,10647
1520900085,10647,10647
1520901193,10622,10622
1520902234,10624,10624
1520903450,10623,10623
1520904528,10625,10625
1520905400,10621,10621
1520907271,10619,10619
1520908121,10620,10620
1520908970,10595,10595
1520910869,10600,10600
1520911856,10604,10604
1520912572,10605,10605
1520914487,10602,10602
1520916159,10632,10632
1520917002,10634,10634
1520917853,10636,10636
1520918077,10636,10636
1520919646,10632,10632
1520920576,10533,10533
1520921451,10535,10535
