DateTime,AddedIPs,RemovedIPs
1520783768,81,0
1520784635,42,92
1520785843,78,213
1520787330,125,219
1520788210,90,0
1520789912,136,182
1520790969,73,143
1520791809,73,0
1520792050,23,0
1520793011,87,169
1520795335,204,184
1520795649,22,0
1520796547,70,0
1520797508,92,282
1520799315,123,126
1520800250,81,280
1520800936,59,73
1520802609,154,149
1520804709,216,133
1520806209,137,199
1520807289,58,0
1520808349,75,198
1520809810,93,138
1520810651,63,0
1520811619,61,160
1520813410,107,99
1520814700,68,147
1520817011,0,16037
1520818934,16162,0
1520821213,189,96
1520821691,34,0
1520822532,167,133
1520823746,87,132
1520824812,68,0
1520825824,75,134
1520826969,117,171
1520827822,82,0
1520828854,71,0
1520830569,172,187
1520831650,91,86
1520832489,70,0
1520833511,80,215
1520834615,95,100
1520835511,74,0
1520838849,313,314
1520839688,87,1
1520840540,87,154
1520841348,158,123
1520842210,142,1
1520842450,19,0
1520843736,101,131
1520844131,25,0
1520846410,311,133
1520846890,37,0
1520847911,78,170
1520849384,101,87
1520851209,170,149
1520852128,67,238
1520853010,68,1
1520854268,80,191
1520855708,123,0
1520856612,98,183
1520857858,135,127
1520858713,75,56
1520860776,203,78
1520861717,81,90
1520862134,36,1
1520863513,239,185
1520864408,92,0
1520865609,101,112
1520866568,98,0
1520867409,89,108
1520868311,62,0
1520869253,86,228
1520870815,97,94
1520872087,94,0
1520874184,195,308
1520874847,44,0
1520876708,127,129
1520879107,182,124
1520880035,92,164
1520880914,92,91
1520881807,90,0
1520883307,119,168
1520884506,100,1
1520885408,66,90
1520888360,230,239
1520889246,69,0
1520890087,56,1
1520890960,64,163
1520891766,94,0
1520892846,77,74
1520893815,54,214
1520894528,59,54
1520896447,137,71
1520897342,57,0
1520898313,70,138
1520900047,103,103
1520901161,87,113
1520902207,73,0
1520903407,96,125
1520904489,72,0
1520905378,72,98
1520907248,111,98
1520908087,63,0
1520908928,81,177
1520910847,148,80
1520911823,63,96
1520912529,60,0
1520914447,101,130
1520916128,177,112
1520916967,67,91
1520917807,68,0
1520918047,12,0
1520919607,129,160
1520920555,77,181
1520921409,66,0
1520922486,67,0
1520923706,80,96
1520924699,81,109
1520925247,43,0
1520926123,77,0
1520926957,48,184
1520927994,57,179
1520928847,96,0
1520929823,68,125
1520930742,66,32
1520931546,55,95
1520932507,74,37
1520933543,66,170
1520934518,136,0
1520935807,280,113
1520937583,346,195
1520938867,307,124
1520939707,112,0
1520941208,166,142
1520942646,101,134
1520943524,55,0
1520944320,0,17831
1520945508,17846,0
1520946470,61,124
1520947686,75,0
1520948530,46,167
1520950446,166,92
1520951712,99,181
1520952801,81,0
1520953806,69,99
1520954887,111,2
1520955920,96,349
1520957155,80,145
1520957648,38,1
1520958488,65,2
1520960589,185,290
1520961576,65,2
1520962513,56,203
1520963707,81,1
1520964616,0,17562
1520965830,17518,0
1520966709,73,0
1520967857,77,162
1520968808,84,0
1520970008,80,172
1520970966,61,122
1520971810,61,1
1520972887,75,1
1520975408,207,345
1520977513,148,183
1520978462,83,85
1520979307,67,0
1520980108,62,1
1520981107,58,153
1520982183,75,87
1520983207,95,0
1520984411,139,100
1520984527,6,0
1520986209,150,111
1520988128,137,234
1520989387,74,87
1520990407,86,0
1520992510,163,391
1520993411,59,0
1520994487,77,0
1520995508,52,152
1520997007,70,115
1520998440,111,140
1521000400,178,182
1521001208,42,0
1521002407,83,198
1521004507,167,97
1521005447,74,138
1521006127,66,0
1521006967,63,194
1521007807,57,1
1521008888,85,0
1521010567,130,414
1521011424,71,1
1521013202,0,17097
1521014340,17088,0
1521015247,154,8
1521016209,83,272
1521016954,64,37
1521017944,100,110
1521018908,101,0
1521019687,93,0
1521020706,62,187
1521022447,158,89
1521023590,94,124
1521024907,113,0
1521025808,87,129
1521026710,78,0
1521027607,57,178
1521029170,128,95
1521029666,44,1
1521030637,64,106
1521032550,135,133
1521033607,92,0
1521034935,77,266
1521036847,142,152
1521037814,65,124
1521038707,80,47
1521040207,152,86
1521042981,266,264
1521043809,85,138
1521045908,181,169
1521047707,169,77
1521048613,75,126
1521049510,80,62
1521051008,154,100
1521052087,133,0
1521052968,80,211
1521053938,83,149
1521054804,99,0
1521055686,85,1
1521057868,165,274
1521058807,71,0
1521060006,97,127
1521061162,121,167
1521062107,86,13
1521063307,103,162
1521064566,89,84
1521065406,59,0
1521067324,0,17324
1521068185,17395,0
1521069248,70,80
1521070222,76,123
1521070929,87,0
1521072613,123,133
1521073740,72,0
1521074704,0,17487
1521076209,17412,0
1521077706,110,112
1521079691,162,163
1521080894,79,0
1521081723,62,181
1521083215,110,84
1521085181,177,112
1521086167,86,151
1521087005,0,17395
1521088927,17413,0
1521090907,154,97
1521092416,104,123
1521093307,71,129
1521094208,65,0
1521094447,11,0
1521095418,71,130
1521096128,64,38
1521097807,151,66
1521098710,57,0
1521099608,59,134
1521100507,73,136
1521101409,65,1
1521101647,26,1
1521102537,63,2
1521104167,134,432
1521105247,58,0
1521107440,147,485
1521108848,127,292
1521109724,69,0
1521110527,57,284
1521111858,58,92
1521112806,30,0
1521113776,52,154
1521116408,125,72
1521117307,51,143
1521119186,95,80
1521120007,40,0
1521120490,35,0
1521121749,72,162
1521123246,97,78
1521124930,91,164
1521126846,86,132
1521127688,40,0
1521128687,61,315
1521130054,72,157
1521131446,66,121
1521132307,56,33
1521133810,85,97
1521135730,122,191
1521136544,20,0
1521137408,48,87
1521138616,52,157
1521139507,41,35
1521140166,68,82
1521141007,40,0
1521141908,45,1
1521143771,113,280
1521144609,47,1
1521146236,107,111
1521148211,101,162
1521149440,77,127
1521150307,44,43
1521151762,71,67
1521152904,52,0
1521154141,55,253
1521156001,99,103
1521157207,64,170
1521158347,0,15497
1521159307,15524,0
1521160216,36,127
1521160932,43,50
1521162847,88,114
1521163882,0,15400
1521164707,15346,0
1521166448,86,59
1521167425,38,127
1521168309,48,57
1521170048,112,101
1521171034,52,119
1521171731,45,47
1521173648,83,91
1521174619,39,140
1521175510,34,67
1521176167,34,0
1521177019,41,93
1521178207,44,129
1521179111,49,54
1521180424,83,79
1521181827,67,142
1521182747,57,55
1521183367,29,4
1521184447,45,107
1521186131,81,277
1521187039,50,99
1521188047,40,0
1521188849,30,1
1521189744,38,205
1521191648,86,144
1521192619,41,149
1521193508,38,1
1521194964,67,143
1521196087,57,1
1521197111,43,189
1521198608,66,108
1521199689,45,0
1521200526,74,169
1521201367,32,1
1521202208,40,76
1521203106,53,0
1521204130,72,126
1521204968,53,0
1521205816,49,148
1521206886,32,0
1521207729,41,168
1521209410,71,113
1521211206,90,251
1521212119,85,1
1521213009,59,111
1521213838,48,0
1521214928,0,13861
1521216006,13486,0
1521216906,40,2
1521218529,80,212
1521220209,83,111
1521221289,56,0
1521222566,63,193
1521223492,67,162
1521224408,64,0
1521225607,69,221
1521227407,110,84
1521228490,72,0
1521229331,37,165
1521231008,91,128
1521232207,76,152
1521233115,57,0
1521233767,24,145
1521234586,48,0
1521234847,13,0
1521236160,53,194
1521237367,50,95
1521238216,47,0
1521240128,82,126
1521242047,98,167
1521243023,58,126
1521243907,55,0
1521245706,105,158
1521246906,62,211
1521248397,86,95
1521249307,26,0
1521250806,76,136
1521252608,70,133
1521253645,41,0
1521256111,103,313
1521257084,47,0
1521258007,46,134
1521258906,51,133
1521259808,34,0
1521260711,37,0
1521261727,37,192
1521263409,76,105
1521265331,93,117
1521267007,59,155
1521268928,102,180
1521270847,68,107
1521271816,44,128
1521272709,53,0
1521274447,88,150
1521275431,43,96
1521276307,32,43
1521278338,99,95
1521279729,64,206
1521280650,32,0
1521281706,45,71
1521282681,52,72
1521283509,50,30
1521285008,75,66
1521286086,65,0
1521286962,54,78
1521287767,52,99
1521288607,45,1
1521289654,55,0
1521291853,116,179
1521292809,46,0
1521293290,21,1
1521294500,64,128
1521295813,85,65
1521296687,53,1
1521297609,47,112
1521297730,2,0
1521299288,86,54
1521300244,29,0
1521301046,40,187
1521301329,11,0
1521303057,77,75
1521303900,55,1
1521304808,51,89
1521306013,44,93
1521306910,37,1
1521307718,41,0
1521308708,68,78
1521310223,56,107
1521312140,124,110
1521314048,77,77
1521314892,29,0
1521315953,67,138
1521316864,49,64
1521317716,35,1
1521318867,0,11408
1521321306,11398,0
1521322226,28,73
1521323111,36,0
1521323767,26,85
1521324606,32,0
1521326106,52,96
1521327222,66,0
1521328208,37,95
1521329290,33,0
1521330307,40,114
1521331136,50,56
1521332107,39,0
1521333012,0,11318
1521333907,11338,0
1521334566,41,91
1521335407,43,0
1521337206,92,131
1521339009,59,63
1521340931,96,88
1521342458,62,101
1521345367,138,145
1521346207,34,0
1521346447,8,0
1521347538,35,62
1521349810,88,115
1521351730,100,106
1521353367,59,55
1521355328,64,107
1521356166,50,100
1521357011,39,0
1521358483,60,122
1521360607,103,64
1521361548,50,0
1521363367,89,81
1521364210,46,84
1521365109,45,1
1521366008,38,103
1521366132,7,0
1521367483,95,50
1521368407,45,0
1521369308,38,110
1521370517,49,0
1521371408,40,62
