DateTime,Entries,UniqueIPs
1520783768,25057,25057
1520784635,25007,25007
1520785843,24872,24872
1520787330,24778,24778
1520788210,24868,24868
1520789912,24822,24822
1520790969,24752,24752
1520791809,24825,24825
1520792050,24848,24848
1520793011,24766,24766
1520795335,24786,24786
1520795649,24808,24808
1520796547,24878,24878
1520797508,24688,24688
1520799315,24685,24685
1520800250,24486,24486
1520800936,24472,24472
1520802609,24477,24477
1520804709,24560,24560
1520806209,24498,24498
1520807289,24556,24556
1520808349,24433,24433
1520809810,24388,24388
1520810651,24451,24451
1520811619,24352,24352
1520813410,24360,24360
1520814700,24281,24281
1520817011,8244,8244
1520818934,24406,24406
1520821213,24499,24499
1520821691,24533,24533
1520822532,24567,24567
1520823746,24522,24522
1520824812,24590,24590
1520825824,24531,24531
1520826969,24477,24477
1520827822,24559,24559
1520828854,24630,24630
1520830569,24615,24615
1520831650,24620,24620
1520832489,24690,24690
1520833511,24555,24555
1520834615,24550,24550
1520835511,24624,24624
1520838849,24623,24623
1520839688,24709,24709
1520840540,24642,24642
1520841348,24677,24677
1520842210,24818,24818
1520842450,24837,24837
1520843736,24807,24807
1520844131,24832,24832
1520846410,25010,25010
1520846890,25047,25047
1520847911,24955,24955
1520849384,24969,24969
1520851209,24990,24990
1520852128,24819,24819
1520853010,24886,24886
1520854268,24775,24775
1520855708,24898,24898
1520856612,24813,24813
1520857858,24821,24821
1520858713,24840,24840
1520860776,24965,24965
1520861717,24956,24956
1520862134,24991,24991
1520863513,25045,25045
1520864408,25137,25137
1520865609,25126,25126
1520866568,25224,25224
1520867409,25205,25205
1520868311,25267,25267
1520869253,25125,25125
1520870815,25128,25128
1520872087,25222,25222
1520874184,25109,25109
1520874847,25153,25153
1520876708,25151,25151
1520879107,25209,25209
1520880035,25137,25137
1520880914,25138,25138
1520881807,25228,25228
1520883307,25179,25179
1520884506,25278,25278
1520885408,25254,25254
1520888360,25245,25245
1520889246,25314,25314
1520890087,25369,25369
1520890960,25270,25270
1520891766,25364,25364
1520892846,25367,25367
1520893815,25207,25207
1520894528,25212,25212
1520896447,25278,25278
1520897342,25335,25335
1520898313,25267,25267
1520900047,25267,25267
1520901161,25241,25241
1520902207,25314,25314
1520903407,25285,25285
1520904489,25357,25357
1520905378,25331,25331
1520907248,25344,25344
1520908087,25407,25407
1520908928,25311,25311
1520910847,25379,25379
1520911823,25346,25346
1520912529,25406,25406
1520914447,25377,25377
1520916128,25442,25442
1520916967,25418,25418
1520917807,25486,25486
1520918047,25498,25498
1520919607,25467,25467
1520920555,25363,25363
1520921409,25429,25429
1520922486,25496,25496
1520923706,25480,25480
1520924699,25452,25452
1520925247,25495,25495
1520926123,25572,25572
1520926957,25436,25436
1520927994,25314,25314
1520928847,25410,25410
1520929823,25353,25353
1520930742,25387,25387
1520931546,25347,25347
1520932507,25384,25384
1520933543,25280,25280
1520934518,25416,25416
1520935807,25583,25583
1520937583,25734,25734
1520938867,25917,25917
1520939707,26029,26029
1520941208,26053,26053
1520942646,26020,26020
1520943524,26075,26075
