DateTime,Entries,UniqueIPs
1520744208,1860,1860
1520746860,1844,1844
1520749256,1832,1832
1520750471,1831,1831
1520751401,1832,1832
1520752259,1837,1837
1520753968,1829,1829
1520754946,1835,1835
1520757072,1820,1820
1520759681,1785,1785
1520760622,1761,1761
1520761378,1761,1761
1520762206,1765,1765
1520763351,1774,1774
1520764321,1765,1765
1520765171,1770,1770
1520766225,1756,1756
1520767263,1771,1771
1520768288,1744,1744
1520769854,1744,1744
1520770868,1752,1752
1520771807,1728,1728
1520772658,1733,1733
1520773027,1737,1737
1520773856,1737,1737
1520776116,1745,1745
1520776602,1746,1746
1520778743,1725,1725
1520779384,1725,1725
1520780741,1719,1719
1520781670,1731,1731
1520782857,1732,1732
1520783796,1736,1736
1520784939,1729,1729
1520785895,1718,1718
1520787364,1695,1695
1520788262,1700,1700
1520789940,1690,1690
1520791002,1683,1683
1520792101,1694,1694
1520795389,1695,1695
1520795683,1699,1699
1520796655,1697,1697
1520797551,1698,1698
1520799370,1704,1704
1520800313,1685,1685
1520801003,1690,1690
1520802653,1684,1684
1520806506,1653,1653
1520807319,1661,1661
1520809853,1648,1648
1520810712,1663,1663
1520811670,1636,1636
1520813736,1636,1636
1520814760,1617,1617
1520817060,1642,1642
1520818981,1638,1638
1520820308,1645,1645
1520821282,1665,1665
1520823789,1665,1665
1520824871,1679,1679
1520825884,1669,1669
1520826948,1666,1666
1520828138,1678,1678
1520830246,1680,1680
1520830599,1689,1689
1520831694,1691,1691
1520832519,1689,1689
1520833571,1687,1687
1520834665,1686,1686
1520835558,1697,1697
1520838881,1743,1743
1520839731,1754,1754
1520840587,1742,1742
1520841408,1742,1742
1520842237,1749,1749
1520842497,1754,1754
1520843777,1749,1749
1520844188,1752,1752
1520845625,1727,1727
1520846483,1733,1733
1520846923,1733,1733
1520847976,1721,1721
1520849444,1722,1722
1520851275,1729,1729
1520852185,1724,1724
1520853056,1728,1728
1520854320,1721,1721
1520855738,1738,1738
1520856662,1741,1741
1520857902,1735,1735
1520858772,1747,1747
1520860817,1760,1760
1520862177,1758,1758
1520864020,1767,1767
1520865049,1769,1769
1520865774,1779,1779
1520866599,1790,1790
1520868354,1803,1803
1520870878,1813,1813
1520871832,1821,1821
1520872123,1822,1822
1520874889,1815,1815
1520876751,1816,1816
1520880067,1819,1819
1520880951,1821,1821
1520881850,1830,1830
1520883340,1812,1812
1520884545,1823,1823
1520885453,1813,1813
1520887595,1809,1809
1520889025,1807,1807
1520889271,1811,1811
1520890128,1820,1820
1520890984,1815,1815
1520891804,1829,1829
1520892871,1830,1830
1520893859,1824,1824
1520894560,1826,1826
1520896474,1837,1837
1520897442,1828,1828
1520898371,1833,1833
1520900089,1837,1837
1520901203,1839,1839
1520902238,1840,1840
1520903454,1838,1838
1520903672,1842,1842
1520904533,1850,1850
1520905404,1844,1844
1520907274,1844,1844
1520908124,1847,1847
1520908974,1836,1836
1520910872,1840,1840
1520911859,1823,1823
1520912576,1826,1826
1520914490,1814,1814
1520916163,1830,1830
1520917005,1821,1821
1520917859,1839,1839
1520918081,1838,1838
1520919652,1843,1843
1520920579,1848,1848
1520921456,1865,1865
1520922510,1871,1871
1520923729,1882,1882
1520924869,1895,1895
1520926222,1896,1896
1520927129,1897,1897
1520928105,1892,1892
1520928882,1897,1897
1520929878,1894,1894
1520930778,1898,1898
1520931877,1891,1891
1520932843,1902,1902
1520933823,1892,1892
1520934954,1901,1901
1520935850,1909,1909
1520937608,1894,1894
1520938904,1901,1901
1520939745,1903,1903
1520941242,1894,1894
1520942685,1901,1901
1520943569,1900,1900
1520944791,1894,1894
1520946520,1887,1887
1520947710,1891,1891
1520948568,1879,1879
1520951744,1864,1864
1520952824,1868,1868
1520953854,1864,1864
1520954890,1876,1876
1520955958,1874,1874
1520957209,1880,1880
1520957683,1882,1882
1520958522,1895,1895
1520959559,1895,1895
1520960673,1894,1894
1520961609,1903,1903
1520962548,1890,1890
1520963742,1902,1902
1520965852,1888,1888
1520966744,1900,1900
1520967901,1883,1883
1520968842,1896,1896
1520970047,1882,1882
1520970950,1879,1879
1520971853,1884,1884
1520972920,1890,1890
1520975462,1909,1909
1520977541,1912,1912
1520978494,1898,1898
1520979354,1903,1903
1520980249,1886,1886
1520981151,1887,1887
1520982221,1881,1881
1520983254,1939,1939
1520984565,1986,1986
1520986257,1981,1981
1520988160,1985,1985
1520989435,1986,1986
1520991644,1979,1979
1520992554,1971,1971
1520993458,1976,1976
1520994529,1975,1975
1520995558,1949,1949
1520997054,1939,1939
1520998466,1933,1933
1521000445,1922,1922
1521001245,1924,1924
1521002453,1909,1909
1521004555,1911,1911
1521005489,1890,1890
1521006153,1892,1892
1521006995,1854,1854
1521007857,1860,1860
1521010184,1842,1842
1521010591,1837,1837
1521011462,1840,1840
1521013208,1844,1844
1521014373,1851,1851
1521015277,1865,1865
1521016258,1861,1861
1521016992,1867,1867
1521017984,1873,1873
1521018951,1888,1888
1521019731,1896,1896
1521020745,1875,1875
1521022481,1881,1881
1521023625,1873,1873
1521024942,1883,1883
1521025848,1864,1864
1521027647,1853,1853
1521029702,1879,1879
1521030674,1873,1873
1521032588,1871,1871
1521033650,1887,1887
1521034974,1878,1878
1521036871,1894,1894
1521037848,1886,1886
1521038751,1889,1889
1521040259,1887,1887
1521043006,1906,1906
1521043852,1902,1902
1521045952,1914,1914
1521046918,1906,1906
1521047741,1914,1914
1521048658,1901,1901
1521049554,1903,1903
1521051059,1910,1910
1521053009,1940,1940
1521053979,1931,1931
1521054831,1944,1944
1521055709,1949,1949
1521056857,1951,1951
1521057903,1956,1956
1521058848,1962,1962
1521060043,1950,1950
1521061178,1955,1955
1521062149,1965,1965
1521063344,1955,1955
1521064239,1968,1968
1521065451,1974,1974
1521067331,1971,1971
1521068208,1980,1980
1521069273,1981,1981
1521070263,1974,1974
1521070971,1984,1984
1521072663,1985,1985
1521073833,1973,1973
1521074715,1979,1979
1521076506,1990,1990
1521077744,1986,1986
1521079736,1983,1983
1521081765,1992,1992
1521083259,2012,2012
1521085219,2030,2030
1521085372,2032,2032
1521086193,2011,2011
1521087045,2018,2018
1521088990,1983,1983
1521090157,1965,1965
1521091247,1975,1975
1521093331,1947,1947
1521094256,1956,1956
1521094480,1958,1958
1521095462,1940,1940
1521096165,1940,1940
1521097852,1947,1947
1521098750,1951,1951
1521099658,1950,1950
1521101461,1958,1958
1521101682,1962,1962
1521102634,1951,1951
1521103542,1954,1954
1521104191,1942,1942
1521105271,1952,1952
1521107464,1934,1934
1521108872,1931,1931
1521110565,1927,1927
1521111908,1927,1927
1521113800,1930,1930
1521115839,1943,1943
1521117337,1944,1944
1521119226,1953,1953
1521120044,1958,1958
1521120531,1960,1960
1521121772,1961,1961
1521123272,1969,1969
1521124966,1975,1975
1521126882,1965,1965
1521127724,1971,1971
1521128728,1962,1962
1521131479,1939,1939
1521132341,1936,1936
1521133853,1940,1940
1521135768,1919,1919
1521136580,1923,1923
1521137442,1914,1914
1521138655,1902,1902
1521139551,1902,1902
1521140195,1902,1902
1521141050,1909,1909
1521141943,1916,1916
1521143796,1897,1897
1521144649,1900,1900
1521146264,1904,1904
1521148263,1917,1917
1521149473,1914,1914
1521150343,1921,1921
1521151804,1924,1924
1521152912,1931,1931
1521152941,1933,1933
1521154182,1835,1835
1521155109,1832,1832
1521156038,1843,1843
1521157243,1841,1841
1521159349,1841,1841
1521160248,1836,1836
1521160964,1838,1838
1521162872,1830,1830
1521163911,1833,1833
1521164749,1834,1834
1521166484,1833,1833
1521167466,1827,1827
1521168353,1821,1821
1521170083,1837,1837
1521171062,1828,1828
1521171767,1830,1830
1521173674,1831,1831
1521174656,1826,1826
1521175552,1828,1828
1521177305,1833,1833
1521178253,1829,1829
1521179161,1828,1828
1521180463,1827,1827
1521181853,1822,1822
1521182802,1826,1826
1521183408,1832,1832
1521184481,1812,1812
1521186174,1793,1793
1521187083,1778,1778
1521188095,1784,1784
1521189279,1773,1773
1521191686,1781,1781
1521192665,1772,1772
1521193556,1777,1777
1521195035,1780,1780
1521196111,1784,1784
1521197156,1774,1774
1521198905,1763,1763
1521199737,1774,1774
1521200552,1756,1756
1521201392,1765,1765
1521202251,1766,1766
1521203145,1777,1777
1521204177,1770,1770
1521204995,1776,1776
1521206913,1757,1757
1521207764,1747,1747
1521209458,1747,1747
1521212152,1761,1761
1521213057,1758,1758
1521213880,1773,1773
1521214953,1768,1768
1521216947,1791,1791
1521218566,1800,1800
1521220253,1800,1800
1521221331,1810,1810
1521222589,1787,1787
1521224443,1774,1774
1521225643,1774,1774
1521227449,1792,1792
1521228341,1808,1808
1521229376,1809,1809
1521231056,1776,1776
1521232241,1767,1767
1521233167,1789,1789
1521233790,1785,1785
1521234626,1789,1789
1521234881,1796,1796
1521236206,1796,1796
1521237390,1795,1795
1521238255,1803,1803
1521242086,1835,1835
1521243061,1845,1845
1521243949,1856,1856
1521244902,1848,1848
1521245752,1867,1867
1521246922,1857,1857
1521248475,1888,1888
1521249349,1891,1891
1521250847,1895,1895
1521252649,1903,1903
1521252871,1905,1905
1521257108,1905,1905
1521258044,1890,1890
1521258930,1892,1892
1521259835,1897,1897
1521260747,1902,1902
1521261761,1893,1893
1521263449,1905,1905
1521267043,1881,1881
1521268952,1881,1881
1521270881,1882,1882
1521271860,1878,1878
1521274256,1892,1892
1521275467,1880,1880
1521276341,1879,1879
1521277592,1882,1882
1521278446,1889,1889
1521279764,1881,1881
1521280673,1882,1882
1521281747,1880,1880
1521282733,1888,1888
1521283556,1889,1889
1521285047,1903,1903
1521286999,1903,1903
1521287790,1892,1892
1521288641,1904,1904
1521289695,1912,1912
1521291913,1904,1904
1521292851,1913,1913
1521293335,1917,1917
1521294557,1916,1916
1521296106,1913,1913
1521297018,1905,1905
1521297779,1906,1906
1521299329,1902,1902
