DateTime,AddedIPs,RemovedIPs
1520771801,29,99
1520772642,18,1
1520773013,10,0
1520773849,35,40
1520776089,74,75
1520776595,19,1
1520777650,0,8420
1520778725,8352,0
1520779366,35,16
1520780700,42,57
1520781648,39,0
1520782849,68,93
1520783789,35,1
1520784915,37,59
1520785881,46,131
1520787357,67,114
1520788255,50,0
1520789934,84,101
1520791848,88,75
1520792085,15,0
1520793025,0,8311
1520795372,8300,0
1520795676,16,0
1520796632,47,78
1520797544,49,24
1520799353,76,56
1520800294,46,67
1520800977,40,26
1520802646,89,68
1520804711,0,8344
1520806257,8336,0
1520807312,36,0
1520808386,58,129
1520809844,60,63
1520810692,42,0
1520811662,37,100
1520813459,78,55
1520814736,45,90
1520817048,131,77
1520818966,88,90
1520820300,76,60
1520821267,52,1
1520822546,0,8374
1520824857,8369,0
1520825870,56,96
1520826992,61,109
1520828110,54,1
1520830239,94,119
1520830592,22,0
1520831687,45,57
1520832512,60,0
1520833555,56,110
1520834639,66,69
1520835538,57,0
1520838872,226,157
1520839724,49,1
1520840577,55,113
1520841401,51,82
1520842227,0,8407
1520842490,8459,0
1520843769,73,91
1520844174,14,1
1520845597,77,88
1520846462,46,1
1520846916,28,0
1520847964,60,109
1520849408,80,65
1520851255,100,97
1520852170,44,155
1520853049,47,0
1520854307,55,129
1520855730,84,1
1520856650,51,139
1520857894,69,82
1520858765,46,17
1520860805,80,44
1520861750,38,56
1520862170,18,0
1520864001,83,81
1520865019,46,74
1520865760,42,0
1520866591,45,0
1520867443,0,8455
1520868343,8463,0
1520869288,0,8463
1520870845,8433,0
1520872116,53,0
1520874206,105,152
1520874883,25,0
1520876742,74,59
1520879128,0,8479
1520880056,8475,0
1520880943,40,52
1520881844,55,0
1520883334,72,92
1520884536,76,1
1520885447,37,61
1520888378,133,158
1520889265,45,0
1520890122,39,1
1520890978,47,117
1520891798,65,0
1520892865,53,42
1520893849,51,85
1520894554,37,23
1520896468,100,43
1520897414,41,73
1520898355,48,18
1520900082,70,58
1520901186,62,56
1520902226,53,0
1520903448,77,65
1520903666,14,1
1520904523,50,0
1520905398,52,56
1520907268,71,64
1520908118,47,0
1520908967,48,83
1520910866,105,60
1520911851,44,63
1520912564,42,0
1520914479,67,98
1520916153,105,70
1520916994,43,70
1520917849,42,1
1520918075,8,0
1520919640,95,104
1520920573,55,49
1520921444,52,0
1520922504,47,1
1520923723,56,39
1520924857,70,72
1520925255,0,9013
1520926206,8988,0
1520927110,36,30
1520928028,32,44
1520928876,58,0
1520929861,49,75
1520930768,52,27
1520931865,53,68
1520932832,47,0
1520933817,37,83
1520934948,70,1
1520935844,86,66
1520937601,100,109
1520938892,142,49
1520939738,78,0
1520941235,129,87
1520942670,65,32
1520943547,36,0
1520944785,62,84
1520946510,50,69
1520947704,58,0
1520948556,31,100
1520950464,125,39
1520951735,64,118
1520952819,51,0
1520953849,41,55
1520954909,60,1
1520955951,63,72
1520957183,44,82
1520957677,27,1
1520958516,45,2
1520960621,122,179
1520961601,45,1
1520962541,27,129
1520963733,50,1
1520964616,0,9419
1520966734,9459,0
1520967890,53,91
1520968834,46,2
1520970037,53,105
1520971843,80,70
1520972914,39,0
1520975446,125,170
1520977531,0,9417
1520978485,9400,0
1520979345,38,0
1520980230,41,83
1520981144,39,19
1520982208,54,54
1520983244,94,0
1520984554,115,66
1520986245,89,81
1520988153,99,95
1520989422,49,58
1520990441,52,0
1520992545,105,180
1520993447,36,0
1520993669,2,0
1520994523,34,0
1520995544,30,113
1520997048,49,67
1520998459,71,79
1521000426,84,90
1521001238,26,0
1521002439,34,139
1521004543,90,64
1521005480,43,110
1521006147,50,1
1521006990,38,134
1521007846,25,2
1521008897,0,9352
1521010585,9255,0
1521011454,51,0
1521013202,0,9306
1521014367,9310,0
1521015271,39,4
1521016249,47,106
1521016986,35,25
1521017977,74,84
1521018942,57,0
1521019718,35,0
1521020734,41,134
1521022475,82,54
1521023613,48,79
1521024935,70,0
1521025840,41,95
1521026733,0,9298
1521027637,9257,0
1521029193,0,9257
1521029696,9283,0
1521030667,39,56
1521032573,79,80
1521033637,43,1
1521034967,50,84
1521036865,95,103
1521037840,49,85
1521038740,60,37
1521040245,106,56
1521043000,186,74
1521043843,57,95
1521045939,118,104
1521046892,51,49
1521047735,62,0
1521048650,58,81
1521049546,49,48
1521051046,103,62
1521052105,64,2
1521052998,64,84
1521053956,58,114
1521054825,74,0
1521055703,61,2
1521056841,69,116
1521057893,49,48
1521058838,43,0
1521060035,63,83
1521061174,0,9569
1521062140,9592,0
1521063335,75,123
1521065445,115,61
1521067324,0,9598
1521068202,9634,0
1521069267,57,51
1521070255,55,89
1521070956,58,0
1521072652,96,99
1521073810,42,105
1521074704,0,9598
1521076244,9649,0
1521077735,79,83
1521079724,111,106
1521081758,87,129
1521083241,93,63
1521085201,129,74
1521086186,60,103
1521087032,49,0
1521088946,94,131
1521090143,58,73
1521091233,44,0
1521093325,109,180
1521094243,47,0
1521094473,8,0
1521095456,57,97
1521096151,27,25
1521097846,99,44
1521098742,37,0
1521099641,45,91
1521100526,54,88
1521101448,53,1
1521101676,13,0
1521102619,42,97
1521103535,50,0
1521104185,48,108
1521105265,43,0
1521107458,96,158
1521108866,72,140
1521109742,35,1
1521110553,21,216
1521111892,23,64
1521113794,38,102
1521115825,46,44
1521117325,43,97
1521119213,54,59
1521120036,26,0
1521120517,11,0
1521121766,43,117
1521123265,55,57
1521124955,37,89
1521126872,52,90
1521127713,17,0
1521128714,27,78
1521130056,0,9076
1521131467,8963,0
1521132334,18,26
1521133843,43,59
1521135757,44,139
1521136562,10,0
1521137436,0,8854
1521138645,8750,0
1521139542,16,28
1521140189,17,55
1521141044,22,0
1521141930,25,2
1521143790,62,160
1521144641,20,0
1521146258,56,76
1521148246,60,116
1521149460,33,81
1521150334,28,26
1521151790,30,53
1521152899,31,0
1521154172,26,208
1521155097,18,65
1521156033,32,1
1521157230,23,115
1521158347,0,8263
1521159341,8260,0
1521160241,19,80
1521160955,14,29
1521162866,39,75
1521163895,26,58
1521164742,19,19
1521166478,51,43
1521167457,18,87
1521168344,24,33
1521170077,60,56
1521171053,17,60
1521171755,23,15
1521173667,30,49
1521174648,16,81
1521175539,21,56
1521176182,0,7896
1521177056,7876,0
1521178244,25,76
1521179146,22,30
1521180452,35,58
1521181845,29,93
1521182782,25,34
1521183397,15,3
1521184474,14,83
1521186159,33,110
1521187073,22,86
1521188083,18,0
1521189260,22,101
1521191679,62,90
1521192656,18,88
1521193543,15,2
1521195002,42,89
1521196105,23,2
1521197146,27,111
1521198632,29,51
1521199722,17,0
1521200544,32,115
1521201386,18,0
1521202240,23,44
1521203132,22,0
1521204163,22,70
1521204990,20,0
1521206904,36,100
1521207753,22,120
1521209446,31,84
1521211232,54,169
1521212145,37,2
1521213045,35,87
1521213865,24,0
1521214929,0,6847
1521216941,6724,0
1521218555,43,142
1521220241,37,84
1521221319,24,0
1521222583,30,108
1521223535,14,119
1521224435,28,0
1521225634,34,154
1521227443,60,56
1521228521,34,0
1521229365,19,121
1521231041,31,104
1521232230,27,110
1521233155,33,0
1521233784,15,112
1521234604,19,0
1521234875,10,0
1521236189,35,131
1521237384,33,67
1521238243,17,0
1521240144,0,5959
1521242080,5846,0
1521243053,35,80
1521243940,27,1
1521244885,23,108
1521245744,32,0
1521246909,0,5774
1521248467,5652,0
1521249340,10,0
1521250833,37,78
1521252636,44,89
1521252865,3,0
1521257102,83,224
1521258924,49,176
1521259825,0,5311
1521260739,5347,0
1521261755,24,115
1521263440,38,65
1521265357,35,89
1521267037,28,111
1521268946,49,127
1521270875,37,84
1521271850,28,86
1521272736,19,0
1521274464,39,110
1521275458,19,60
1521276327,17,24
1521278429,49,67
1521279754,22,106
1521280667,16,0
1521281735,24,28
1521282711,35,34
1521283548,21,15
1521285040,0,4726
1521286108,4766,0
1521286987,42,38
1521287784,30,68
1521288630,23,1
1521289680,15,0
1521291898,48,108
1521292844,28,0
1521293328,11,0
1521294541,24,56
1521295856,41,46
1521296709,19,1
1521297762,21,47
1521299322,20,30
1521300283,12,1
1521301361,17,56
1521303340,35,40
1521304523,22,43
1521305432,9,0
1521306421,21,32
1521307740,22,0
1521308784,25,43
1521310256,0,4641
1521312180,4610,0
1521314069,32,44
1521314931,13,0
1521315994,28,78
1521316902,22,36
1521317748,22,0
1521318887,35,70
1521321327,0,4534
1521322249,4520,0
1521323165,13,0
1521323784,12,43
1521324641,11,0
1521326132,30,38
1521327240,16,0
1521328246,15,37
1521330336,38,52
1521331154,17,25
1521332137,16,0
1521333012,0,4493
1521333945,4496,0
1521334593,24,54
1521335449,31,0
1521337233,38,70
1521339041,16,34
1521340959,28,50
1521342476,25,43
1521345393,51,61
1521346248,10,0
1521346475,2,0
1521347575,17,29
1521349843,29,51
1521351762,44,47
1521353391,22,24
1521355358,22,35
1521356184,13,49
1521357048,21,0
1521358507,23,56
1521360637,47,36
1521361584,13,0
1521363398,44,41
1521364250,16,46
1521365128,24,0
1521366166,25,49
1521367502,43,27
1521369341,45,42
1521370528,0,4325
1521371456,4345,0
