DateTime,Entries,UniqueIPs
1520771801,16625,16625
1520772642,16642,16642
1520773013,16652,16652
1520773849,16647,16647
1520776089,16646,16646
1520776595,16664,16664
1520777650,8244,8244
1520778725,16596,16596
1520779366,16615,16615
1520780700,16600,16600
1520781648,16639,16639
1520782849,16614,16614
1520783789,16648,16648
1520784915,16626,16626
1520785881,16541,16541
1520787357,16494,16494
1520788255,16544,16544
1520789934,16527,16527
1520791848,16540,16540
1520792085,16555,16555
1520793025,8244,8244
1520795372,16544,16544
1520795676,16560,16560
1520796632,16529,16529
1520797544,16554,16554
1520799353,16574,16574
1520800294,16553,16553
1520800977,16567,16567
1520802646,16588,16588
1520804711,8244,8244
1520806257,16580,16580
1520807312,16616,16616
1520808386,16545,16545
1520809844,16542,16542
1520810692,16584,16584
1520811662,16521,16521
1520813459,16544,16544
1520814736,16499,16499
1520817048,16553,16553
1520818966,16551,16551
1520820300,16567,16567
1520821267,16618,16618
1520822546,8244,8244
1520824857,16613,16613
1520825870,16573,16573
1520826992,16525,16525
1520828110,16578,16578
1520830239,16553,16553
1520830592,16575,16575
1520831687,16563,16563
1520832512,16623,16623
1520833555,16569,16569
1520834639,16566,16566
1520835538,16623,16623
1520838872,16692,16692
1520839724,16740,16740
1520840577,16682,16682
1520841401,16651,16651
1520842227,8244,8244
1520842490,16703,16703
1520843769,16685,16685
1520844174,16698,16698
1520845597,16687,16687
1520846462,16732,16732
1520846916,16760,16760
1520847964,16711,16711
1520849408,16726,16726
1520851255,16729,16729
1520852170,16618,16618
1520853049,16665,16665
1520854307,16591,16591
1520855730,16674,16674
1520856650,16586,16586
1520857894,16573,16573
1520858765,16602,16602
1520860805,16638,16638
1520861750,16620,16620
1520862170,16638,16638
1520864001,16640,16640
1520865019,16612,16612
1520865760,16654,16654
1520866591,16699,16699
1520867443,8244,8244
1520868343,16707,16707
1520869288,8244,8244
1520870845,16677,16677
1520872116,16730,16730
1520874206,16683,16683
1520874883,16708,16708
1520876742,16723,16723
1520879128,8244,8244
1520880056,16719,16719
1520880943,16707,16707
1520881844,16762,16762
1520883334,16742,16742
1520884536,16817,16817
1520885447,16793,16793
1520888378,16768,16768
1520889265,16813,16813
1520890122,16851,16851
1520890978,16781,16781
1520891798,16846,16846
1520892865,16857,16857
1520893849,16823,16823
1520894554,16837,16837
1520896468,16894,16894
1520897414,16862,16862
1520898355,16892,16892
1520900082,16904,16904
1520901186,16910,16910
1520902226,16963,16963
1520903448,16975,16975
1520903666,16988,16988
1520904523,17038,17038
1520905398,17034,17034
1520907268,17041,17041
1520908118,17088,17088
1520908967,17053,17053
1520910866,17098,17098
1520911851,17079,17079
1520912564,17121,17121
1520914479,17090,17090
1520916153,17125,17125
1520916994,17098,17098
1520917849,17139,17139
1520918075,17147,17147
1520919640,17138,17138
1520920573,17144,17144
