DateTime,AddedIPs,RemovedIPs
1520118934,1,0
1520119725,1,0
1520120595,1,2
1520122549,3,5
1520125541,0,1
1520129687,0,1
1520131274,1,0
1520135181,2,0
1520136193,1,1
1520138581,3,0
1520140543,0,1
1520142102,0,1
1520144145,0,2
1520145807,0,1
1520149380,0,1
1520150206,1,0
1520151064,1,1
1520153833,1,0
1520158569,1,0
1520162085,1,0
1520163799,2,1
1520165538,2,3
1520168183,1,1
1520169337,0,3
1520170884,0,1
1520176571,1,0
1520178374,0,3
1520179152,1,1
1520181676,2,1
1520183460,1,2
1520184341,1,1
1520185277,1,0
1520186221,1,0
1520188595,2,1
1520188965,0,1
1520190939,0,2
1520192762,3,0
1520194260,1,0
1520197650,1,1
1520201709,1,0
1520202720,1,0
1520204184,2,0
1520206133,1,2
1520207172,0,1
1520210093,0,1
1520211088,1,2
1520212202,1,1
1520217271,1,3
1520219370,1,0
1520223377,1,2
1520226934,1,0
1520227913,0,1
1520229413,1,1
1520233976,0,1
1520234925,0,1
1520236768,0,1
1520237756,0,2
1520241353,1,0
1520245958,1,1
1520248561,0,1
1520249701,1,8
1520251837,1,0
1520253656,1,0
1520259059,1,0
1520262790,1,0
1520264467,1,0
1520268646,1,0
1520278957,0,1
1520279843,1,0
1520284372,3,2
1520286060,2,1
1520289766,0,1
1520291761,0,1
1520294219,1,0
1520298882,1,1
1520304172,0,2
1520309458,0,1
1520311257,2,0
1520312821,1,0
1520313287,1,0
1520320561,0,2
1520322641,0,1
1520323625,0,1
1520329495,0,1
1520330997,0,1
1520333453,2,0
1520334877,1,0
1520336164,1,2
1520338255,0,1
1520340055,0,1
1520342088,0,1
1520344608,2,0
1520346768,0,1
1520349303,3,0
1520350208,0,1
1520353807,1,0
1520355412,0,1
1520356440,1,0
1520358065,1,0
1520362793,1,1
1520366011,2,1
1520367304,1,1
1520372762,1,0
1520374095,1,0
1520376173,1,0
1520378176,0,1
1520379749,0,1
1520380667,1,0
1520381548,0,1
1520384227,0,1
1520385386,2,0
1520386362,1,0
1520389845,0,1
1520390582,1,0
1520398569,2,0
1520400526,1,0
1520403362,0,1
1520404632,0,5
1520406003,1,0
1520408481,1,0
1520412057,0,1
1520415125,0,1
1520417685,1,0
1520419381,0,1
1520426747,0,1
1520427810,0,1
1520430068,2,0
1520432244,1,0
1520433277,0,1
1520433766,2,0
1520434871,1,0
1520439054,0,2
1520446241,1,0
1520448183,0,1
1520449004,1,2
1520450078,1,0
1520453686,1,0
1520454936,0,2
1520457365,0,1
1520458253,3,1
1520459790,1,1
1520460653,1,0
1520464562,2,0
1520467857,1,1
1520469782,0,1
1520471738,0,1
1520474196,1,0
1520476328,1,0
1520478956,1,0
1520479863,0,1
1520480845,1,0
1520482504,1,0
1520485716,1,0
1520493273,1,0
1520495171,1,1
1520496149,0,1
1520502949,1,2
1520507338,0,1
1520512205,0,1
1520514935,0,1
1520515850,0,2
1520517402,0,1
1520519570,1,0
1520521013,2,0
1520523044,0,1
1520525428,0,2
1520526660,2,0
1520527352,1,1
1520529337,2,0
1520532391,0,1
1520533323,1,0
1520534562,0,1
1520536512,0,1
1520538370,0,1
1520539499,1,0
1520540478,1,1
1520541585,0,1
1520544697,0,3
1520545574,2,0
1520546539,0,1
1520551722,1,0
1520556057,1,2
1520556949,0,1
1520559088,0,1
1520560644,1,1
1520566294,0,2
1520568911,0,2
1520569899,0,2
1520571698,1,0
1520572590,1,0
1520579714,1,0
1520581394,0,1
1520584879,1,0
1520587277,0,1
1520589396,1,0
1520598603,0,1
1520600496,0,1
1520601395,1,0
1520602980,0,1
1520604113,0,1
1520606853,1,0
1520608486,1,0
1520611856,1,0
1520613115,1,1
1520614974,0,1
1520616963,1,0
1520619279,1,1
1520620978,0,2
1520622958,0,1
1520624592,2,0
1520626562,3,1
1520628058,1,1
1520630144,1,0
1520631831,1,2
1520635258,0,2
1520636179,2,1
1520638982,1,1
1520642601,3,0
1520643411,1,1
1520648117,0,2
1520650878,0,2
1520654144,0,1
1520656320,1,1
1520658068,0,2
1520662519,0,1
1520665385,0,1
1520667766,1,0
1520668585,0,1
1520672202,0,3
1520683687,3,1
1520686875,0,1
1520690197,1,2
1520690538,1,0
1520693804,1,0
1520696751,1,0
1520698533,1,1
1520702078,1,0
1520703093,0,1
1520705005,0,1
1520705962,1,0
1520707396,1,0
1520709279,1,0
1520714597,0,1
1520717509,1,2
1520720122,1,0
1520722641,0,1
1520728880,2,0
1520729775,0,1
1520732458,1,1
1520749258,1,0
1520750486,0,1
1520753970,3,1
1520757076,10,1
1520759682,7,0
1520764330,0,1
1520768301,0,1
1520769862,1,0
1520771809,0,1
1520772667,1,0
1520776123,1,0
1520779393,2,0
1520782858,0,1
1520785913,1,0
1520788503,5,0
1520789942,1,0
1520791010,0,1
1520792111,0,1
1520795391,0,2
1520799386,0,1
1520800317,0,1
1520801012,0,1
1520804730,4,0
1520806527,1,2
1520807321,1,0
1520811700,1,1
1520813754,1,0
1520817302,1,0
1520818986,1,0
1520820414,1,0
1520821290,1,0
1520825887,2,0
1520830247,0,1
1520831696,0,1
1520835571,1,0
1520838882,0,1
1520845649,0,1
1520849460,1,0
1520852186,1,0
1520854325,0,1
1520855740,1,0
1520862179,2,1
1520867454,0,2
1520869298,0,1
1520871834,1,0
1520874890,1,0
1520876757,0,2
1520880074,0,1
1520880952,1,0
1520883341,1,0
1520887598,0,1
1520889033,1,0
1520892872,1,0
1520897442,1,2
1520901210,2,1
1520905405,0,1
1520907276,2,1
1520910873,1,0
1520914491,1,0
1520916166,1,0
1520917006,1,0
1520917860,0,1
1520922604,0,1
1520923732,1,0
1520924874,0,1
1520926226,0,5
1520927139,1,15
1520928109,1,0
1520933842,1,0
1520937615,1,0
1520938911,0,1
1520946520,0,1
1520947711,1,0
1520948575,1,0
1520951746,0,3
1520953856,1,0
1520954922,1,0
1520955964,0,1
1520958523,2,1
1520959560,0,1
1520962563,1,1
1520965855,1,0
1520966751,1,0
1520967906,1,0
1520970051,1,0
1520970951,0,1
1520972921,12,1
1520975464,1,1
1520977547,2,2
1520978518,0,1
1520981155,0,1
1520982226,1,0
1520984569,1,1
1520988165,1,0
1520991648,2,0
1520994531,2,0
1520995560,1,3
1520997056,1,0
1520998467,2,0
1521002457,0,1
1521016994,1,0
1521022482,0,1
1521023626,1,1
1521027652,0,1
1521029202,1,1
1521029704,0,1
1521032596,0,1
1521043008,1,0
1521043853,1,0
1521048670,1,0
1521049564,1,0
1521051061,2,1
1521053014,0,1
1521053993,0,1
1521058853,1,0
1521060047,1,1
1521061180,0,2
1521062150,1,0
1521064240,2,0
1521065452,0,1
1521070265,0,1
