DateTime,Entries,UniqueIPs
1520750434,5307,5307
1520751386,5305,5305
1520752234,5316,5316
1520753954,5316,5316
1520754925,5327,5327
1520755843,5296,5296
1520757043,5274,5274
1520757947,5273,5273
1520759666,5279,5279
1520760522,5295,5295
1520761357,5233,5233
1520762185,5252,5252
1520763328,5246,5246
1520764283,5231,5231
1520765138,5244,5244
1520766176,5230,5230
1520767230,5246,5246
1520768264,5210,5210
1520769829,5239,5239
1520770834,5256,5256
1520771792,5224,5224
1520772628,5237,5237
1520772995,5251,5251
1520773833,5236,5236
1520776077,5232,5232
1520776583,5239,5239
1520778706,5199,5199
1520779353,5210,5210
1520780679,5199,5199
1520781631,5226,5226
1520782833,5182,5182
1520783783,5214,5214
1520784656,5194,5194
1520785873,5155,5155
1520787351,5159,5159
1520788233,5182,5182
1520789927,5174,5174
1520790988,5160,5160
1520791840,5174,5174
1520792072,5176,5176
1520795351,5160,5160
1520795666,5170,5170
1520796619,5106,5106
1520797530,5109,5109
1520799337,5072,5072
1520800280,4984,4984
1520800958,4953,4953
1520802632,4912,4912
1520806237,4904,4904
1520807305,4917,4917
1520808370,4891,4891
1520809836,4876,4876
1520810677,4895,4895
1520811645,4869,4869
1520813435,4856,4856
1520814720,4842,4842
1520817031,4846,4846
1520818955,4877,4877
1520820292,4866,4866
1520823771,4846,4846
1520824835,4864,4864
1520825857,4849,4849
1520826985,4818,4818
1520827846,4837,4837
1520828875,4857,4857
1520830585,4854,4854
1520831673,4849,4849
1520832505,4856,4856
1520833541,4835,4835
1520834630,4831,4831
1520835532,4836,4836
1520838865,4839,4839
1520839711,4850,4850
1520840563,4842,4842
1520841388,4849,4849
1520842475,4859,4859
1520844153,4863,4863
1520845573,4871,4871
1520846907,4896,4896
1520847942,4857,4857
1520849400,4859,4859
1520851236,4846,4846
1520852157,4821,4821
1520853034,4831,4831
1520854284,4816,4816
1520855723,4847,4847
1520856635,4866,4866
1520857886,4909,4909
1520858745,4925,4925
1520860797,4981,4981
1520861735,4988,4988
1520862156,5004,5004
1520863859,5044,5044
1520864697,5082,5082
1520866583,5127,5127
1520867431,5141,5141
1520868329,5162,5162
1520869269,5154,5154
1520870837,5161,5161
1520872106,5190,5190
1520874200,5178,5178
1520874869,5191,5191
1520876731,5196,5196
