DateTime,Entries,UniqueIPs
1520960132,6446,6446
1520961092,6448,6448
1520961813,6444,6444
1520962532,6442,6442
1520963493,6443,6443
1520964571,6443,6443
1520965471,6427,6427
1520966372,6419,6419
1520967093,6415,6415
1520968052,6416,6416
1520969732,6426,6426
1520970453,6420,6420
1520971172,6410,6410
1520971893,6406,6406
1520972612,6400,6400
1520973332,6409,6409
1520974291,6404,6404
1520975252,6402,6402
1520975972,6400,6400
1520976692,6398,6398
1520977652,6393,6393
1520978373,6396,6396
1520979092,6395,6395
1520979812,6399,6399
1520980533,6397,6397
1520981492,6400,6400
1520982452,6406,6406
1520983173,6401,6401
1520983893,6395,6395
1520984612,6395,6395
1520985331,6401,6401
1520986052,6396,6396
1520986773,6408,6408
1520987492,6417,6417
1520988212,6419,6419
1520989172,6414,6414
1520989892,6411,6411
1520990611,6415,6415
1520991332,6413,6413
1520992052,6410,6410
1520993012,6411,6411
1520993733,6408,6408
1520994452,6406,6406
1520995172,6401,6401
1520995892,6401,6401
1520996852,6405,6405
1520997572,6397,6397
1520998292,6393,6393
1520999012,6388,6388
1520999732,6390,6390
1521000692,6391,6391
1521001412,6388,6388
1521002131,6388,6388
1521003092,6393,6393
1521003812,6392,6392
1521004532,6393,6393
1521005252,6386,6386
1521005973,6378,6378
1521006693,6375,6375
1521007411,6381,6381
1521008372,6381,6381
1521009092,6387,6387
1521009872,6393,6393
1521010772,6391,6391
1521011733,6394,6394
1521012691,6386,6386
1521013413,6384,6384
1521014133,6384,6384
1521014852,6378,6378
1521015572,6375,6375
1521016532,6373,6373
1521017492,6382,6382
1521018452,6388,6388
1521019412,6391,6391
1521020372,6385,6385
1521021091,6385,6385
1521021812,6387,6387
1521022532,6385,6385
1521023493,6384,6384
1521024452,6371,6371
1521025411,6371,6371
1521026373,6369,6369
1521027092,6372,6372
1521027812,6373,6373
1521028532,6375,6375
1521029731,6372,6372
1521030452,6378,6378
1521031171,6385,6385
1521032611,6381,6381
1521033333,6374,6374
1521034053,6373,6373
1521035011,6374,6374
1521035733,6376,6376
1521036452,6377,6377
1521037172,6377,6377
1521037891,6382,6382
