DateTime,AddedIPs,RemovedIPs
1520302817,27,25
1520304739,6,18
1520306656,21,30
1520308579,12,37
1520310492,20,22
1520312421,11,7
1520314338,18,23
1520316268,9,21
1520318180,11,34
1520320107,10,34
1520323948,24,60
1520325860,36,22
1520329696,27,30
1520331624,13,0
1520335460,17,13
1520337372,11,14
1520339308,26,14
1520341220,13,11
1520343147,10,14
1520345394,15,8
1520347224,11,8
1520349146,9,10
1520352996,15,35
1520354910,25,0
1520356827,6,0
1520358747,23,5
1520360896,26,9
1520362821,6,24
1520364758,8,16
1520366927,12,9
1520368817,8,31
1520370750,3,6
1520372655,7,29
1520374575,5,9
1520376497,5,6
1520378659,26,10
1520380580,23,9
1520382499,28,10
1520384434,12,27
1520386345,24,17
1520388267,5,11
1520390186,19,31
1520392106,11,6
1520394018,21,21
1520397861,16,34
1520401696,16,35
1520403620,16,9
1520405538,14,10
1520407453,26,13
1520409385,13,0
1520411295,4,26
1520415143,5,36
1520419214,9,41
1520421143,25,0
1520423061,39,20
1520424986,34,14
1520426895,33,22
1520428817,16,12
1520430741,17,8
1520432665,32,15
1520434573,8,11
1520436495,31,8
1520438423,6,0
1520440346,9,12
1520442263,16,21
1520446822,5,25
1520448736,13,24
1520450654,27,4
1520454497,33,20
1520456431,8,9
1520458347,11,4
1520460260,11,3
1520462171,12,6
1520464098,11,6
1520466049,14,27
1520467954,16,17
1520469860,21,24
1520472026,9,13
1520473947,13,22
1520475858,29,7
1520477799,9,16
1520479698,27,10
1520481637,16,23
1520485471,22,11
1520489310,20,19
1520491232,14,21
1520493147,21,14
1520495259,20,30
1520497410,19,15
1520499405,11,6
1520503822,21,8
1520505858,18,4
1520507766,11,19
1520509941,10,34
1520511868,8,22
1520513776,11,32
1520515939,7,19
1520517868,13,18
1520519783,6,30
1520521710,10,8
1520525532,22,36
1520527706,29,5
1520529626,19,17
1520531541,18,0
1520539460,5,43
1520541386,14,29
1520543308,20,6
1520545214,7,15
1520547384,11,14
1520549302,25,14
1520553132,13,28
1520555062,32,16
1520556987,19,24
1520562767,13,47
1520566582,18,38
1520568508,27,18
1520570415,14,0
1520572344,36,28
1520574264,29,0
1520576189,30,26
1520578111,31,15
1520580031,26,27
1520581936,25,24
1520583863,18,23
1520585787,13,0
1520587937,21,16
1520589866,23,0
1520591782,10,25
1520593711,11,22
1520595611,14,14
1520597537,20,9
1520601368,21,19
1520603309,23,6
1520605225,13,17
1520607154,19,6
1520609062,21,10
1520610985,5,0
1520612906,40,24
1520614832,19,19
1520616745,3,18
1520618663,18,19
1520620657,8,0
1520622512,9,0
1520624428,9,0
1520626345,13,3
1520628265,14,7
1520632094,26,28
1520634027,25,10
1520635959,8,20
1520638466,10,0
1520640504,18,13
1520642410,4,30
1520644349,2,19
1520646249,23,0
1520650093,17,11
1520652019,22,0
1520653942,12,14
1520655866,21,26
1520657789,11,13
1520659700,16,37
1520661636,21,22
1520663544,10,26
1520665472,16,28
1520667388,28,23
1520669312,12,22
1520671220,14,19
1520673150,6,13
1520675061,29,27
1520676999,11,21
1520678897,5,10
1520682744,5,26
1520684673,23,22
1520686583,20,0
1520688511,35,18
1520690433,4,24
1520694269,9,28
1520696189,7,23
1520698112,9,10
1520700023,11,37
1520701946,7,18
1520704105,24,4
1520706027,20,16
1520708024,19,10
1520709861,26,14
1520711783,2,10
1520713703,29,12
1520715635,12,15
1520717550,10,0
1520719706,8,21
1520721623,22,25
1520723556,21,13
1520727621,17,22
1520729543,11,4
1520731464,23,1
1520733383,21,27
1520735291,31,0
1520737469,29,16
1520739392,23,19
1520741315,19,12
1520743226,22,24
1520745146,30,10
1520751145,19,46
1520753055,35,15
1520754981,25,23
1520756904,27,14
1520758835,17,16
1520760737,12,8
1520762664,17,31
1520764568,11,15
1520766746,12,5
1520768667,8,0
1520770591,10,5
1520772502,24,30
1520774415,14,17
1520776353,16,27
1520778263,33,5
