DateTime,AddedIPs,RemovedIPs
1520880742,107,57
1520881696,241,416
1520882671,201,241
1520883639,279,174
1520884574,372,195
1520885546,911,220
1520886495,508,240
1520888489,220,299
1520889613,68,170
1520890590,100,211
1520891539,66,163
1520892512,384,1237
1520893454,32,24
1520894427,131,359
1520895391,471,293
1520896590,562,264
1520897541,192,325
1520898514,219,328
1520899731,243,200
1520900656,108,216
1520901615,338,374
1520902586,135,275
1520903558,250,122
1520904494,168,217
1520905461,211,92
1520906422,200,266
1520907384,208,190
1520908347,229,202
1520909293,177,207
1520910280,210,160
1520911210,159,147
1520912180,211,180
1520913134,131,175
1520914110,246,134
1520915056,135,234
1520916019,251,168
1520916977,116,242
1520917943,322,146
1520918900,205,307
1520919867,176,131
1520920822,246,286
1520921777,261,118
1520922744,198,421
1520923705,240,91
1520924664,324,371
1520925619,215,506
1520926582,182,14
1520927562,181,40
1520928495,172,147
1520929487,111,41
1520930438,191,58
1520931376,109,18
1520932346,176,64
1520933294,131,53
1520934277,160,69
1520935226,187,596
1520936198,265,540
1520937141,169,51
1520938103,112,25
1520939070,222,468
1520940014,139,341
1520940994,134,156
1520941957,159,246
1520942900,148,20
1520943855,192,252
1520944820,204,172
1520945779,95,61
1520946742,77,199
1520947692,312,309
1520948681,199,123
1520949619,147,35
1520950588,232,310
1520951538,129,26
1520952512,177,307
1520953465,186,47
1520954416,118,159
1520955391,194,132
1520956333,146,190
1520957313,237,195
1520958261,141,178
1520959215,253,318
1520960204,123,209
1520961161,248,190
1520962096,211,343
1520963056,159,202
1520964023,236,46
1520965552,360,449
1520966652,234,140
1520967615,257,269
1520969889,483,415
1520970971,214,143
1520971971,264,483
1520972893,177,30
1520973861,206,212
1520974818,131,20
1520975780,379,56
1520976757,616,33
1520977723,214,59
1520978666,423,1046
1520979617,104,51
1520980591,178,112
1520981558,185,531
1520982529,340,603
1520983462,176,190
1520984418,211,207
1520985396,139,221
1520986343,369,135
1520987294,118,221
1520988272,256,109
1520989241,297,260
1520990176,171,143
1520991140,189,251
1520992107,235,187
1520993083,248,200
1520994013,128,160
1520994977,205,169
1520995947,155,223
1520996926,237,142
1520997862,156,163
1520998837,226,143
1520999787,93,224
1521000765,263,132
1521001702,105,205
1521002655,210,102
1521003619,178,259
1521004607,223,185
1521005544,169,143
1521006498,220,285
1521007473,211,190
1521008435,185,171
1521009374,238,264
1521010338,156,318
1521011308,265,209
1521012266,189,238
1521013212,223,237
1521014192,192,185
1521015142,285,200
1521016102,133,277
1521017058,182,152
1521018027,226,212
1521018987,142,145
1521019953,78,179
1521020896,217,163
1521021884,247,293
1521023058,214,180
1521024021,164,132
1521024977,142,198
1521025950,185,112
1521026896,128,143
