DateTime,Entries,UniqueIPs
1520880742,29907,29907
1520881696,29732,29732
1520882671,29692,29692
1520883639,29797,29797
1520884574,29974,29974
1520885546,30665,30665
1520886495,30933,30933
1520888489,30854,30854
1520889613,30752,30752
1520890590,30641,30641
1520891539,30544,30544
1520892512,29691,29691
1520893454,29699,29699
1520894427,29471,29471
1520895391,29649,29649
1520896590,29947,29947
1520897541,29814,29814
1520898514,29705,29705
1520899731,29748,29748
1520900656,29640,29640
1520901615,29604,29604
1520902586,29464,29464
1520903558,29592,29592
1520904494,29543,29543
1520905461,29662,29662
1520906422,29596,29596
1520907384,29614,29614
1520908347,29641,29641
1520909293,29611,29611
1520910280,29661,29661
1520911210,29673,29673
1520912180,29704,29704
1520913134,29660,29660
1520914110,29772,29772
1520915056,29673,29673
1520916019,29756,29756
1520916977,29630,29630
1520917943,29806,29806
1520918900,29704,29704
1520919867,29749,29749
1520920822,29709,29709
1520921777,29852,29852
1520922744,29629,29629
1520923705,29778,29778
1520924664,29731,29731
1520925619,29440,29440
1520926582,29608,29608
1520927562,29749,29749
1520928495,29774,29774
1520929487,29844,29844
1520930438,29977,29977
1520931376,30068,30068
1520932346,30180,30180
1520933294,30258,30258
1520934277,30349,30349
1520935226,29940,29940
1520936198,29665,29665
1520937141,29783,29783
1520938103,29870,29870
1520939070,29624,29624
1520940014,29422,29422
1520940994,29400,29400
1520941957,29313,29313
1520942900,29441,29441
1520943855,29381,29381
1520944820,29413,29413
1520945779,29447,29447
1520946742,29325,29325
1520947692,29328,29328
1520948681,29404,29404
1520949619,29516,29516
1520950588,29438,29438
1520951538,29541,29541
1520952512,29411,29411
1520953465,29550,29550
1520954416,29509,29509
1520955391,29571,29571
1520956333,29527,29527
1520957313,29569,29569
1520958261,29532,29532
1520959215,29467,29467
1520960204,29381,29381
1520961161,29439,29439
1520962096,29307,29307
1520963056,29264,29264
1520964023,29454,29454
1520965552,29365,29365
1520966652,29459,29459
1520967615,29447,29447
1520969889,29515,29515
1520970971,29586,29586
1520971971,29367,29367
1520972893,29514,29514
1520973861,29508,29508
1520974818,29619,29619
1520975780,29942,29942
1520976757,30525,30525
1520977723,30680,30680
1520978666,30057,30057
1520979617,30110,30110
1520980591,30176,30176
1520981558,29830,29830
1520982529,29567,29567
1520983462,29553,29553
1520984418,29557,29557
1520985396,29475,29475
1520986343,29709,29709
1520987294,29606,29606
1520988272,29753,29753
1520989241,29790,29790
1520990176,29818,29818
1520991140,29756,29756
1520992107,29804,29804
1520993083,29852,29852
1520994013,29820,29820
1520994977,29856,29856
1520995947,29788,29788
1520996926,29883,29883
1520997862,29876,29876
1520998837,29959,29959
1520999787,29828,29828
1521000765,29959,29959
1521001702,29859,29859
1521002655,29967,29967
1521003619,29886,29886
1521004607,29924,29924
1521005544,29950,29950
1521006498,29885,29885
1521007473,29906,29906
1521008435,29920,29920
1521009374,29894,29894
1521010338,29732,29732
1521011308,29788,29788
1521012266,29739,29739
1521013212,29725,29725
1521014192,29732,29732
1521015142,29817,29817
1521016102,29673,29673
1521017058,29703,29703
1521018027,29717,29717
1521018987,29714,29714
1521019953,29613,29613
1521020896,29667,29667
1521021884,29621,29621
1521023058,29655,29655
1521024021,29687,29687
1521024977,29631,29631
1521025950,29704,29704
1521026896,29689,29689
1521027881,29698,29698
1521028817,29673,29673
1521029782,29663,29663
1521030756,29688,29688
1521032699,29831,29831
1521033614,29627,29627
1521034582,29690,29690
1521035539,29693,29693
1521036525,29653,29653
1521037453,29603,29603
1521038420,29598,29598
1521039370,29594,29594
1521040365,29612,29612
1521041292,29617,29617
1521042497,29657,29657
1521043530,29538,29538
1521044664,29296,29296
