DateTime,Entries,UniqueIPs
1520880742,3116,3116
1520881696,3091,3091
1520882671,3091,3091
1520883639,3081,3081
1520884574,3218,3218
1520885546,3312,3312
1520886495,3351,3351
1520888489,3363,3363
1520889613,3373,3373
1520890590,3387,3387
1520891539,3374,3374
1520892512,3352,3352
1520893454,3348,3348
1520894427,3357,3357
1520895391,3334,3334
1520896590,3347,3347
1520897541,3352,3352
1520898514,3356,3356
1520899731,3359,3359
1520900656,3356,3356
1520901615,3372,3372
1520902586,3367,3367
1520903558,3346,3346
1520904494,3334,3334
1520905461,3309,3309
1520906422,3315,3315
1520907384,3289,3289
1520908347,3305,3305
1520909293,3284,3284
1520910280,3283,3283
1520911210,3292,3292
1520912180,3327,3327
1520913134,3328,3328
1520914110,3333,3333
1520915056,3350,3350
1520916019,3359,3359
1520916977,3351,3351
1520917943,3356,3356
1520918900,3364,3364
1520919867,3380,3380
1520920822,3370,3370
1520921777,3408,3408
1520922744,3403,3403
1520923705,3414,3414
1520924664,3388,3388
1520925619,3357,3357
1520926582,3340,3340
1520927562,3347,3347
1520928495,3356,3356
1520929487,3311,3311
1520930438,3297,3297
1520931376,3291,3291
1520932346,3306,3306
1520933294,3300,3300
1520934277,3316,3316
1520935226,3309,3309
1520936198,3286,3286
1520937141,3289,3289
1520938103,3256,3256
1520939070,3240,3240
1520940014,3234,3234
1520940994,3238,3238
1520941957,3242,3242
1520942900,3259,3259
1520943855,3258,3258
1520944820,3268,3268
1520945779,3264,3264
1520946742,3280,3280
1520947692,3272,3272
1520948681,3287,3287
1520949619,3285,3285
1520950588,3290,3290
1520951538,3287,3287
1520952512,3303,3303
1520953465,3305,3305
1520954416,3310,3310
1520955391,3297,3297
1520956333,3294,3294
1520957313,3295,3295
1520958261,3307,3307
1520959215,3318,3318
1520960204,3309,3309
1520961161,3281,3281
1520962096,3276,3276
1520963056,3280,3280
1520964023,3308,3308
1520965552,3320,3320
1520966652,3320,3320
1520967615,3340,3340
1520969889,3368,3368
1520970971,3242,3242
1520971971,3188,3188
1520972893,3178,3178
1520973861,3168,3168
1520974818,3152,3152
1520975780,3159,3159
1520976757,3161,3161
1520977723,3169,3169
1520978666,3132,3132
1520979617,3122,3122
1520980591,3120,3120
1520981558,3122,3122
1520982529,3141,3141
1520983462,3140,3140
1520984418,3131,3131
1520985396,3117,3117
1520986343,3099,3099
1520987294,3090,3090
1520988272,3091,3091
1520989241,3069,3069
1520990176,3072,3072
1520991140,3054,3054
1520992107,3031,3031
1520993083,3007,3007
1520994013,2995,2995
1520994977,2994,2994
1520995947,2994,2994
1520996926,3007,3007
1520997862,3002,3002
1520998837,3002,3002
1520999787,2997,2997
1521000765,3005,3005
1521001702,3011,3011
1521002655,3018,3018
1521003619,3024,3024
1521004607,3014,3014
1521005544,3013,3013
1521006498,3016,3016
1521007473,3034,3034
1521008435,3030,3030
1521009374,3024,3024
1521010338,3012,3012
1521011308,3022,3022
1521012266,3034,3034
1521013212,3057,3057
1521014192,3061,3061
1521015142,3077,3077
1521016102,3075,3075
1521017058,3080,3080
1521018027,3087,3087
1521018987,3088,3088
1521019953,3091,3091
1521020896,3081,3081
1521021884,3097,3097
1521023058,3080,3080
1521024021,3095,3095
1521024977,3089,3089
1521025950,3078,3078
1521026896,3063,3063
1521027881,3064,3064
1521028817,3085,3085
1521029782,3096,3096
1521030756,3096,3096
1521032699,3071,3071
1521033614,3058,3058
1521034582,3113,3113
1521035539,3109,3109
1521036525,3101,3101
1521037453,3103,3103
1521038420,3100,3100
1521039370,3103,3103
1521040365,3108,3108
1521041292,3115,3115
1521042497,3115,3115
1521043530,3118,3118
1521044664,3114,3114
1521045859,3136,3136
1521046822,3144,3144
1521047790,3137,3137
1521048740,3129,3129
1521049697,3125,3125
1521050678,3123,3123
1521051634,3120,3120
1521052596,3136,3136
1521053532,3135,3135
1521054497,3131,3131
1521055456,3129,3129
1521056421,3129,3129
1521057388,3132,3132
1521058369,3135,3135
1521059292,3140,3140
1521060255,3136,3136
1521061220,3143,3143
1521062179,3172,3172
1521063138,3188,3188
1521064106,3189,3189
1521065059,3148,3148
1521066014,3134,3134
1521066990,3131,3131
1521067951,3153,3153
1521068902,3149,3149
1521069856,3156,3156
1521070968,3140,3140
1521072041,3142,3142
1521072974,3140,3140
1521073955,3141,3141
1521075187,3143,3143
1521076108,3132,3132
1521077067,3117,3117
1521078023,3108,3108
1521078975,3120,3120
1521079949,3129,3129
1521080892,3124,3124
1521081863,3125,3125
1521082829,3130,3130
1521083795,3128,3128
1521084736,3130,3130
1521085710,3144,3144
1521086677,3161,3161
1521087618,3153,3153
1521088580,3141,3141
1521089562,3145,3145
1521090518,3130,3130
1521091459,3129,3129
1521092419,3130,3130
1521093394,3142,3142
1521094341,3144,3144
1521095296,3151,3151
1521096272,3134,3134
1521097219,3140,3140
1521098190,3144,3144
1521099146,3136,3136
1521100093,3153,3153
1521101086,3159,3159
1521102029,3182,3182
1521102978,3182,3182
1521103963,3194,3194
1521104908,3188,3188
1521105862,3186,3186
1521106816,3174,3174
1521107781,3158,3158
1521108742,3168,3168
1521109692,3163,3163
1521110678,3169,3169
1521111622,3169,3169
1521112579,3164,3164
1521113552,3159,3159
1521114499,3157,3157
1521115477,3155,3155
1521116943,3162,3162
1521118102,3183,3183
1521119318,3202,3202
1521120260,3208,3208
1521121483,3189,3189
1521122415,3182,3182
1521123389,3182,3182
1521124340,3173,3173
1521125305,3169,3169
1521126259,3162,3162
1521127219,3169,3169
1521128189,3165,3165
1521129165,3184,3184
1521130094,3186,3186
1521131063,3172,3172
1521132275,3188,3188
1521133241,3188,3188
1521134186,3199,3199
1521135148,3203,3203
1521136092,3216,3216
1521137098,3218,3218
1521138012,3226,3226
1521138983,3229,3229
1521139943,3236,3236
1521140909,3241,3241
1521141855,3249,3249
1521142814,3250,3250
1521143777,3250,3250
1521144739,3252,3252
1521145695,3249,3249
1521146665,3248,3248
1521147615,3236,3236
1521148585,3239,3239
1521149540,3261,3261
1521150496,3277,3277
1521151467,3238,3238
1521152424,3238,3238
1521153375,3250,3250
1521154344,3242,3242
1521155297,3253,3253
1521157200,3262,3262
1521158172,3253,3253
1521159158,3253,3253
1521160097,3244,3244
1521161084,3241,3241
1521162164,3217,3217
1521163090,3220,3220
1521164432,3209,3209
1521165379,3195,3195
1521166427,3191,3191
1521167549,3189,3189
1521168497,3196,3196
1521169580,3198,3198
1521170653,3199,3199
1521171614,3214,3214
1521172582,3211,3211
1521173538,3212,3212
1521174490,3199,3199
1521175465,3197,3197
1521176438,3202,3202
1521177371,3210,3210
1521178347,3193,3193
1521179292,3187,3187
1521180268,3186,3186
1521181210,3175,3175
1521182177,3167,3167
1521183129,3187,3187
1521184111,3200,3200
1521185050,3199,3199
1521186013,3181,3181
1521186967,3175,3175
1521187950,3172,3172
1521188891,3183,3183
1521189866,3195,3195
1521190817,3188,3188
1521191794,3197,3197
1521192738,3186,3186
1521193697,3175,3175
1521194657,3188,3188
1521195629,3165,3165
1521196570,3172,3172
1521197541,3131,3131
1521198492,3122,3122
1521199458,3120,3120
1521200409,3138,3138
1521201469,3142,3142
1521202573,3163,3163
1521203537,3183,3183
1521204489,3189,3189
1521205457,3192,3192
1521206411,3191,3191
1521207381,3188,3188
1521208334,3193,3193
1521209297,3212,3212
1521210267,3198,3198
1521211214,3195,3195
1521212175,3193,3193
1521213147,3181,3181
1521214093,3200,3200
1521215065,3212,3212
1521216020,3226,3226
1521216982,3234,3234
1521217946,3214,3214
1521218902,3211,3211
1521219857,3203,3203
1521220818,3205,3205
1521221774,3213,3213
1521222748,3221,3221
1521223699,3227,3227
1521224668,3233,3233
1521225613,3231,3231
1521226584,3235,3235
