DateTime,AddedIPs,RemovedIPs
1520879784,1,0
1520880739,0,12
1520882669,0,8
1520883636,16,5
1520884572,135,5
1520885544,85,0
1520886493,31,7
1520888487,47,6
1520889611,22,4
1520890588,33,7
1520891537,7,0
1520892510,21,4
1520893452,10,1
1520894425,33,4
1520895389,10,3
1520896588,33,9
1520897539,15,0
1520898511,18,4
1520899729,35,14
1520900655,7,10
1520901613,25,10
1520902584,4,13
1520903556,21,7
1520904492,19,19
1520905459,14,6
1520906420,23,10
1520907382,16,0
1520908344,21,14
1520909291,16,0
1520910278,12,16
1520911208,15,0
1520912178,33,14
1520913131,15,9
1520914108,37,12
1520915054,20,3
1520916017,31,7
1520916975,12,6
1520917941,18,12
1520918898,8,12
1520919865,11,10
1520920820,2,10
1520921775,36,9
1520922741,10,20
1520923703,19,11
1520924662,15,10
1520925617,15,12
1520926580,14,14
1520927560,9,9
1520928493,14,0
1520929485,20,14
1520930436,19,10
1520931374,16,0
1520932344,13,7
1520933292,7,2
1520934275,6,11
1520935224,2,0
1520936196,16,8
1520937139,26,3
1520938101,12,13
1520939068,13,7
1520940012,5,0
1520940992,11,2
1520941955,10,2
1520942899,19,0
1520943853,10,6
1520944818,13,5
1520945777,6,8
1520946740,26,1
1520947690,3,6
1520948679,22,4
1520949617,17,6
1520950586,21,2
1520951535,13,5
1520952510,20,4
1520953463,14,12
1520954414,15,0
1520955389,21,7
1520956331,14,3
1520957312,16,9
1520958259,22,0
1520959212,18,9
1520960202,10,5
1520961159,20,5
1520962094,10,0
1520963054,14,3
1520964021,21,4
1520965550,19,5
1520966650,9,5
1520967613,16,3
1520969887,29,5
1520970969,29,2
1520971969,14,10
1520972891,12,0
1520973858,11,1
1520974816,10,2
1520975778,14,4
1520976755,17,6
1520977721,10,2
1520978664,6,4
1520979615,14,6
1520980589,17,4
1520981556,9,6
1520982528,14,8
1520983460,9,2
1520984416,18,11
1520985394,5,6
1520986340,17,0
1520987292,7,10
1520988270,11,9
1520989239,14,17
1520990174,13,22
1520991138,16,7
1520992105,16,12
1520993081,10,5
1520994011,7,6
1520994974,19,11
1520995945,13,8
1520996924,28,4
1520997859,9,5
1520998834,22,6
1520999784,7,7
1521000763,34,6
1521001700,13,7
1521002653,15,1
1521003617,13,4
1521004605,19,6
1521005542,19,7
1521006495,17,5
1521007471,12,0
1521008433,16,3
1521009371,19,8
1521010335,7,4
1521011306,22,6
1521012264,9,3
1521013210,37,10
1521014190,17,8
1521015140,22,6
1521016100,7,6
1521017055,22,1
1521018025,23,0
1521018985,9,8
1521019951,16,7
1521020894,10,6
1521021881,21,17
1521023056,15,3
1521024019,29,7
1521024975,9,0
1521025947,12,7
1521026894,3,4
1521027879,19,4
1521028815,18,7
1521029780,17,2
1521030753,12,4
1521032697,6,3
1521033612,0,5
1521034580,54,0
1521035536,12,9
1521036523,13,4
1521037451,16,0
1521038418,17,5
1521039368,25,0
1521040363,19,2
1521041290,18,4
1521042495,26,8
1521043528,28,2
1521044662,8,5
1521045857,20,4
1521046819,25,3
1521047788,8,4
1521048737,11,4
1521049695,16,1
1521050675,11,10
1521051631,10,5
1521052594,17,3
1521053530,6,0
1521054495,18,13
1521055454,20,6
1521056419,19,5
1521057386,15,5
1521058366,21,3
1521059290,15,3
1521060252,19,9
1521061218,9,0
1521062177,17,5
1521063136,18,2
1521064104,8,4
1521065057,12,0
1521066012,6,7
1521066988,10,8
1521067949,15,0
1521068899,19,15
1521069854,12,0
1521070966,11,16
1521072039,14,2
1521072972,21,0
1521073952,17,17
1521075185,12,10
1521076106,17,0
1521077065,8,21
1521078021,23,8
1521078973,12,0
1521079947,20,17
1521080891,5,0
1521081861,38,13
1521082826,27,10
1521083792,21,12
1521084734,15,0
1521085708,22,19
1521086675,18,0
1521087616,14,18
1521088578,15,0
1521089560,17,13
1521090516,14,11
1521091456,15,5
1521092416,22,8
1521093391,9,3
1521094339,24,0
1521095294,17,17
1521096270,20,0
1521097217,16,22
1521098184,17,9
1521099144,17,14
1521100091,22,5
1521101083,28,10
1521102027,17,10
1521102976,21,5
1521103961,17,6
1521104907,13,6
1521105860,9,0
1521106813,15,16
1521107778,4,5
1521108740,35,2
1521109690,3,10
1521110675,16,6
1521111620,19,27
1521112576,16,13
1521113550,20,9
1521114497,25,6
1521115475,12,0
1521116941,24,36
1521118099,22,0
1521119316,18,14
1521120257,10,10
1521121480,36,4
1521122413,12,4
1521123387,14,7
1521124338,15,4
1521125303,16,7
1521126257,16,7
1521127217,14,1
1521128187,15,5
1521129162,15,9
1521130092,13,5
1521131061,3,5
1521132272,25,8
1521133239,23,5
1521134183,16,0
1521135146,15,10
1521136090,16,0
1521137096,6,9
1521138010,22,0
1521138981,27,19
1521139941,14,0
1521140907,25,17
1521141853,7,0
1521142811,20,6
1521143775,12,6
1521144737,13,7
1521145693,4,2
1521146663,16,10
1521147613,7,0
1521148582,20,10
1521149538,9,0
1521150494,23,13
1521151465,17,37
1521152422,7,27
1521153373,18,19
1521154341,8,13
1521155295,27,14
1521157198,30,29
1521158170,14,0
1521159156,21,22
1521160095,1,11
1521161081,14,15
1521162162,21,16
1521163087,22,11
1521164430,32,20
1521165377,7,5
1521166425,23,12
1521167546,18,10
1521168495,25,19
1521169578,27,0
1521170651,10,5
1521171611,39,7
1521172580,14,5
1521173536,27,16
1521174488,8,5
1521175463,26,1
1521176436,13,8
1521177369,14,5
1521178345,15,8
1521179290,17,5
1521180266,14,13
1521181208,24,6
1521182175,18,15
1521183127,15,4
1521184109,29,0
1521185049,18,4
1521186011,10,1
1521186965,22,10
1521187945,20,1
1521188889,19,0
1521189863,18,0
1521190815,18,2
1521191792,20,0
1521192735,16,0
1521193695,11,0
1521194655,17,19
1521195627,14,27
1521196568,12,31
1521197539,11,0
1521198490,15,9
1521199457,14,9
1521200407,27,7
1521201467,10,11
1521202571,13,7
1521203535,8,0
1521204487,6,5
1521205455,10,9
1521206409,15,7
1521207379,17,6
1521208332,16,0
1521209295,26,1
1521210265,8,11
1521211211,19,13
1521212172,11,5
1521213145,22,7
1521214091,20,3
1521215062,22,3
1521216018,25,4
1521216980,13,11
1521217944,11,7
1521218900,15,3
1521219854,16,11
1521220816,16,10
1521221771,16,2
1521222746,15,2
1521223697,13,12
1521224665,13,10
1521225609,19,7
1521226582,16,3
1521227550,17,7
1521228500,10,0
1521229457,19,13
1521230430,24,13
1521231374,21,0
1521232347,14,8
1521233293,21,8
1521234269,15,6
1521235208,14,7
1521236189,20,8
1521237135,18,1
1521238115,17,1
1521239052,7,21
1521240018,24,4
1521242216,44,9
1521243141,10,8
1521244099,10,4
1521245058,10,11
1521246029,15,11
1521246972,13,22
1521247958,12,9
1521248895,15,13
1521249866,4,5
1521250823,10,3
1521251777,7,4
1521252741,17,2
1521253703,7,18
1521254654,17,0
1521255631,14,14
1521256572,9,0
1521257557,13,13
1521258490,7,8
1521259464,8,7
1521260414,11,6
1521261645,12,3
1521262568,4,12
1521263544,19,4
1521264489,4,3
1521265482,21,2
1521266419,10,5
1521267405,20,8
1521268335,8,8
1521269312,10,11
1521270257,11,6
1521271229,11,1
1521272172,8,5
1521273145,8,6
1521274094,16,4
1521275078,13,12
1521276010,13,8
1521276978,1,5
1521277939,14,1
1521278898,2,6
1521279869,14,11
1521280839,5,14
1521281786,28,0
1521282752,8,12
1521283757,11,12
1521284672,3,6
1521285612,17,0
1521286596,15,15
1521287530,7,0
1521288530,19,8
1521289467,5,0
1521290420,11,8
1521291371,9,7
1521292364,13,6
1521293290,2,7
1521294261,26,5
1521295222,11,6
1521296192,20,2
1521297137,6,5
1521298099,8,6
1521299057,15,5
1521300028,16,5
1521300972,20,3
1521301956,11,7
1521302894,19,7
1521303863,7,5
1521304816,30,0
1521305790,4,16
1521306740,19,0
1521307727,9,11
1521308717,27,0
1521309638,16,4
1521310570,10,9
1521311560,17,1
1521312494,7,0
1521313467,12,7
1521314412,7,2
1521315395,10,4
1521316331,14,4
1521317311,14,4
1521318335,10,5
1521319465,16,1
1521320417,8,3
1521321389,7,4
1521322337,22,2
1521323315,11,7
1521324504,17,0
1521325451,10,6
1521326933,24,6
1521327858,17,8
1521328817,24,0
1521329921,20,8
1521330968,3,2
1521331941,16,14
1521332899,7,0
1521333855,23,14
1521334812,10,9
1521335786,2,24
1521336736,11,0
1521337698,13,11
1521338657,1,0
1521339611,17,10
1521340588,15,8
1521341551,8,3
1521342494,7,0
1521343457,9,10
1521344415,8,0
1521345387,2,5
1521346338,17,5
1521347296,3,6
1521348276,14,9
1521349222,14,8
1521350169,6,4
1521351150,1,6
1521352092,19,5
1521353060,11,5
1521354009,6,6
1521354997,12,13
1521355933,6,6
1521356895,23,0
1521357853,5,7
1521358817,7,7
1521359768,1,0
1521360754,13,12
1521361693,5,20
1521362665,10,7
1521363623,9,6
1521364583,12,6
1521365536,0,5
1521366493,20,0
1521367473,11,7
1521368416,7,0
1521369374,8,6
1521370349,11,12
1521371295,16,0
1521372254,10,6
