DateTime,Entries,UniqueIPs
1520878732,12224,12244
1520879784,12219,12239
1520880739,12215,12235
1520881694,12209,12229
1520882669,12196,12216
1520883636,12206,12227
1520884572,12334,12356
1520885544,12413,12436
1520886493,12429,12454
1520888487,12452,12477
1520889611,12474,12499
1520890588,12501,12526
1520891537,12498,12523
1520892510,12508,12533
1520893452,12512,12537
1520894425,12534,12558
1520895389,12542,12566
1520896588,12554,12578
1520897539,12553,12577
1520898511,12565,12590
1520899729,12584,12609
1520900655,12586,12611
1520901613,12581,12607
1520902584,12574,12600
1520903556,12557,12583
1520904492,12557,12583
1520905459,12557,12583
1520906420,12565,12591
1520907382,12566,12592
1520908344,12572,12599
1520909291,12578,12605
1520910278,12574,12601
1520911208,12580,12607
1520912178,12583,12610
1520913131,12580,12607
1520914108,12603,12631
1520915054,12616,12644
1520916017,12636,12664
1520916975,12638,12666
1520917941,12645,12673
1520918898,12641,12669
1520919865,12643,12671
1520920820,12631,12659
1520921775,12657,12685
1520922741,12650,12678
1520923703,12661,12689
1520924662,12661,12688
1520925617,12671,12698
1520926580,12664,12691
1520927560,12663,12690
1520928493,12657,12684
1520929485,12669,12696
1520930436,12677,12704
1520931374,12676,12704
1520932344,12679,12707
1520933292,12667,12695
1520934275,12664,12692
1520935224,12657,12685
1520936196,12661,12689
1520937139,12672,12700
1520938101,12668,12696
1520939068,12674,12702
1520940012,12672,12700
1520940992,12673,12701
1520941955,12668,12696
1520942899,12671,12697
1520943853,12654,12680
1520944818,12657,12683
1520945777,12644,12670
1520946740,12656,12682
1520947690,12637,12663
1520948679,12649,12675
1520949617,12631,12656
1520950586,12634,12659
1520951535,12647,12672
1520952510,12648,12673
1520953463,12662,12687
1520954414,12659,12684
1520955389,12648,12673
1520956331,12662,12687
1520957312,12651,12676
1520958259,12645,12670
1520959212,12663,12688
1520960202,12648,12671
1520961159,12652,12675
1520962094,12662,12685
1520963054,12656,12679
1520964021,12665,12688
1520965550,12633,12656
1520966650,12632,12655
1520967613,12630,12653
1520969887,12638,12661
1520970969,12642,12665
1520971969,12645,12668
1520972891,12633,12656
1520973858,12637,12660
1520974816,12627,12650
1520975778,12619,12642
1520976755,12621,12644
1520977721,12615,12638
1520978664,12611,12634
1520979615,12604,12627
1520980589,12621,12644
1520981556,12610,12633
1520982528,12618,12641
1520983460,12627,12650
1520984416,12621,12644
1520985394,12594,12617
1520986340,12602,12625
1520987292,12609,12632
1520988270,12550,12573
1520989239,12537,12560
1520990174,12550,12573
1520991138,12549,12572
1520992105,12513,12536
1520993081,12502,12525
1520994011,12485,12508
1520994974,12504,12527
1520995945,12472,12495
1520996924,12494,12517
1520997859,12503,12526
1520998834,12476,12499
1520999784,12463,12486
1521000763,12490,12513
1521001700,12487,12510
1521002653,12502,12525
1521003617,12498,12521
1521004605,12488,12511
1521005542,12492,12515
1521006495,12509,12532
1521007471,12492,12515
1521008433,12486,12510
1521009371,12504,12529
1521010335,12503,12528
1521011306,12492,12517
1521012264,12485,12510
1521013210,12522,12547
1521014190,12508,12533
1521015140,12530,12555
1521016100,12507,12532
1521017055,12510,12535
1521018025,12533,12558
1521018985,12508,12533
1521019951,12505,12530
1521020894,12515,12540
1521021881,12517,12542
1521023056,12513,12538
1521024019,12519,12544
1521024975,12500,12525
1521025947,12509,12534
1521026894,12487,12512
1521027879,12490,12515
1521028815,12508,12533
1521029780,12512,12537
1521030753,12490,12515
1521032697,12460,12485
1521034580,12497,12522
1521035536,12499,12524
1521036523,12479,12504
1521037451,12495,12520
1521038418,12485,12510
1521039368,12509,12535
1521040363,12499,12525
1521041290,12517,12543
1521042495,12483,12509
1521043528,12490,12516
1521044662,12471,12497
1521045857,12469,12495
1521046819,12480,12506
1521047788,12465,12491
1521048737,12431,12457
1521049695,12447,12473
1521050675,12407,12433
1521051631,12378,12404
1521052594,12372,12398
1521053530,12378,12404
1521054495,12324,12350
1521055454,12316,12341
1521056419,12229,12254
1521057386,12199,12224
1521058366,12208,12233
1521059290,12223,12248
1521060252,12189,12214
1521061218,12148,12173
1521062177,12087,12111
1521063136,12105,12129
1521064104,12067,12091
1521065057,12028,12052
1521066012,12011,12035
1521066988,11968,11991
1521067949,11971,11994
1521068899,11948,11971
1521069854,11953,11976
1521070966,11907,11930
1521072039,11894,11917
1521072972,11868,11891
1521073952,11832,11855
1521075185,11771,11793
1521076106,11788,11810
1521077065,11776,11798
1521078021,11756,11778
1521078973,11761,11783
1521079947,11745,11767
1521080891,11724,11746
1521081861,11731,11753
1521082826,11740,11762
1521083792,11746,11768
1521084734,11739,11761
1521085708,11746,11768
1521086675,11749,11771
1521087616,11755,11777
1521088578,11751,11773
1521089560,11750,11772
1521090516,11745,11767
1521091456,11746,11768
1521092416,11757,11779
1521093391,11753,11775
1521094339,11766,11788
1521095294,11767,11789
1521096270,11774,11796
1521097217,11774,11796
1521098184,11781,11803
1521099144,11773,11795
1521100091,11780,11802
1521101083,11787,11809
1521102027,11804,11826
1521102976,11798,11820
1521103961,11803,11825
1521104907,11791,11813
1521105860,11793,11815
1521106813,11774,11796
1521107778,11749,11771
1521108740,11766,11788
1521109690,11769,11791
1521110675,11766,11788
1521111620,11769,11791
1521112576,11767,11789
1521113550,11767,11789
1521114497,11782,11805
1521115475,11771,11794
1521116941,11755,11778
1521118099,11765,11788
1521119316,11730,11753
1521120257,11740,11763
1521121480,11732,11755
1521122413,11722,11745
1521123387,11727,11750
1521124338,11718,11741
1521125303,11722,11745
1521126257,11704,11727
1521127217,11699,11722
1521128187,11692,11715
1521129162,11681,11704
1521130092,11689,11713
1521131061,11662,11686
1521132272,11679,11703
1521133239,11677,11701
1521134183,11690,11714
1521135146,11682,11706
1521136090,11685,11709
1521137096,11657,11681
1521138010,11672,11696
1521138981,11699,11723
1521139941,11687,11711
1521140907,11700,11724
1521141853,11707,11731
1521142811,11691,11714
1521143775,11702,11726
1521144737,11695,11719
1521145693,11699,11723
1521146663,11677,11701
1521147613,11684,11708
1521148582,11670,11694
1521149538,11679,11703
1521150494,11686,11710
1521151465,11671,11695
1521152422,11669,11693
1521153373,11666,11690
1521154341,11663,11687
1521155295,11665,11689
1521157198,11667,11691
1521158170,11665,11689
1521159156,11665,11689
1521160095,11639,11663
1521161081,11625,11649
1521162162,11622,11646
1521163087,11619,11643
1521164430,11600,11624
1521165377,11579,11603
1521166425,11589,11613
1521167546,11583,11607
1521168495,11601,11625
1521169578,11593,11616
1521170651,11600,11623
1521171611,11613,11636
1521172580,11616,11639
1521173536,11596,11618
1521174488,11574,11596
1521175463,11575,11597
1521176436,11558,11580
1521177369,11559,11581
1521178345,11549,11571
1521179290,11545,11568
1521180266,11538,11561
1521181208,11557,11580
1521182175,11551,11574
1521183127,11551,11574
1521184109,11557,11580
1521185049,11564,11587
1521186011,11551,11574
1521186965,11555,11578
1521187945,11555,11577
1521188889,11554,11575
1521189863,11557,11578
1521190815,11549,11570
1521191792,11542,11563
1521192735,11522,11543
1521193695,11526,11547
1521194655,11520,11541
1521195627,11528,11549
1521196568,11512,11533
1521197539,11521,11542
1521198490,11501,11522
1521199457,11510,11531
1521200407,11496,11517
1521201467,11506,11527
1521202571,11485,11506
1521203535,11470,11491
1521204487,11476,11497
1521205455,11481,11502
1521206409,11464,11485
1521207379,11452,11473
1521208332,11445,11465
1521209295,11429,11449
1521210265,11428,11448
1521211211,11422,11442
1521212172,11429,11449
1521213145,11414,11434
1521214091,11416,11436
1521215062,11423,11443
1521216018,11425,11445
1521216980,11417,11437
1521217944,11403,11423
1521218900,11407,11427
1521219854,11408,11428
1521220816,11417,11437
1521221771,11409,11429
1521222746,11414,11434
1521223697,11397,11417
1521224665,11393,11413
1521225609,11389,11409
1521226582,11374,11394
1521227550,11373,11393
1521228500,11378,11398
1521229457,11364,11384
1521230430,11363,11383
1521231374,11361,11381
1521232347,11355,11375
1521233293,11369,11389
1521234269,11367,11387
1521235208,11367,11387
1521236189,11368,11388
1521237135,11379,11399
1521238115,11361,11381
1521239052,11361,11380
1521240018,11347,11366
1521242216,11341,11360
1521243141,11351,11370
1521244099,11347,11366
1521245058,11326,11345
1521246029,11321,11340
1521246972,11288,11307
1521247958,11283,11302
1521248895,11237,11256
1521249866,11232,11251
1521250823,11189,11208
1521251777,11162,11181
1521252741,11166,11185
1521253703,11155,11174
1521254654,11163,11182
1521255631,11150,11169
1521256572,11157,11176
1521257557,11140,11159
1521258490,11134,11153
1521259464,11127,11146
1521260414,11136,11155
1521261645,11124,11143
1521262568,11113,11132
1521263544,11112,11131
1521264489,11109,11128
1521265482,11110,11129
1521266419,11095,11114
1521267405,11109,11128
1521268335,11101,11120
1521269312,11108,11127
1521270257,11102,11122
1521271229,11099,11119
1521272172,11086,11106
1521273145,11091,11111
1521274094,11087,11107
1521275078,11090,11111
1521276010,11089,11110
1521276978,11077,11098
1521277939,11076,11098
1521278898,11056,11078
1521279869,11058,11081
1521280839,11051,11074
1521281786,11068,11091
1521282752,11048,11071
1521283757,11051,11074
1521284672,11034,11057
1521285612,11043,11066
1521286596,11043,11066
1521287530,11037,11060
1521288530,11035,11058
1521289467,11037,11060
1521290420,11021,11044
1521291371,11013,11036
1521292364,11014,11037
1521293290,11000,11023
1521294261,11018,11041
1521295222,11007,11030
1521296192,11017,11040
1521297137,10996,11019
1521298099,10993,11016
1521299057,10984,11007
1521300028,10999,11022
1521300972,10993,11016
1521301956,10993,11016
1521302894,10997,11020
1521303863,10984,11007
1521304816,10997,11020
1521305790,10979,11002
1521306740,10990,11013
1521307727,10984,11007
1521308717,11000,11023
1521309638,10988,11011
1521310570,10988,11011
1521311560,10985,11008
1521312494,10967,10990
1521313467,10973,10996
1521314412,10965,10988
1521315395,10955,10978
1521316331,10958,10981
1521317311,10960,10983
1521318335,10960,10983
1521319465,10965,10988
1521320417,10955,10978
1521321389,10950,10973
1521322337,10952,10975
1521323315,10945,10968
1521324504,10943,10966
1521325451,10941,10964
1521326933,10947,10970
1521327858,10964,10987
1521328817,10937,10960
1521329921,10957,10980
1521330968,10929,10952
1521331941,10945,10968
1521332899,10913,10936
1521333855,10936,10959
1521334812,10936,10959
1521335786,10891,10914
1521336736,10902,10925
1521337698,10869,10892
1521338657,10838,10861
1521339611,10842,10865
1521340588,10841,10864
1521341551,10845,10868
1521342494,10836,10859
1521343457,10837,10860
1521344415,10829,10852
1521345387,10818,10841
1521346338,10822,10845
1521347296,10817,10840
1521348276,10820,10843
1521349222,10825,10848
1521350169,10823,10846
1521351150,10811,10834
1521352092,10816,10839
1521353060,10804,10827
1521354009,10801,10824
1521354997,10798,10820
1521355933,10794,10816
1521356895,10797,10818
1521357853,10787,10808
1521358817,10781,10802
1521359768,10763,10784
1521360754,10757,10778
1521361693,10746,10767
1521362665,10748,10769
1521363623,10738,10759
1521364583,10668,10688
1521366493,10688,10708
1521367473,10699,10719
1521368416,10691,10711
1521369374,10682,10702
1521370349,10679,10699
1521371295,10687,10707
1521372254,10682,10702
