DateTime,AddedIPs,RemovedIPs
1520879784,1,13
1520880739,0,8
1520881694,0,17
1520882669,0,4
1520883636,16,14
1520884572,135,4
1520885544,85,26
1520886493,31,7
1520888487,47,33
1520889611,22,10
1520890588,33,19
1520891537,7,17
1520892510,21,23
1520893452,10,14
1520894425,33,23
1520895389,10,8
1520896588,33,18
1520897539,15,12
1520898511,18,10
1520899729,35,33
1520900655,7,9
1520901613,25,22
1520902584,4,11
1520903556,21,34
1520904492,19,28
1520905459,14,38
1520906420,23,8
1520907382,16,39
1520908344,21,8
1520909291,16,33
1520910278,12,19
1520911208,15,16
1520912178,33,9
1520913131,15,17
1520914108,37,25
1520915054,20,9
1520916017,31,18
1520916975,12,14
1520917941,18,21
1520918898,8,1
1520919865,11,0
1520920820,2,0
1520921775,36,0
1520922741,10,0
1520923703,19,0
1520924662,15,40
1520925617,15,56
1520926580,14,36
1520927560,9,0
1520928493,14,0
1520929485,20,68
1520930436,19,15
1520931374,16,20
1520932344,13,7
1520933292,7,16
1520934275,6,6
1520935224,2,23
1520936196,16,21
1520937139,26,19
1520938101,12,16
1520939068,13,13
1520940012,5,15
1520940992,11,17
1520941955,10,7
1520942899,19,18
1520943853,10,12
1520944818,13,13
1520945777,6,8
1520946740,26,13
1520947690,3,12
1520948679,22,10
1520949617,17,13
1520950586,21,17
1520951535,13,13
1520952510,20,5
1520953463,14,15
1520954414,15,10
1520955389,21,27
1520956331,14,13
1520957312,16,19
1520958259,22,20
1520959212,18,9
1520960202,10,7
1520961159,20,49
1520962094,10,18
1520963054,14,24
1520964021,21,1
1520965550,19,0
1520966650,9,1
1520967613,16,0
1520969887,29,3
1520970969,29,157
1520971969,14,71
1520972891,12,32
1520973858,11,24
1520974816,10,23
1520975778,14,11
1520976755,17,27
1520977721,10,10
1520978664,6,12
1520979615,14,19
1520980589,17,23
1520981556,9,8
1520982528,14,10
1520983460,9,9
1520984416,18,16
1520985394,5,12
1520986340,17,42
1520987292,7,15
1520988270,11,19
1520989239,14,42
1520990174,13,20
1520991138,16,27
1520992105,16,29
1520993081,10,29
1520994011,7,17
1520994974,19,31
1520995945,13,12
1520996924,28,19
1520997859,9,6
1520998834,22,23
1520999784,7,11
1521000763,34,26
1521001700,13,11
1521002653,15,10
1521003617,13,10
1521004605,19,18
1521005542,19,13
1521006495,17,13
1521007471,12,3
1521008433,16,16
1521009371,19,22
1521010335,7,8
1521011306,22,19
1521012264,9,7
1521013210,37,17
1521014190,17,9
1521015140,22,12
1521016100,7,7
1521017055,22,13
1521018025,23,11
1521018985,9,7
1521019951,16,13
1521020894,10,14
1521021881,21,0
1521023056,15,33
1521024019,29,13
1521024975,9,11
1521025947,12,9
1521026894,3,5
1521027879,19,15
1521028815,18,7
1521029780,17,18
1521030753,12,18
1521032697,6,27
1521033612,0,10
1521034580,54,22
1521035536,12,10
1521036523,13,17
1521037451,16,8
1521038418,17,13
1521039368,25,20
1521040363,19,22
1521041290,18,12
1521042495,26,23
1521043528,28,23
1521044662,8,9
1521045857,20,25
1521046819,25,19
1521047788,8,13
1521048737,11,14
1521049695,16,16
1521050675,11,16
1521051631,10,13
1521052594,17,14
1521053530,6,4
1521054495,18,24
1521055454,20,13
1521056419,19,16
1521057386,15,9
1521058366,21,17
1521059290,15,6
1521060252,19,18
1521061218,9,9
1521062177,17,10
1521063136,18,14
1521064104,8,12
1521065057,12,8
1521066012,6,16
1521066988,10,19
1521067949,15,5
1521068899,19,15
1521069854,12,4
1521070966,11,22
1521072039,14,10
1521072972,21,25
1521073952,17,18
1521075185,12,18
1521076106,17,28
1521077065,8,24
1521078021,23,41
1521078973,12,9
1521079947,20,13
1521080891,5,7
1521081861,38,29
1521082826,27,12
1521083792,21,23
1521084734,15,15
1521085708,22,9
1521086675,18,10
1521087616,14,18
1521088578,15,24
1521089560,17,12
1521090516,14,18
1521091456,15,11
1521092416,22,28
1521093391,9,5
1521094339,24,20
1521095294,17,9
1521096270,20,23
1521097217,16,18
1521098184,17,10
1521099144,17,22
1521100091,22,14
1521101083,28,18
1521102027,17,7
1521102976,21,17
1521103961,17,8
1521104907,13,12
1521105860,9,16
1521106813,15,20
1521107778,4,7
1521108740,35,15
1521109690,3,14
1521110675,16,19
1521111620,19,15
1521112576,16,14
1521113550,20,27
1521114497,25,23
1521115475,12,19
1521116941,24,26
1521118099,22,14
1521119316,18,0
1521120257,10,0
1521121480,36,51
1521122413,12,18
1521123387,14,13
1521124338,15,22
