DateTime,Entries,UniqueIPs
1520879784,1178,1178
1520880739,1170,1170
1520881694,1153,1153
1520882669,1149,1149
1520883636,1151,1151
1520884572,1282,1282
1520885544,1341,1341
1520886493,1365,1365
1520888487,1379,1379
1520889611,1391,1391
1520890588,1405,1405
1520891537,1395,1395
1520892510,1393,1393
1520893452,1389,1389
1520894425,1399,1399
1520895389,1401,1401
1520896588,1416,1416
1520897539,1419,1419
1520898511,1427,1427
1520899729,1429,1429
1520900655,1427,1427
1520901613,1430,1430
1520902584,1423,1423
1520903556,1410,1410
1520904492,1401,1401
1520905459,1377,1377
1520906420,1392,1392
1520907382,1369,1369
1520908344,1382,1382
1520909291,1365,1365
1520910278,1358,1358
1520911208,1357,1357
1520912178,1381,1381
1520913131,1379,1379
1520914108,1391,1391
1520915054,1402,1402
1520916017,1415,1415
1520916975,1413,1413
1520917941,1410,1410
1520918898,1417,1417
1520919865,1428,1428
1520920820,1430,1430
1520921775,1466,1466
1520922741,1476,1476
1520923703,1495,1495
1520924662,1470,1470
1520925617,1429,1429
1520926580,1407,1407
1520927560,1416,1416
1520928493,1430,1430
1520929485,1382,1382
1520930436,1386,1386
1520931374,1382,1382
1520932344,1388,1388
1520933292,1379,1379
1520934275,1379,1379
1520935224,1358,1358
1520936196,1353,1353
1520937139,1360,1360
1520938101,1356,1356
1520939068,1356,1356
1520940012,1346,1346
1520940992,1340,1340
1520941955,1343,1343
1520942899,1344,1344
1520943853,1342,1342
1520944818,1342,1342
1520945777,1340,1340
1520946740,1353,1353
1520947690,1344,1344
1520948679,1356,1356
1520949617,1360,1360
1520950586,1364,1364
1520951535,1364,1364
1520952510,1379,1379
1520953463,1378,1378
1520954414,1383,1383
1520955389,1377,1377
1520956331,1378,1378
1520957312,1375,1375
1520958259,1377,1377
1520959212,1386,1386
1520960202,1389,1389
1520961159,1360,1360
1520962094,1352,1352
1520963054,1342,1342
1520964021,1362,1362
1520965550,1381,1381
1520966650,1389,1389
1520967613,1405,1405
1520969887,1431,1431
1520970969,1303,1303
1520971969,1246,1246
1520972891,1226,1226
1520973858,1213,1213
1520974816,1200,1200
1520975778,1203,1203
1520976755,1193,1193
1520977721,1193,1193
1520978664,1187,1187
1520979615,1182,1182
1520980589,1176,1176
1520981556,1177,1177
1520982528,1181,1181
1520983460,1181,1181
1520984416,1183,1183
1520985394,1176,1176
1520986340,1151,1151
1520987292,1143,1143
1520988270,1135,1135
1520989239,1107,1107
1520990174,1100,1100
1520991138,1089,1089
1520992105,1076,1076
1520993081,1057,1057
1520994011,1047,1047
1520994974,1035,1035
