DateTime,AddedIPs,RemovedIPs
1520880742,52,57
1520881696,100,34
1520882671,79,76
1520883639,127,56
1520884574,89,69
1520885546,696,18
1520886495,408,82
1520888489,64,208
1520889613,9,0
1520890590,6,54
1520891539,12,58
1520892512,123,1303
1520893454,8,70
1520894427,25,72
1520895391,189,80
1520896590,238,40
1520897541,78,92
1520898514,78,25
1520899731,94,98
1520900656,42,61
1520901615,90,60
1520902586,64,72
1520903558,98,79
1520904494,43,82
1520905461,101,66
1520906422,80,70
1520907384,75,36
1520908347,82,74
1520909293,75,49
1520910280,69,63
1520911210,56,37
1520912180,58,67
1520913134,50,35
1520914110,94,83
1520915056,42,39
1520916019,81,78
1520916977,34,20
1520917943,130,62
1520918900,62,28
1520919867,67,58
1520920822,86,58
1520921777,107,37
1520922744,63,60
1520923705,85,43
1520924664,125,64
1520925619,57,42
1520926582,65,98
1520927562,64,45
1520928495,83,86
1520929487,48,48
1520930438,110,85
1520931376,64,80
1520932346,81,75
1520933294,37,68
1520934277,69,49
1520935226,45,49
1520936198,99,51
1520937141,79,70
1520938103,84,94
1520939070,94,60
1520940014,52,54
1520940994,53,59
1520941957,67,46
1520942900,63,55
1520943855,79,79
1520944820,69,58
1520945779,30,106
1520946742,5,28
1520947692,153,75
1520948681,65,87
1520949619,67,61
1520950588,81,55
1520951538,52,0
1520952512,56,126
1520953465,75,0
1520954416,48,38
1520955391,70,111
1520956333,55,0
1520957313,112,138
1520958261,41,60
1520959215,101,0
1520960204,46,136
1520961161,109,36
1520962096,70,0
1520963056,49,85
1520964023,88,62
1520965552,137,101
1520966652,85,40
1520967615,83,86
1520969889,165,122
1520970971,64,117
1520971971,68,28
1520972893,64,84
1520973861,76,36
1520974818,55,94
1520975780,316,62
1520976757,605,47
1520977723,142,1280
1520978666,189,44
1520979617,51,67
1520980591,65,0
1520981558,52,150
1520982529,111,25
1520983462,64,0
1520984418,73,76
1520985396,53,119
1520986343,118,31
1520987294,38,0
1520988272,105,167
1520989241,91,59
1520990176,72,0
1520991140,64,47
1520992107,94,163
1520993083,76,46
1520994013,45,53
1520994977,56,0
