DateTime,Entries,UniqueIPs
1520880742,81364,93270
1520881696,81415,93336
1520882671,81434,93339
1520883639,81496,93410
1520884574,81518,93430
1520885546,82139,94108
1520886495,82461,94434
1520888489,82332,94290
1520889613,82340,94299
1520890590,82306,94251
1520891539,82265,94205
1520892512,81104,93025
1520893454,81066,92963
1520894427,81035,92916
1520895391,81131,93025
1520896590,81289,93223
1520897541,81287,93209
1520898514,81332,93262
1520899731,81319,93258
1520900656,81303,93239
1520901615,81325,93269
1520902586,81323,93261
1520903558,81350,93280
1520904494,81318,93241
1520905461,81342,93276
1520906422,81350,93286
1520907384,81375,93325
1520908347,81389,93333
1520909293,81416,93359
1520910280,81427,93365
1520911210,81443,93384
1520912180,81435,93375
1520913134,81446,93390
1520914110,81453,93401
1520915056,81451,93404
1520916019,81458,93407
1520916977,81480,93421
1520917943,81526,93489
1520918900,81553,93523
1520919867,81562,93532
1520920822,81565,93560
1520921777,81617,93630
1520922744,81622,93633
1520923705,81659,93675
1520924664,81685,93736
1520925619,81703,93751
1520926582,81698,93718
1520927562,81713,93737
1520928495,81707,93734
1520929487,81705,93734
1520930438,81762,93759
1520931376,81756,93743
1520932346,81753,93749
1520933294,81726,93718
1520934277,81753,93738
1520935226,81741,93734
1520936198,81781,93782
1520937141,81796,93791
1520938103,81806,93781
1520939070,81833,93815
1520940014,81838,93813
1520940994,81843,93807
1520941957,81869,93828
1520942900,81877,93836
1520943855,81876,93836
1520944820,81888,93847
1520945779,81848,93771
1520946742,81829,93748
1520947692,81879,93826
1520948681,81880,93804
1520949619,81885,93810
1520950588,81904,93836
1520951538,81953,93888
1520952512,81893,93818
1520953465,81950,93893
1520954416,81959,93903
1520955391,81930,93862
1520956333,81979,93917
1520957313,81954,93891
1520958261,81942,93872
1520959215,82021,93973
1520960204,81941,93883
1520961161,82005,93956
1520962096,82060,94026
1520963056,82033,93990
1520964023,82031,94016
1520965552,82053,94052
1520966652,82100,94097
1520967615,82108,94094
1520969889,82152,94137
1520970971,82122,94084
1520971971,82142,94124
1520972893,82146,94104
1520973861,82183,94144
1520974818,82156,94105
1520975780,82406,94359
1520976757,82949,94917
1520977723,81848,93779
1520978666,81952,93924
1520979617,81934,93908
1520980591,81990,93973
1520981558,81912,93875
1520982529,81973,93961
1520983462,82022,94025
1520984418,82010,94022
1520985396,81971,93956
1520986343,82048,94043
1520987294,82082,94081
1520988272,82053,94019
1520989241,82060,94051
1520990176,82110,94123
