DateTime,AddedIPs,RemovedIPs
1520880742,476,476
1520881696,1020,1020
1520882671,786,786
1520883639,1058,1058
1520884574,957,957
1520885546,1428,1428
1520886495,638,638
1520888489,501,501
1520889613,127,127
1520890590,105,105
1520891539,113,113
1520892512,1072,1072
1520893454,78,78
1520894427,247,247
1520895391,1574,1574
1520896590,2000,2000
1520897541,660,660
1520898514,766,766
1520899731,832,832
1520900656,365,365
1520901615,796,796
1520902586,375,375
1520903558,876,876
1520904494,450,450
1520905461,796,796
1520906422,634,634
1520907384,705,705
1520908347,659,659
1520909293,567,567
1520910280,724,724
1520911210,473,473
1520912180,663,663
1520913134,479,479
1520914110,799,799
1520915056,421,421
1520916019,806,806
1520916977,313,313
1520917943,938,938
1520918900,578,578
1520919867,622,622
1520920822,770,770
1520921777,686,686
1520922744,534,534
1520923705,818,818
1520924664,891,891
1520925619,539,539
1520926582,689,689
1520927562,663,663
1520928495,764,764
1520929487,472,472
1520930438,872,872
1520931376,480,480
1520932346,787,787
1520933294,503,503
1520934277,726,726
1520935226,518,518
1520936198,816,816
1520937141,696,696
1520938103,594,594
1520939070,684,684
1520940014,462,462
1520940994,636,636
1520941957,680,680
1520942900,608,608
1520943855,574,574
1520944820,717,717
1520945779,320,320
1520946742,97,97
1520947692,1308,1308
1520948681,673,673
1520949619,620,620
1520950588,709,709
1520951538,598,598
1520952512,571,571
1520953465,722,722
1520954416,479,479
1520955391,699,699
1520956333,511,511
1520957313,844,844
1520958261,446,446
1520959215,793,793
1520960204,364,364
1520961161,889,889
1520962096,668,668
1520963056,562,562
1520964023,741,741
1520965552,1072,1072
1520966652,847,847
1520967615,688,688
1520969889,1447,1447
1520970971,656,656
1520971971,686,686
1520972893,663,663
1520973861,743,743
1520974818,608,608
1520975780,683,683
1520976757,605,605
1520977723,523,523
1520978666,1762,1762
1520979617,462,462
1520980591,761,761
1520981558,484,484
1520982529,919,919
1520983462,578,578
1520984418,660,660
1520985396,442,442
1520986343,1096,1096
1520987294,387,387
1520988272,944,944
1520989241,765,765
1520990176,515,515
1520991140,688,688
1520992107,843,843
1520993083,813,813
1520994013,477,477
1520994977,808,808
1520995947,542,542
1520996926,878,878
1520997862,518,518
1520998837,784,784
1520999787,311,311
1521000765,993,993
1521001702,351,351
1521002655,860,860
1521003619,606,606
1521004607,782,782
1521005544,603,603
1521006498,592,592
1521007473,761,761
1521008435,513,513
1521009374,842,842
1521010338,519,519
1521011308,835,835
1521012266,594,594
1521013212,715,715
1521014192,622,622
1521015142,882,882
1521016102,505,505
1521017058,777,777
1521018027,733,733
1521018987,537,537
1521019953,229,229
1521020896,818,818
1521021884,777,777
1521023058,670,670
1521024021,568,568
1521024977,626,626
1521025950,766,766
1521026896,544,544
1521027881,740,740
1521028817,571,571
1521029782,564,564
1521030756,644,644
1521032699,1196,1196
1521033614,431,431
1521034582,974,974
1521035539,726,726
1521036525,610,610
1521037453,412,412
1521038420,688,688
1521039370,706,706
1521040365,609,609
1521041292,686,686
1521042497,670,670
1521043530,144,144
1521044664,151,151
1521045859,1930,1930
1521046822,578,578
1521047790,573,573
1521048740,627,627
1521049697,539,539
1521050678,726,726
1521051634,632,632
1521052596,593,593
1521053532,417,417
1521054497,851,851
1521055456,610,610
1521056421,790,790
1521057388,672,672
1521058369,600,600
1521059292,651,651
1521060255,654,654
1521061220,573,573
1521062179,529,529
1521063138,559,559
1521064106,438,438
1521065059,1677,1677
1521066014,480,480
1521066990,716,716
1521067951,478,478
1521068902,831,831
1521069856,398,398
1521070968,930,930
1521072041,663,663
1521072974,548,548
1521073955,613,613
1521075187,669,669
1521076108,690,690
1521077067,441,441
1521078023,838,838
1521078975,370,370
