DateTime,AddedIPs,RemovedIPs
1521059763,75,0
1521060121,3,5
1521060722,0,1
1521061384,5,2
1521061437,25,4
1521062521,9,10
1521063121,3,0
1521063603,65,23
1521063722,5,4
1521064322,1,0
1521064984,4,1
1521065525,0,144
1521066122,5,14
1521067444,73,7
1521068524,5,4
1521069121,4,0
1521069721,6,0
1521071528,55,176
1521072184,4,4
1521072721,0,4
1521073322,2,21
1521074522,11,15
1521075122,2,3
1521075721,5,0
1521075724,0,1
1521076321,7,6
1521076922,1,3
1521077533,148,1
1521078122,1,0
1521078721,5,1
1521079443,6,156
1521079834,0,1
1521080521,13,49
1521081362,55,0
1521081721,9,7
1521083283,24,63
1521083521,9,18
1521084122,5,3
1521085204,84,0
1521085321,4,11
1521085922,13,0
1521086584,2,2
1521087124,3,114
1521087721,2,5
1521089043,94,4
1521089522,1,0
1521090186,6,6
1521090721,35,3
1521091322,17,4
1521091921,1,6
1521092522,8,18
1521092883,104,177
1521093122,3,1
1521093784,3,5
1521094922,3,9
1521095522,13,0
1521096121,8,1
1521096723,94,0
1521097385,20,4
1521097921,3,2
1521098644,82,52
1521099121,2,2
1521099722,4,19
1521100986,20,29
1521101522,11,0
1521102487,10,70
1521102721,3,0
1521103321,4,6
1521103921,16,0
1521104412,59,0
1521104521,10,4
1521104585,0,1
1521105122,7,3
1521105721,13,0
1521106323,71,15
1521106922,16,10
1521107521,10,1
1521107652,5,5
1521108184,21,18
1521108721,3,0
1521109445,12,95
1521110162,49,0
1521110521,11,15
1521111784,5,4
1521112922,0,8
1521113284,0,51
1521114004,70,0
1521114122,14,2
1521115386,12,9
1521116521,8,5
1521117604,49,49
1521117721,22,0
1521118322,2,0
1521118809,0,68
1521118986,2,8
1521119522,4,5
1521120121,7,5
1521120724,77,1
1521121321,20,10
1521121922,3,0
1521122883,63,22
1521123122,6,0
1521123722,11,0
1521124321,5,3
1521124922,0,5
1521125763,4,107
1521126186,5,2
1521126724,83,8
1521127321,10,3
1521128521,10,15
1521129721,5,2
1521129785,0,1
1521130562,70,12
1521130921,3,22
1521131524,10,98
1521132122,8,24
1521132721,10,0
1521133385,10,2
1521133921,1,0
1521134645,71,8
1521135121,4,1
1521135722,6,7
1521136321,11,0
1521136563,0,65
1521136986,9,3
1521137522,7,4
1521138482,74,0
1521138722,3,8
1521139442,12,65
1521140411,83,0
1521140585,3,0
1521141121,2,24
1521141721,2,0
1521142323,76,20
1521142922,10,3
1521143283,0,117
1521143521,9,0
1521144187,10,5
1521145321,4,29
1521145921,7,3
1521146163,63,0
1521146521,8,6
1521148083,61,30
1521148322,6,1
1521149044,26,79
1521149522,4,1
1521149581,0,1
1521150121,3,25
1521150721,9,3
1521151385,14,5
1521152521,9,3
1521153843,60,19
1521154322,3,17
1521154818,0,135
1521154921,3,4
1521155522,2,1
1521156727,148,5
1521157922,19,5
1521158642,51,124
1521159122,7,12
1521159721,16,0
1521160570,99,94
1521160921,3,0
1521161522,4,0
1521162121,2,8
1521162187,0,2
1521162722,8,0
1521163322,11,0
1521164405,63,71
1521164522,12,2
1521165121,11,0
1521165786,13,8
1521166324,45,8
1521167521,0,3
1521168121,3,4
1521168484,0,104
1521169385,11,3
1521169922,18,0
1521170521,3,1
1521171122,11,9
1521171721,15,0
1521172925,2,16
1521174244,154,4
1521174722,2,6
1521175321,8,3
1521175922,1,3
1521176418,0,187
1521176525,2,29
1521177034,2,0
1521177721,4,0
1521178324,96,0
1521178922,14,1
1521179521,0,10
1521180185,6,39
1521181322,1,7
1521182165,267,105
1521182521,26,4
1521183122,6,0
1521184083,63,113
1521184322,4,4
