DateTime,Entries,UniqueIPs
1520464793,25557,52266
1520468138,25560,52269
1520469527,25560,52524
1520470800,25526,52474
1520471994,25527,52475
1520472421,25542,52502
1520478019,25591,52563
1520478919,25589,52561
1520479198,25592,52564
1520483221,25620,52579
1520485200,25592,52553
1520486396,25598,52559
1520490135,25599,52560
1520490762,25597,52558
1520492400,25603,52564
1520493594,25607,52568
1520494211,25620,52590
1520499604,25591,52561
1520500797,25594,52564
1520501201,25591,52561
1520505012,25542,52505
1520505985,25540,52516
1520507998,25546,52522
1520508259,25553,52530
1520512308,25552,52529
1520515244,25561,52538
1520515813,25536,52508
1520519316,25537,52509
1520522400,25541,52513
1520523524,25542,52514
1520526710,25520,52497
1520529600,25527,52504
1520530333,25522,52754
1520532927,25519,51986
1520533936,25516,51983
1520534626,25516,51983
1520536800,25523,51990
1520537221,25504,51969
1520542198,25481,51946
1520543997,25485,51950
1520544000,25484,51948
1520545583,25482,51946
1520548021,25484,51933
1520551197,25486,51935
1520551200,25485,51934
1520551934,25488,51937
1520554800,25430,51865
1520555412,25429,51609
1520556019,25429,51609
1520556475,25421,51601
1520558399,25422,51602
1520558821,25393,51594
1520562000,25598,51809
1520565598,25599,51810
1520567400,25594,51805
1520569200,25426,51641
1520569621,25459,51663
1520572800,25466,51670
1520576399,25468,51672
1520576400,25473,51677
1520577121,25472,51676
1520578474,25470,51674
1520580001,25475,51679
1520580421,25476,51680
1520583600,25482,51686
1520585308,25482,51686
1520585399,25442,51646
1520587195,25446,51650
1520589746,25437,51641
1520590590,25438,51642
1520590800,25440,51644
1520591221,25412,51617
1520592602,25417,51601
1520594403,25422,51606
1520595613,25426,51610
1520598006,25429,51613
1520600712,25426,51610
1520601603,25430,51614
1520602021,25430,51616
1520606019,25434,51621
1520608795,25436,51623
1520611909,25436,51623
1520612400,25438,51625
1520613087,25430,51618
1520614831,25431,51618
1520616003,25435,51622
1520616613,25437,51369
1520619600,25436,51370
1520622947,25437,51371
1520623204,25436,51382
1520623813,25401,51338
1520626800,25401,51338
1520628610,25368,51304
1520630409,25373,51309
1520634018,25370,51306
1520635808,25364,51298
1520636714,25366,51300
1520637610,25368,51302
1520639383,25369,51303
1520641211,25316,51235
1520643685,25317,51236
1520644799,25318,51237
1520645483,25358,51277
1520645697,25360,51279
1520649012,25740,51659
1520649305,25742,51661
1520652000,25745,51665
1520654760,25739,51659
1520655610,25403,51325
1520656021,25411,51328
1520659219,25415,51332
1520662800,25419,51348
1520663417,25417,51346
1520665324,25416,51345
1520666410,25418,51347
1520667079,25457,51386
1520669095,25458,51387
1520670000,25466,51395
1520671801,25427,51356
1520673856,25429,51358
1520676294,25435,51364
1520677200,25437,51366
1520677811,25424,51356
1520677838,25414,51355
1520680797,25417,51358
1520684400,25416,51357
1520687469,25410,51351
1520688510,25414,51355
1520688903,25430,51371
1520696107,25429,51625
1520698523,25426,51622
1520698800,25428,51624
1520699412,25429,51372
1520702409,25435,51378
1520703628,25433,51376
1520706687,25437,51381
1520709341,25441,51385
1520709618,25448,51392
1520710212,25457,51401
1520713200,25458,51402
1520715021,25435,51378
1520715909,25436,51379
1520717716,25441,51384
1520720166,25442,51385
1520720417,25442,51385
1520721011,25440,51379
1520724018,25444,51383
1520725813,25445,51384
1520729409,25446,51385
1520730312,25447,51386
1520731328,25384,51308
1520731848,25344,51269
1520733913,25345,51270
1520738409,25582,51511
1520742241,25580,51509
1520742421,25596,51522
1520745614,25399,51321
1520749218,25402,51324
1520752808,25411,51333
1520753171,25409,51331
1520753221,25413,51339
1520756407,25417,51343
1520758219,25385,51311
1520760008,25390,51316
1520763608,25393,51319
1520763880,25401,51327
1520764021,25383,51309
1520765108,25338,51231
1520767889,25341,51234
1520770817,25345,51238
1520773506,25347,51240
1520774404,25348,51241
1520774696,25344,51238
1520774821,25356,51249
1520776822,25358,51252
1520778628,25357,51506
1520778908,25360,51509
1520782617,25361,51510
1520783401,25362,51511
1520785208,25365,51514
1520785623,25367,51516
1520785922,25376,51523
1520788820,25377,51524
1520791458,25377,51524
1520792413,25380,51527
1520796645,25398,51544
1520797590,25404,50785
1520798717,25405,50786
1520799610,25406,50787
1520801416,25407,50788
1520802311,25365,50746
1520803214,25365,50746
1520804118,25366,50747
1520805008,25367,50748
1520806816,25370,50751
1520807419,25299,50676
1520807995,25299,50676
1520810415,25301,50678
1520813111,25302,50679
1520813999,25306,50683
1520814000,25253,50629
1520818212,25255,50642
1520819230,25257,50646
1520821212,25258,50647
1520822108,25337,50727
1520828405,25339,50729
1520829308,25318,50709
1520830293,25315,50706
1520835619,25320,50711
1520836212,25327,50721
1520839621,25363,50755
1520841224,25359,50751
1520842800,25366,50758
1520844607,25335,50726
1520850265,25345,50736
1520850612,25347,50741
1520851538,25329,50716
1520851780,25329,50719
1520857336,25334,50724
1520858417,25335,50725
1520860815,25336,50726
1520861221,25342,50731
1520862715,25341,50730
1520864419,25345,50734
1520865146,25358,50747
1520869003,25346,50992
1520871608,25351,50997
1520872021,25367,51017
1520873643,25364,51014
1520878803,25372,51022
1520879780,25371,50766
1520883011,25382,50771
1520884375,25380,50769
1520886015,25382,50771
1520888400,25345,50734
1520892316,25346,50735
1520893226,25348,50737
1520893856,25292,50678
1520895120,25290,50676
1520897717,25293,50679
1520899200,25232,50605
1520901321,25238,50611
