DateTime,AddedIPs,RemovedIPs
1521054492,3,0
1521054933,6,10
1521055892,8,16
1521056415,3,2
1521056612,9,2
1521057331,9,3
1521058353,8,6
1521059012,9,7
1521059731,9,9
1521060007,4,1
1521060692,10,5
1521061653,13,3
1521062175,7,10
1521062612,7,4
1521063573,9,5
1521064101,8,3
1521064531,5,7
1521065492,5,6
1521066009,6,4
1521066212,5,9
1521066931,67,335
1521067652,3,4
1521067945,3,0
1521068372,2,10
1521069332,5,9
1521069851,9,3
1521070291,4,5
1521072036,7,0
1521072452,15,21
1521073172,2,19
1521073938,8,17
1521074669,9,6
1521075850,3,7
1521076052,9,8
1521076772,7,5
1521077727,9,8
1521078212,2,7
1521078932,4,3
1521079701,9,16
1521080372,1,3
1521081092,4,3
1521081610,3,7
1521081812,3,4
1521082772,8,8
1521083790,29,13
1521084452,11,5
1521085172,8,3
1521085695,5,10
1521086131,5,7
1521087092,8,5
1521087612,6,6
1521087811,4,3
1521088533,3,5
1521089290,7,5
1521089546,6,12
1521089972,4,4
1521090932,6,8
1521091453,19,9
1521091892,6,11
1521092612,4,7
1521093377,12,6
1521094094,7,6
1521094771,4,7
1521095291,14,1
1521095491,6,8
1521096213,7,9
1521096931,3,5
1521097214,8,5
1521097652,3,4
1521098611,6,11
1521099140,7,5
1521099572,10,8
1521100293,6,11
1521101070,16,2
1521101972,6,10
1521102692,11,9
1521102973,9,5
1521103412,3,7
1521103934,7,0
1521104904,20,24
1521105813,8,16
1521106532,7,9
1521107530,9,10
1521108212,13,10
1521108737,9,2
1521109171,15,6
1521109892,12,13
1521110661,13,14
1521111331,5,5
1521112052,7,5
1521112772,2,7
1521113492,5,7
1521114211,2,5
1521114992,7,8
1521116925,6,9
1521117573,34,23
1521118577,15,9
1521118821,14,8
1521119251,4,7
1521119971,4,2
1521120745,10,18
1521121413,2,6
1521122132,9,8
1521122909,8,18
1521123812,3,10
1521124821,10,19
1521125732,8,7
1521126750,11,16
1521127411,3,5
1521128131,24,8
1521128662,10,0
1521129092,12,8
1521129812,9,4
1521130803,8,18
1521131492,8,5
1521132211,4,1
1521132740,7,0
1521133222,11,13
1521133892,6,7
1521134663,12,9
1521135572,2,10
1521136292,4,5
1521136575,3,12
1521137072,5,5
1521137771,6,6
1521138495,15,9
1521139171,9,8
1521139891,7,8
1521140422,1,0
1521140852,7,8
1521141572,2,4
1521142343,11,18
1521143012,5,7
1521143733,3,6
1521144258,1,2
1521144452,3,3
1521145171,16,8
1521145892,4,5
1521146173,8,6
1521146611,4,6
1521147332,5,10
1521148109,16,19
1521149071,5,8
1521150020,9,9
1521150692,0,6
1521151216,1,0
1521151411,4,3
1521151940,5,5
1521152132,5,8
1521152851,1,3
1521153572,338,1433
1521153859,19,0
1521154292,6,2
1521155012,9,4
1521157175,16,12
1521157892,3,8
1521158611,4,4
1521159151,14,2
1521159572,12,5
1521160592,4,8
1521161491,4,5
1521162091,5,2
1521163082,13,17
1521163711,4,2
1521164371,3,3
1521164967,11,0
1521165332,6,6
1521166052,7,1
1521166820,8,4
1521167492,4,3
1521168092,4,4
1521168750,9,1
1521169412,6,7
1521170133,4,16
1521170646,6,0
1521171092,6,17
1521171812,2,2
1521172573,11,15
1521173252,4,4
1521173972,2,7
1521174485,3,9
1521174752,1,2
1521175422,3,3
1521176430,14,7
1521177092,6,3
1521177364,5,1
1521177933,8,5
1521178334,5,7
1521178773,9,6
1521179492,4,2
1521180261,12,7
1521181052,5,5
1521181450,1,0
1521181651,6,3
1521182171,12,2
1521182613,4,9
1521183572,10,10
1521184106,14,0
1521184652,10,38
1521185493,4,59
1521186008,16,1
1521186452,7,7
1521187173,2,32
1521187940,22,12
1521188493,7,41
1521189092,8,35
1521189858,12,13
1521190533,4,24
1521191252,0,10
1521191789,5,5
1521192251,7,979
1521193171,5,9
1521193691,14,7
1521194131,3,11
1521195093,9,18
1521195622,3,5
1521196051,12,9
1521196832,10,14
1521197534,11,10
1521198211,7,7
1521198932,9,3
1521199454,6,10
1521199893,6,7
1521200611,7,1
1521201461,11,9
1521202052,5,3
1521202772,11,4
1521203295,9,4
1521203491,8,21
1521204212,13,4
1521204933,2,6
1521205227,4,5
1521205892,17,6
1521206612,7,3
1521207136,3,2
1521207332,9,3
1521208052,11,7
1521208773,5,8
1521209056,2,3
1521209492,5,3
1521210212,7,4
1521210975,15,9
1521211651,5,4
1521212371,6,7
1521212892,16,5
1521213091,4,9
1521213812,6,5
1521214534,7,21
1521215492,7,10
1521216452,7,12
1521216976,3,15
1521217412,9,6
1521218371,3,8
1521218897,9,0
1521219333,17,5
1521220292,8,11
1521220813,5,2
1521221253,10,8
1521221531,4,0
1521221972,3,0
1521222739,9,7
1521223412,5,5
1521224131,4,5
1521224661,8,7
1521225141,5,9
1521225813,6,7
1521226576,9,12
1521227492,5,10
1521228211,10,4
1521228496,4,6
1521228932,4,6
1521229892,4,6
1521230427,3,0
1521230852,6,10
1521231573,8,20
1521232342,8,22
1521233011,6,9
1521233731,1,4
1521234266,0,2
1521234691,9,10
1521235411,3,5
1521236180,12,18
1521236852,6,10
1521237573,4,5
1521238110,1,5
1521238533,8,9
1521239492,5,4
1521240013,1431,78
1521240452,3,11
1521242200,19,21
1521242851,4,2
1521243571,5,7
1521244096,15,4
1521244532,6,7
1521245492,5,11
1521246453,8,12
1521247171,6,3
1521247940,13,30
1521248612,5,7
1521249331,4,7
1521249863,5,10
1521250291,6,12
1521250809,4,0
1521251253,5,9
1521251772,7,0
1521252212,7,6
1521253173,4,8
1521253700,9,2
1521254191,7,7
1521255092,7,6
1521255627,7,7
1521256052,10,9
1521256771,8,5
1521257543,5,11
1521258212,3,4
1521258932,7,7
1521259460,9,7
1521259891,3,3
1521260612,5,4
1521261630,12,9
1521262234,2,4
1521263012,2,7
1521263541,8,10
1521263972,5,11
1521264692,8,9
1521265464,9,6
1521266131,8,3
1521266852,6,5
1521267811,5,4
