DateTime,AddedIPs,RemovedIPs
1521008522,9,11
1521009121,7,0
1521009722,0,5
1521010321,3,0
1521010921,3,6
1521011522,15,0
1521012122,16,14
1521013322,4,4
1521013922,4,3
1521014522,16,0
1521015122,9,6
1521015722,18,12
1521016381,3,0
1521016921,4,6
1521017521,3,5
1521018122,13,0
1521018722,4,6
1521019321,7,0
1521020522,1,18
1521020784,7,10
1521021722,31,12
1521022322,8,0
1521022922,17,7
1521023522,15,0
1521024121,17,7
1521024722,15,0
1521025322,3,2
1521025922,1,4
1521026522,1,1
1521027121,2,0
1521027722,4,0
1521028922,1,30
1521030122,15,3
1521030722,8,6
1521032521,4,11
1521033722,11,3
1521034922,18,4
1521036121,18,3
1521036722,5,1
1521037322,4,1
1521037921,8,15
1521038522,7,0
1521039121,2,1
1521039721,3,1
1521040321,1,1
1521040921,2,4
1521042121,1,8
1521042722,4,8
1521043922,9,38
1521044521,1,0
1521045181,4,7
1521045721,7,22
1521046321,0,1
1521046922,5,2
1521047521,7,1
1521048122,3,2
1521049321,1,6
1521050521,4,16
1521051032,2,0
1521051721,4,8
1521052382,1,0
1521052922,1,0
1521053522,2,4
1521054121,8,4
1521054721,1,5
1521055321,4,0
1521055921,4,0
1521056521,8,2
1521057122,1,2
1521057722,1,3
1521058322,2,2
1521058922,15,0
1521060121,3,5
1521060722,0,1
1521061321,4,2
1521061437,25,4
1521062521,9,10
1521063121,3,0
1521063181,2,9
1521063722,5,4
1521064322,1,0
1521064921,4,1
1521065522,0,1
1521066122,5,14
1521067321,1,7
1521068521,5,4
1521069121,4,0
1521069721,6,0
1521071521,2,5
1521072122,4,0
1521072721,0,4
1521073322,2,21
1521074522,11,15
1521075122,2,3
1521075721,5,0
1521076321,7,6
1521076922,1,3
1521077521,8,1
1521078122,1,0
1521078721,5,1
1521079321,6,5
1521079834,0,1
1521080521,13,49
1521081721,9,7
1521082921,24,0
1521083521,9,18
1521084122,5,3
1521085321,4,11
1521085922,13,0
1521086521,2,0
1521087121,3,9
1521087721,2,5
1521088921,11,4
1521089522,1,0
1521090121,6,3
1521090721,35,3
1521091322,17,4
1521091921,1,6
1521092522,8,18
1521093122,3,1
1521093722,3,4
1521094922,3,9
1521095522,13,0
1521096121,8,1
1521096722,16,0
1521097321,20,2
1521097921,3,2
1521098521,20,0
1521099121,2,2
1521099722,4,19
1521100922,20,29
1521101522,11,0
1521102121,10,3
1521102721,3,0
1521103321,4,6
1521103921,16,0
1521104521,10,4
1521105122,7,3
1521105721,13,0
1521106322,11,5
1521106922,16,10
1521107521,10,1
1521107652,5,5
1521108122,21,16
1521108721,3,0
1521109321,12,5
1521110521,11,15
1521111721,5,4
1521112922,0,8
1521114122,14,2
1521115322,12,7
1521116521,8,5
1521117181,4,11
1521117721,22,0
1521118322,2,0
1521118922,2,5
1521119522,4,5
1521120121,7,5
1521120721,2,1
1521121321,20,10
1521121922,3,0
1521122521,14,2
1521123122,6,0
1521123722,11,0
1521124321,5,3
1521124922,0,5
1521125522,4,0
1521126121,5,0
1521126722,6,8
1521127321,10,3
1521128521,10,15
1521129721,5,2
1521130921,3,22
1521131521,10,2
1521132122,8,24
1521132721,10,0
1521133321,9,0
1521133921,1,0
1521134521,6,8
1521135121,4,1
1521135722,6,7
1521136321,11,0
1521136921,4,1
1521137522,7,4
1521138722,3,8
1521139322,12,0
1521140522,3,0
1521141121,2,24
1521141721,2,0
1521142321,4,4
1521142922,10,3
1521143521,9,0
1521144122,10,0
1521145321,4,29
1521145921,7,3
1521146521,8,6
1521147722,15,12
1521148322,6,1
1521148922,10,12
1521149522,4,1
1521149581,0,1
1521150121,3,25
1521150721,9,3
1521151321,14,4
1521152521,9,3
1521153722,9,0
1521154322,3,17
1521154921,3,4
1521155522,2,1
1521156721,13,5
1521157922,19,5
1521158522,8,0
1521159122,7,12
1521159721,16,0
1521160322,19,5
1521160921,3,0
1521161522,4,0
1521162121,2,8
1521162722,8,0
1521163322,11,0
1521164522,12,2
1521165121,11,0
1521165722,13,8
1521166322,11,0
1521167521,0,3
1521168121,3,4
1521169321,11,3
1521169922,18,0
1521170521,3,1
1521171122,11,9
1521171721,15,0
1521172921,0,15
1521174121,7,4
1521174722,2,6
1521175321,8,3
1521175922,1,3
1521176521,2,27
1521177034,2,0
1521177721,4,0
1521178922,14,1
1521179521,0,10
1521180122,6,38
1521181322,1,7
1521182165,276,146
1521182521,26,4
1521183122,6,0
1521183721,8,1
1521184322,4,4
1521184922,19,0
1521186122,10,19
1521187321,5,0
1521188522,11,3
1521189181,1,1
1521189722,10,5
1521190921,10,6
1521191521,12,5
1521192122,30,0
1521192721,0,1
1521192782,0,1
1521193322,2,2
1521193921,4,4
1521194522,7,2
1521195122,6,4
1521195721,17,1
1521196922,4,6
1521198121,4,16
1521198721,0,1
1521199321,10,6
1521199922,2,0
1521200522,3,0
1521201121,4,1
1521201721,6,11
1521202922,3,11
1521204122,8,7
1521204721,7,0
1521205322,0,2
1521206521,3,5
1521207722,17,0
1521208321,2,9
1521208921,4,0
1521210122,9,9
1521210722,6,0
1521211322,12,3
1521212522,21,0
1521213121,1,2
1521213722,7,12
1521214381,1,1
1521214922,10,1
1521216121,8,3
1521216633,0,2
1521217321,3,7
1521217921,15,23
1521218521,5,6
1521219122,19,1
1521219721,6,0
1521220921,2,13
1521222121,5,6
1521223322,12,10
1521224521,6,7
1521225721,7,5
1521226922,3,9
1521227522,8,0
1521228122,2,7
1521228781,12,2
1521229321,7,5
1521229921,1,0
1521230521,9,0
1521231722,5,35
1521232321,6,2
1521232922,0,2
1521233522,4,5
1521234122,5,0
1521235321,36,12
1521235981,20,6
1521236521,3,6
