DateTime,Entries,UniqueIPs
1520918101,8031,8031
1520919001,7761,7761
1520919901,7442,7442
1520920801,7083,7083
1520921701,6767,6767
1520922601,6403,6403
1520923501,5995,5995
1520924402,5637,5637
1520925301,5301,5301
1520926202,5883,5883
1520927101,5980,5980
1520928001,6161,6161
1520928901,6366,6366
1520929801,6559,6559
1520930701,6702,6702
1520931601,6978,6978
1520932501,7114,7114
1520933401,7319,7319
1520934302,8599,8599
1520935202,9995,9995
1520936102,10807,10807
1520937002,10953,10953
1520937901,11975,11975
1520938802,13233,13233
1520939702,15066,15066
1520940602,16401,16401
1520941503,17709,17709
1520942402,18241,18241
1520943303,18615,18615
1520944202,19288,19288
1520945102,19969,19969
1520946002,20705,20705
1520946902,25024,25024
1520947802,26169,26169
1520948702,26784,26784
1520949603,27160,27160
1520950502,27991,27991
1520951402,29170,29170
1520952303,29464,29464
1520953203,30731,30731
1520954102,31875,31875
1520955003,32455,32455
1520955903,32921,32921
1520956803,33046,33046
1520957703,33181,33181
1520958602,33421,33421
1520959503,34446,34446
1520960403,34862,34862
1520961303,35040,35040
1520962203,35156,35156
1520963103,35264,35264
1520964003,35292,35292
1520964903,35450,35450
1520965803,36092,36092
1520966703,36425,36425
1520967603,36367,36367
1520969403,35225,35225
1520970303,34166,34166
1520971203,33856,33856
1520972102,33571,33571
1520973003,33021,33021
1520973903,32634,32634
1520974802,32420,32420
1520975702,31712,31712
1520976602,31093,31093
1520977503,30711,30711
1520978403,29387,29387
1520979302,28099,28099
1520980203,27323,27323
1520981103,27141,27141
1520982002,26065,26065
1520982903,25156,25156
1520983803,23655,23655
1520984703,22572,22572
1520985603,21760,21760
1520986502,21710,21710
1520987402,21767,21767
1520988302,21331,21331
1520989203,20922,20922
1520990102,20630,20630
1520991002,18668,18668
1520991902,18320,18320
1520992802,18306,18306
1520993703,18399,18399
1520994603,18184,18184
1520995502,17520,17520
1520996402,17611,17611
1520997302,17132,17132
1520998202,16862,16862
1520999103,16760,16760
1521000002,16811,16811
1521000902,16823,16823
1521001802,16884,16884
1521002701,17015,17015
1521003602,16727,16727
1521004502,16784,16784
1521005402,16939,16939
1521006302,17104,17104
1521007203,17212,17212
1521008102,17238,17238
1521009002,17269,17269
1521009902,17129,17129
1521010802,17132,17132
1521011702,17159,17159
1521012602,17320,17320
1521013502,17388,17388
1521014402,17411,17411
1521015302,17513,17513
1521016202,17614,17614
1521017102,17765,17765
1521018002,17846,17846
1521018902,18023,18023
1521019801,18254,18254
1521020702,18383,18383
1521021602,18483,18483
1521022502,18525,18525
1521023402,18689,18689
1521024302,18894,18894
1521025202,19163,19163
1521026102,19497,19497
1521027002,19668,19668
1521027903,19880,19880
1521028802,20028,20028
1521029702,20139,20139
1521030602,20165,20165
1521032402,20090,20090
1521033302,20242,20242
1521034203,20225,20225
1521035102,20158,20158
1521036002,20082,20082
1521036902,20110,20110
1521037802,20303,20303
1521038702,20484,20484
1521039602,20625,20625
1521040502,20780,20780
1521041402,20775,20775
1521042303,20935,20935
1521043202,21422,21422
1521044103,21926,21926
1521045002,22264,22264
1521045902,22501,22501
1521046802,22803,22803
1521047702,23143,23143
1521048603,23319,23319
1521049504,23604,23604
1521050403,23880,23880
1521051302,24246,24246
1521052203,24553,24553
1521053102,24907,24907
1521054003,25318,25318
1521054903,25598,25598
1521055803,25815,25815
1521056703,26002,26002
1521057603,26279,26279
1521058503,26543,26543
1521059403,26766,26766
1521060303,26872,26872
1521061203,26915,26915
1521062103,27113,27113
1521063003,27198,27198
1521063902,27278,27278
1521064803,27307,27307
1521065703,27173,27173
1521066603,27133,27133
1521067503,27202,27202
1521068403,27309,27309
1521069302,27261,27261
1521070203,27298,27298
1521071103,27333,27333
1521072003,27381,27381
1521072903,27492,27492
1521073802,27634,27634
1521074703,27837,27837
1521075603,27982,27982
1521076502,28028,28028
1521077403,28125,28125
1521078303,28338,28338
1521079203,28521,28521
1521080103,28789,28789
1521081003,28889,28889
1521081902,28984,28984
1521082804,29188,29188
1521083703,29353,29353
1521084603,29447,29447
1521085503,29549,29549
1521086403,29572,29572
1521087304,29412,29412
1521088203,29306,29306
1521089103,29224,29224
1521090003,29233,29233
1521090904,29175,29175
1521091803,29005,29005
1521092703,28833,28833
1521093603,28612,28612
1521094503,28531,28531
1521095403,28441,28441
1521096303,28378,28378
1521097203,28273,28273
1521098103,28179,28179
1521099002,28107,28107
1521099902,28185,28185
1521100804,28203,28203
1521101703,28150,28150
1521102604,28085,28085
1521103502,28154,28154
1521104403,28179,28179
1521105302,28092,28092
1521106202,28123,28123
1521107103,28254,28254
1521108003,28343,28343
1521108903,28476,28476
1521109803,28581,28581
1521110703,28716,28716
1521111603,28983,28983
1521112503,29166,29166
1521113403,29350,29350
1521114303,29448,29448
1521115203,29475,29475
1521116103,29524,29524
1521117002,29370,29370
1521117903,29177,29177
1521118803,29219,29219
1521119703,29304,29304
1521120603,29440,29440
1521121503,29569,29569
1521122403,29510,29510
1521123303,29575,29575
1521124203,29515,29515
1521125103,29277,29277
1521126003,29166,29166
1521126903,29008,29008
1521127802,28988,28988
1521128703,28741,28741
1521129603,28538,28538
1521130503,28398,28398
1521131403,28236,28236
1521132303,28168,28168
1521133203,27966,27966
1521134102,27626,27626
1521135002,27417,27417
1521135903,27320,27320
1521136803,27102,27102
1521137703,27046,27046
1521138602,26921,26921
1521139503,26866,26866
1521140403,26719,26719
1521141303,26598,26598
1521142203,26392,26392
1521143102,26198,26198
1521144003,25902,25902
1521144903,25725,25725
1521145803,25525,25525
1521146702,25349,25349
1521147602,25311,25311
1521148502,26087,26087
1521149403,26114,26114
1521150303,25938,25938
1521151203,25860,25860
1521152102,25791,25791
1521153003,25598,25598
1521153902,25509,25509
1521154802,25408,25408
1521156602,25345,25345
1521157502,25144,25144
1521158402,25034,25034
1521159303,25041,25041
1521160203,24931,24931
1521161103,24855,24855
1521162002,24855,24855
1521162903,24684,24684
1521163802,24516,24516
1521164702,24513,24513
1521165603,24428,24428
1521166503,24333,24333
1521167403,24210,24210
1521168303,24234,24234
1521169202,24340,24340
1521170103,24279,24279
1521171003,23842,23842
1521171903,23807,23807
1521172802,23775,23775
1521173703,23771,23771
1521174603,23729,23729
1521175502,23783,23783
1521176402,23614,23614
1521177302,23568,23568
1521178203,23556,23556
1521179102,23538,23538
1521180002,23451,23451
1521180903,23458,23458
1521181803,23572,23572
1521182702,23584,23584
1521183602,23835,23835
1521184502,24141,24141
1521185403,24235,24235
1521186302,24189,24189
1521187203,24171,24171
1521188103,24278,24278
1521189002,24218,24218
1521189903,24277,24277
1521190802,24368,24368
1521191703,24296,24296
1521192603,23911,23911
1521193503,23783,23783
1521194402,23920,23920
1521195303,23968,23968
1521196203,23953,23953
1521197102,24083,24083
1521198003,24056,24056
1521198902,24036,24036
1521199802,24137,24137
1521200703,24088,24088
1521201603,24001,24001
1521202503,23775,23775
1521203402,23528,23528
1521204303,23302,23302
1521205202,23094,23094
1521206102,22688,22688
1521207002,22299,22299
1521207902,22208,22208
1521208803,22208,22208
1521209702,22231,22231
1521210602,22506,22506
1521211503,22684,22684
1521212403,22777,22777
1521213302,23021,23021
1521214202,23133,23133
1521215103,23411,23411
1521216003,23411,23411
1521216902,23651,23651
1521217803,23796,23796
1521218703,23908,23908
1521219602,24129,24129
1521220503,24140,24140
1521221402,24042,24042
1521222303,23973,23973
1521223203,23861,23861
1521224102,23782,23782
1521225003,23897,23897
1521225902,23847,23847
1521226803,23912,23912
1521227703,23861,23861
1521228603,23810,23810
1521229502,23857,23857
1521230404,24057,24057
1521231303,24186,24186
1521232203,24134,24134
1521233102,24273,24273
1521234002,24247,24247
1521234903,24349,24349
1521235803,24312,24312
1521236703,24340,24340
1521237602,24337,24337
1521238503,24428,24428
1521239403,24367,24367
1521240303,24388,24388
1521242103,24372,24372
1521243003,24584,24584
1521243902,24805,24805
1521244803,24985,24985
1521245703,25202,25202
1521246603,25450,25450
1521247503,25629,25629
1521248402,25925,25925
1521249302,26046,26046
1521250202,26268,26268
1521251102,26476,26476
1521252003,26381,26381
1521252902,26312,26312
1521253803,26211,26211
1521254703,25949,25949
1521255603,25831,25831
