DateTime,AddedIPs,RemovedIPs
1520979721,80,80
1520980921,80,80
1520982122,80,80
1520982722,80,80
1520983322,80,80
1520983922,20,20
1520984522,80,80
1520985121,80,80
1520985722,80,80
1520986321,80,80
1520986921,80,80
1520988122,80,80
1520988723,80,80
1520989322,80,80
1520990521,80,80
1520991722,80,80
1520992322,80,80
1520992922,80,80
1520993522,80,80
1520994121,80,80
1520994722,80,80
1520995322,80,80
1520995921,80,80
1520996521,80,80
1520997121,80,80
1520997722,80,80
1520998322,80,80
1520998921,80,80
1520999522,80,80
1521000122,80,80
1521001321,80,80
1521001922,80,80
1521002521,80,80
1521003722,80,80
1521004322,80,80
1521004921,80,80
1521006122,80,80
1521007322,80,80
1521008522,80,80
1521009121,80,80
1521009722,80,80
1521010321,80,80
1521010921,31,31
1521011522,80,80
1521012122,80,80
1521013322,80,80
1521013922,80,80
1521014522,78,78
1521015122,80,80
1521015722,80,80
1521016322,80,80
1521016921,80,80
1521017521,80,80
1521018122,80,80
1521018722,80,80
1521019321,80,80
1521020522,80,80
1521021722,80,80
1521022322,80,80
1521022922,80,80
1521023522,80,80
1521024121,80,80
1521024722,80,80
1521025322,80,80
1521025922,80,80
1521026522,80,80
1521027121,80,80
1521027722,80,80
1521028922,80,80
1521030122,80,80
1521030722,80,80
1521032521,80,80
1521033722,80,80
1521034922,80,80
1521036121,80,80
1521036722,80,80
1521037322,80,80
1521037921,78,78
1521038522,80,80
1521039121,80,80
1521039721,80,80
1521040321,80,80
1521040921,80,80
1521042121,80,80
1521042722,80,80
1521043922,78,78
1521044521,80,80
1521045122,80,80
1521045721,80,80
1521046321,10,10
1521046922,80,80
1521047521,80,80
1521048122,80,80
1521049321,80,80
1521050521,80,80
1521051721,80,80
1521052321,80,80
1521052922,80,80
1521053522,80,80
1521054121,80,80
1521054721,80,80
1521055321,80,80
1521055921,80,80
1521056521,80,80
1521057122,80,80
1521057722,75,75
1521058322,80,80
1521058922,80,80
1521060121,80,80
1521061321,78,78
1521062521,80,80
1521063121,80,80
1521063722,80,80
1521064322,80,80
1521064921,80,80
1521066122,79,79
1521067321,80,80
1521068521,80,80
1521069121,80,80
1521069721,80,80
1521071521,80,80
1521072122,80,80
1521072721,80,80
1521073322,80,80
1521074522,78,78
1521075122,80,80
1521075721,80,80
1521076321,80,80
1521076922,80,80
1521077521,80,80
1521078122,80,80
1521078721,80,80
1521079321,80,80
1521080521,80,80
1521081721,80,80
1521082921,80,80
1521083521,80,80
1521084122,80,80
1521085321,80,80
1521085922,80,80
1521086521,80,80
1521087121,80,80
1521087721,80,80
1521088921,80,80
1521090121,80,80
1521090721,80,80
1521091322,80,80
1521092522,80,80
1521093122,80,80
1521093722,80,80
1521094922,80,80
1521095522,80,80
1521096121,80,80
1521096722,80,80
1521097321,80,80
1521097921,80,80
1521098521,80,80
1521099121,80,80
1521099722,80,80
1521100922,80,80
1521101522,80,80
1521102121,80,80
1521102721,80,80
1521103321,80,80
1521103921,80,80
1521104521,80,80
1521105122,80,80
1521105721,80,80
1521106322,80,80
1521106922,80,80
1521107521,80,80
1521108122,80,80
1521108721,80,80
1521109321,80,80
1521110521,80,80
1521111721,80,80
1521112922,80,80
1521113521,80,80
1521114122,80,80
1521115322,80,80
1521116521,80,80
1521117121,80,80
1521117721,80,80
1521118322,80,80
1521118922,80,80
1521119522,80,80
1521120121,80,80
1521120721,80,80
1521121321,80,80
1521121922,80,80
1521122521,80,80
1521123122,80,80
1521123722,80,80
1521124321,80,80
1521124922,80,80
1521125522,80,80
1521126121,80,80
1521126722,80,80
1521127321,80,80
1521128521,80,80
1521129721,80,80
1521130921,80,80
1521131521,80,80
1521132122,80,80
1521132721,80,80
1521133321,80,80
1521134521,80,80
1521135121,80,80
1521135722,80,80
1521136321,80,80
1521136921,80,80
1521137522,79,79
1521138122,80,80
1521138722,80,80
1521139322,80,80
1521140522,80,80
1521141121,80,80
1521141721,80,80
1521142321,80,80
1521142922,80,80
1521144122,80,80
1521145321,79,79
1521145921,80,80
1521146521,80,80
1521147722,80,80
1521148322,80,80
1521148922,80,80
1521149522,80,80
1521150121,80,80
1521150721,80,80
1521151321,80,80
1521152521,80,80
1521153722,80,80
1521154322,80,80
1521154921,80,80
1521155522,80,80
1521156721,80,80
1521157922,79,79
1521158522,80,80
1521159122,80,80
1521159721,80,80
1521160322,80,80
1521160921,80,80
1521161522,80,80
1521162121,80,80
1521162722,80,80
1521163322,80,80
1521164522,80,80
1521165121,80,80
1521165722,80,80
1521166322,80,80
1521166921,80,80
1521168121,80,80
1521169321,80,80
1521169922,80,80
1521170521,80,80
1521171122,79,79
1521171721,80,80
1521172921,80,80
1521174121,80,80
1521174722,80,80
1521175321,80,80
1521175922,20,20
1521176521,80,80
1521177721,80,80
1521178922,80,80
1521180122,80,80
1521181322,80,80
1521182521,80,80
1521183122,80,80
1521183721,80,80
1521184322,80,80
1521184922,80,80
1521186122,80,80
1521187321,79,79
1521188522,80,80
1521189722,80,80
1521190921,80,80
1521191521,80,80
1521192122,80,80
1521193322,80,80
1521193921,80,80
1521194522,80,80
1521195122,80,80
1521195721,80,80
1521196922,80,80
1521198121,80,80
1521199321,78,78
1521200522,80,80
1521201721,80,80
1521202922,80,80
1521204122,80,80
1521204721,80,80
1521205322,80,80
1521206521,80,80
1521207722,78,78
1521208321,80,80
1521208921,80,80
1521210122,80,80
1521210722,80,80
1521211322,80,80
1521212522,80,80
1521213121,80,80
1521213722,80,80
1521214322,80,80
1521214922,80,80
1521216121,80,80
1521217321,80,80
1521217921,80,80
1521218521,80,80
1521219122,79,79
1521219721,80,80
1521220921,80,80
1521222121,80,80
1521223322,80,80
1521224521,80,80
1521225721,80,80
1521226922,80,80
1521227522,80,80
1521228122,80,80
1521228722,80,80
1521229321,80,80
