DateTime,AddedIPs,RemovedIPs
1520758921,1,0
1520759521,0,1
1520761321,1,0
1520762521,0,8
1520763721,2,6
1520766122,1,0
1520766722,0,1
1520767921,2,0
1520769721,1,0
1520770321,0,1
1520772122,3,0
1520773322,2,0
1520774521,1,11
1520775721,1,2
1520776322,5,0
1520776921,0,22
1520779321,0,2
1520779921,0,5
1520780522,6,0
1520781721,0,8
1520782321,3,0
1520782922,1,0
1520784121,0,7
1520784722,5,5
1520785322,2,0
1520786521,1,0
1520787721,0,1
1520788921,1,3
1520789522,9,0
1520790122,0,2
1520790722,1,7
1520791321,1,0
1520791921,0,6
1520793121,0,1
1520793721,0,5
1520794322,1,0
1520795522,0,4
1520796122,1,1
1520798521,0,4
1520799122,4,0
1520800922,0,2
1520801521,1,0
1520803322,0,1
1520803922,2,0
1520805722,5,0
1520806321,0,1
1520806922,1,0
1520808121,1,0
1520810521,0,1
1520812321,0,3
1520812922,1,0
1520814121,2,0
1520814722,0,2
1520815321,0,1
1520816522,0,2
1520817122,1,0
1520817721,4,5
1520818922,2,0
1520819522,1,0
1520821322,8,1
1520823722,0,1
1520824322,2,0
1520824922,1,0
1520826122,2,0
1520826721,1,0
1520827322,1,0
1520828522,1,0
1520829122,0,2
1520830921,1,0
1520831522,1,0
1520832122,1,0
1520833322,0,1
1520834522,0,1
1520835122,5,0
1520835721,2,0
1520836922,3,1
1520838122,1,1
1520838722,5,0
1520840521,1,3
1520841722,1,0
1520842322,1,0
1520844122,5,0
1520844721,1,0
1520845322,1,0
1520846521,11,6
1520847122,1,0
1520847722,1,2
1520848922,0,2
1520852522,3,0
1520853122,1,0
1520853722,2,0
1520854921,1,2
1520855522,0,1
1520856122,3,2
1520856721,3,0
1520857322,0,7
1520858521,3,3
1520862122,5,1
1520862721,1,0
1520865722,0,1
1520866322,0,5
1520866921,0,2
1520868122,3,0
1520868721,3,5
1520869321,0,1
1520869921,0,2
1520871721,0,6
1520874123,3,0
1520874721,5,0
1520875321,1,8
1520877121,2,0
1520877722,0,1
1520879521,1,0
1520880121,0,1
1520881322,6,0
1520882521,0,5
1520887921,8,5
1520889722,12,0
1520890922,1,2
1520891522,1,0
1520892122,1,5
1520892722,0,4
1520893921,4,3
1520894522,1,0
1520895121,1,2
1520896321,1,0
1520897521,2,0
1520898722,0,1
1520899922,8,0
1520900522,10,0
1520901721,0,1
1520902922,0,3
1520904122,4,4
1520905322,1,3
1520906522,1,3
1520908921,1,0
1520910121,5,2
1520910722,1,0
1520911923,0,1
1520913122,3,0
1520914322,1,0
1520914922,1,0
1520916121,1,1
1520916722,2,0
1520917321,1,0
1520918522,4,1
1520919722,2,0
1520920321,1,1
1520920922,0,1
1520922122,0,4
1520923321,1,0
1520923921,4,2
1520924521,1,4
1520925721,1,0
1520926922,3,0
1520928122,5,2
1520929322,1,10
1520930522,9,2
1520931722,3,10
1520932922,3,0
1520934122,5,3
1520935322,5,0
1520937121,0,3
1520938921,2,1
1520940121,1,0
1520940722,11,1
1520941922,1,2
1520942521,0,2
1520943122,0,1
1520943722,1,0
1520944922,4,3
1520945521,0,2
1520946122,2,0
1520947322,0,4
1520948522,3,0
1520949721,5,0
1520952122,0,1
1520952721,0,4
1520953322,1,0
1520954521,1,2
1520955122,0,2
1520956921,0,1
1520959321,8,0
1520960522,4,7
1520961722,0,3
1520964121,5,2
1520967122,0,5
1520969522,2,0
1520970121,2,0
1520971321,1,0
1520971922,1,1
1520973722,1,7
1520974923,3,0
1520976121,0,15
1520976722,1,0
1520977922,0,1
1520980322,3,0
1520980921,0,1
1520982122,0,5
1520982722,0,1
1520983322,0,3
1520985722,4,0
1520986921,1,9
1520988122,0,5
1520988723,4,0
1520989322,3,1
1520990521,0,1
1520992321,3,0
1520992922,1,0
1520993522,1,0
1520994121,0,3
1520995322,3,10
1520996521,1,1
1520998322,5,0
1520998921,1,0
1521000122,3,1
1521001321,1,4
1521002521,3,2
1521003122,1,5
1521003722,0,3
1521004322,0,2
1521005521,2,0
1521006122,4,3
1521007321,14,3
1521008522,0,2
1521009722,0,5
1521010321,1,0
1521010921,0,1
1521011522,0,2
1521012122,1,0
1521013922,0,3
1521014522,0,1
1521015122,5,1
1521016322,2,5
1521017521,2,3
1521018122,0,2
1521018722,3,0
1521019321,0,1
1521021722,0,2
1521022922,3,1
1521024121,0,1
1521024722,0,3
1521026522,1,3
1521027121,1,7
1521027722,1,2
1521028322,0,3
1521030122,1,4
1521032521,2,5
1521033722,1,0
1521034922,1,2
1521036121,0,1
1521037921,0,1
1521038521,1,0
1521039721,1,2
1521042121,0,1
1521043922,0,2
1521045122,0,6
1521045721,1,6
1521046921,0,2
1521048122,3,0
1521050521,0,6
1521051721,1,1
1521052922,0,3
1521054121,0,1
1521054721,1,1
1521055321,2,0
1521058922,7,2
1521060722,0,2
1521063722,3,2
1521065522,0,2
1521067321,1,2
1521069121,1,1
1521069721,2,0
1521071521,0,2
1521073322,0,1
1521074522,6,5
1521075122,1,2
1521076922,0,1
1521077521,5,0
1521079321,1,4
1521080521,9,5
1521081721,2,0
1521082921,3,0
1521083521,0,2
1521085321,0,8
1521085922,2,0
1521087721,0,1
1521088921,3,0
1521089522,1,0
1521090721,0,1
1521091921,1,5
1521092522,1,8
1521093722,1,10
1521096121,3,1
1521097321,1,0
1521098521,9,0
1521099722,1,1
1521100922,2,0
1521101522,3,1
1521102121,1,0
1521103321,1,0
1521103921,0,3
1521105122,4,0
1521105721,1,3
1521106922,2,1
1521108122,3,0
1521109321,5,0
1521112922,0,1
1521113521,0,1
1521116521,1,0
1521117121,3,0
1521117721,5,0
1521118922,1,0
1521120121,1,0
1521121321,2,0
1521123722,0,1
1521124321,1,0
1521124921,1,3
1521125521,2,0
1521128521,4,0
1521131521,6,0
1521133321,1,0
1521134521,0,1
1521135722,3,0
1521137521,1,0
1521139322,5,0
1521140522,3,3
1521141721,0,2
1521143521,9,0
1521144122,2,3
1521145321,0,8
1521146521,1,0
1521147722,13,1
1521148322,1,0
1521148922,0,1
1521154921,0,2
1521156721,13,3
1521157322,20,0
1521157922,1,0
1521159122,1,1
1521159721,1,0
1521160322,11,4
1521160921,2,2
1521162121,1,0
1521162722,2,0
1521163322,2,0
1521164522,2,4
1521165722,0,10
1521169321,4,0
1521169922,5,0
1521171122,3,4
1521172921,0,3
1521174121,2,0
1521178921,6,3
1521179521,2,0
1521181321,1,1
1521182521,10,3
1521184322,0,7
1521184922,2,0
1521186122,5,5
1521187321,1,0
1521188522,1,0
1521189721,6,0
1521190921,0,3
1521191521,1,1
1521192721,0,7
1521193921,1,2
1521195721,1,1
1521196922,1,0
1521199922,2,1
1521200522,0,4
1521201121,4,0
1521202921,0,2
1521204122,3,5
1521206521,0,1
1521207722,11,1
1521208921,1,0
1521211322,6,2
1521212522,1,0
1521213722,0,5
1521214922,10,0
1521216121,0,5
1521217321,1,0
1521217921,0,1
1521219122,13,0
1521220921,1,0
1521223322,8,0
1521224521,3,4
1521225721,2,0
1521226922,0,4
1521228122,0,2
1521228722,5,1
1521229321,0,3
1521229921,0,2
1521230521,1,0
1521231722,3,2
1521232922,1,0
1521233522,0,11
1521236521,2,1
1521238922,1,0
1521239521,0,4
1521240122,2,0
1521241921,0,10
1521243721,0,18
1521244322,0,2
1521246122,0,14
1521247322,0,3
1521248521,3,2
1521249721,2,3
1521252121,0,1
1521253321,2,0
1521253921,2,0
1521254522,2,3
1521255721,1,4
1521256922,1,3
1521258122,0,1
1521260521,2,0
1521263522,1,0
1521265322,1,10
1521265921,2,3
1521266522,3,4
1521267121,2,0
1521267721,1,0
1521268322,0,5
1521271322,0,2
1521271921,1,0
1521272522,6,0
1521273122,0,5
1521274321,0,2
1521274921,0,1
1521275522,0,5
1521276122,3,0
1521277321,0,1
1521279721,7,4
1521280921,0,8
1521281521,1,0
1521282121,1,0
