DateTime,Entries,UniqueIPs
1520680922,4268,4341
1520682122,4265,4338
1520683321,4256,4328
1520685722,4251,4323
1520688122,4254,4325
1520689922,4255,4326
1520691722,4282,4353
1520692322,4283,4354
1520692921,4284,4355
1520694121,4281,4352
1520695322,4287,4360
1520695921,4288,4361
1520696522,4280,4353
1520697721,4280,4353
1520698322,4278,4351
1520698922,4277,4350
1520700121,4279,4352
1520700722,4281,4354
1520701322,4279,4352
1520703122,4278,4352
1520703721,4279,4353
1520704921,4285,4358
1520706121,4284,4357
1520706722,4283,4356
1520708521,4278,4351
1520712121,4278,4351
1520713321,4274,4347
1520716921,4270,4343
1520717522,4272,4345
1520719321,4270,4343
1520719922,4267,4340
1520720522,4268,4341
1520721121,4267,4340
1520721721,4266,4338
1520723521,4265,4337
1520724722,4260,4332
1520728922,4266,4338
1520729522,4267,4339
1520730121,4266,4338
1520732522,4267,4339
1520733121,4265,4337
1520733722,4260,4332
1520734322,4258,4330
1520736122,4263,4334
1520736721,4262,4333
1520738522,4255,4325
1520740921,4251,4321
1520742122,4250,4320
1520744521,4249,4319
1520745722,4251,4321
1520746321,4249,4319
1520746921,4251,4321
1520748121,4248,4318
1520749322,4249,4321
1520751122,4247,4319
1520751722,4241,4313
1520753521,4240,4312
1520755321,4239,4311
1520756522,4240,4313
1520757121,4242,4315
1520758921,4236,4309
1520762521,4234,4307
1520763721,4227,4300
1520767921,4229,4302
1520769721,4227,4300
1520770921,4226,4299
1520772122,4224,4297
1520773322,4225,4298
1520774521,4216,4289
1520775721,4215,4288
1520776322,4220,4293
1520777521,4216,4289
1520780522,4220,4293
1520782321,4223,4296
1520782922,4224,4297
1520784121,4222,4295
1520784722,4222,4295
1520785322,4222,4295
1520786521,4217,4290
1520789522,4226,4299
1520791321,4225,4298
1520792522,4224,4297
1520793721,4223,4296
1520794322,4224,4297
1520795522,4221,4294
1520796122,4216,4289
1520797921,4214,4287
1520798521,4211,4284
1520799122,4212,4285
1520800922,4211,4284
1520802122,4210,4283
1520803322,4208,4281
1520803922,4206,4279
1520805121,4204,4277
1520805722,4205,4278
1520808121,4203,4276
1520809321,4202,4275
1520810521,4199,4272
1520814121,4199,4272
1520815321,4198,4271
1520817122,4194,4267
1520817721,4198,4271
1520818321,4195,4268
1520818922,4194,4267
1520820122,4190,4263
1520821322,4193,4266
1520821921,4192,4265
1520823722,4190,4263
1520824322,4191,4264
1520824922,4192,4265
1520826122,4193,4266
1520826721,4194,4267
1520827322,4195,4268
1520828522,4190,4263
1520830322,4189,4262
1520831522,4189,4262
1520832122,4190,4263
1520833322,4189,4262
1520835122,4193,4266
1520835721,4195,4268
1520836922,4191,4264
1520838722,4196,4269
1520840521,4195,4268
1520842322,4196,4269
1520844122,4200,4273
1520846521,4205,4280
1520847122,4201,4276
1520847722,4200,4275
1520848322,4196,4271
1520848922,4194,4269
1520851322,4192,4267
1520852522,4195,4270
1520853122,4196,4271
1520853722,4197,4272
1520854921,4198,4273
1520855522,4181,4256
1520856122,4182,4257
1520856721,4185,4260
1520858521,4184,4259
1520860922,4181,4256
1520862122,4181,4256
1520862721,4182,4257
1520863322,4181,4256
1520864521,4179,4254
1520865722,4177,4252
1520866921,4176,4251
1520868122,4179,4254
1520868721,4177,4252
1520869921,4169,4244
1520871721,4164,4239
1520874123,4167,4242
1520874721,4165,4240
1520875321,4164,4239
1520877121,4163,4238
1520877722,4161,4236
1520878921,4160,4235
1520880121,4152,4226
1520881322,4157,4231
1520883121,4153,4227
1520886122,4139,4213
1520887921,4141,4214
1520889722,4140,4213
1520890922,4136,4209
1520892122,4135,4208
1520892722,4134,4207
1520893921,4132,4205
1520894522,4127,4200
1520898722,4126,4199
1520899322,4124,4197
1520899922,4130,4203
1520900522,4140,4213
1520902922,4137,4210
1520904122,4141,4214
1520905322,4140,4213
1520906522,4138,4212
1520910121,4141,4215
1520910722,4142,4216
1520911923,4141,4215
1520913122,4140,4214
1520914322,4140,4215
1520914922,4139,4214
1520916722,4140,4215
1520917321,4141,4216
1520918522,4143,4218
1520919722,4145,4220
1520920321,4146,4221
1520923321,4147,4222
1520923921,4151,4226
1520924521,4152,4227
1520925721,4150,4225
1520926922,4153,4228
1520928122,4157,4232
1520928721,4156,4231
1520929322,4155,4230
1520930522,4162,4238
1520931722,4165,4241
1520932922,4167,4243
1520934122,4172,4248
1520935322,4170,4246
1520937121,4169,4245
1520938921,4166,4242
1520940722,4177,4253
1520941922,4177,4254
1520943722,4178,4255
1520944922,4181,4258
1520945521,4177,4254
1520946122,4178,4255
1520947322,4177,4254
1520948522,4180,4257
1520949721,4185,4262
1520952721,4183,4260
1520953322,4184,4261
1520954521,4183,4260
1520955122,4179,4256
