DateTime,AddedIPs,RemovedIPs
1520959321,8,8
1520960522,9,9
1520961722,3,3
1520962322,3,3
1520962922,2,2
1520964121,8,8
1520965322,2,2
1520965921,1,1
1520966521,1,1
1520967122,4,4
1520967722,2,2
1520969522,3,3
1520970121,2,2
1520971321,3,3
1520971922,2,2
1520972521,2,2
1520973722,5,5
1520974923,4,4
1520976121,2,2
1520976722,3,3
1520977321,2,2
1520977922,2,2
1520978521,2,2
1520979721,7,7
1520980322,5,5
1520980921,3,3
1520982122,7,7
1520982722,5,5
1520983322,2,2
1520984522,4,4
1520985121,2,2
1520985722,6,6
1520986921,8,8
1520988122,8,8
1520988723,8,8
1520989322,6,6
1520990521,5,5
1520991722,5,5
1520992321,4,4
1520992922,2,2
1520993522,4,4
1520994121,2,2
1520995322,6,6
1520996521,3,3
1520997121,2,2
1520997722,2,2
1520998322,6,6
1520998921,3,3
1521000122,5,5
1521001321,6,6
1521002521,7,7
1521003122,4,4
1521003722,2,2
1521004322,4,4
1521004921,1,1
1521005521,7,7
1521006122,9,9
1521007321,15,15
1521008522,2,2
1521009722,2,2
1521010321,1,1
1521010921,2,2
1521011522,3,3
1521012122,2,2
1521013322,3,3
1521013922,2,2
1521014522,2,2
1521015122,5,5
1521015722,2,2
1521016322,6,6
1521016921,7,7
1521017521,6,6
1521018122,1,1
1521018722,3,3
1521019321,3,3
1521020522,4,4
1521021722,2,2
1521022922,8,8
1521024121,1,1
1521025322,3,3
1521026522,9,9
1521027121,4,4
1521027722,5,5
1521028322,2,2
1521028922,3,3
1521030122,5,5
1521032521,7,7
1521033722,7,7
1521034922,3,3
1521036121,4,4
1521036722,2,2
1521037322,2,2
1521037921,3,3
1521038521,2,2
1521039721,4,4
1521040921,2,2
1521042121,1,1
1521042722,2,2
1521043922,3,3
1521044521,2,2
1521045122,2,2
1521045721,2,2
1521046321,3,3
1521046921,4,4
1521047521,4,4
1521048122,6,6
1521049321,3,3
1521050521,1,1
1521051721,1,1
1521052321,5,5
1521052922,4,4
1521054121,6,6
1521054721,2,2
1521055321,4,4
1521055921,1,1
1521056521,1,1
1521057122,3,3
1521057722,3,3
1521058922,10,10
1521060121,1,1
1521060722,1,1
1521061321,2,2
1521062521,1,1
1521063722,7,7
1521064322,3,3
1521065522,3,3
1521066122,2,2
1521067321,6,6
1521067922,4,4
1521068521,3,3
1521069121,2,2
1521069721,6,6
1521070921,5,5
1521071521,4,4
1521072121,4,4
1521073322,5,5
1521073922,2,2
1521074522,6,6
1521075122,4,4
1521075721,3,3
1521076922,4,4
